,ID,Equation,Name,Superclass,Base class,React,Prod,ReactStr,ProdStr,AtomicRegulon,Pathway
0,SHK3Dr,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,Shikimate dehydrogenase,U;;SU,SU,U,,-2U1,,,
1,DHORTS,dhor__S_c + h2o_c <=> cbasp_c + h_c,Dihydroorotase,D;;SS,SS,D,,D1,,,
2,OMPDC,h_c + orot5p_c --> co2_c + ump_c,Orotidine-5'-phosphate decarboxylase,D;;SS,SS,D,,0D1,,,
3,G5SD,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,Glutamate-5-semialdehyde dehydrogenase,U;U;SU,SU,U,U,0U2;-1U1;-2U1;-3U1;-4U1;-5U1;0S1;-6U1;-1D1;-2S1;-1S1;-7U1;-2D1;-3S1;-8U1;-3D1;-4S1;-9U1,-2U2;0U1;-1U1;-1S1;-2S1;-3U1;-3S1;-4U1;-4S1;0S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-1D1;-8U1;-8S1,,
4,CS,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,Citrate synthase,;U;SU,SU,,U,,S1,,
5,ICDHyr,icit_c + nadp_c <=> akg_c + co2_c + nadph_c,Isocitrate dehydrogenase (NADP),;U;SS,SS,,U,,U1,,
6,ACALD,acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,Acetaldehyde dehydrogenase (acetylating),U;U;DU,DU,U,U,0U6;-1U4;-2U4;-3U3;-4U3;-1S3;-5U3;-2D3;-1D3;-2S3;-6U3;-7U2;-3S2;-8U2;-3D2;-4S2;-9U2;-4D2;-5S2;-10U2;-5D2;-6S2;-11U2;-6D2;-7S2;-12U2;-7D2;-8S2;-13U2,-1S4;0U3;-1U4;-2U3;-2S3;-3U3;-3S3;-4U3;-4S3;-1D3;0D2;-5U3;-5S3;0S3;-6U2;-6S2;-7U2;-7S2;-8U2;-8S2;-2D2;-9U2;-9S2;-3D2;-10U2;-10S2;-4D2;-11U2;-11S2;-5D2;-12U2;-12S2,,
7,PPA,h2o_c + ppi_c --> h_c + 2.0 pi_c,Inorganic diphosphatase,;;SS,SS,,,,,,
8,APRAUR,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,5-amino-6-(5-phosphoribosylamino)uracil reductase,U;U;SS,SS,U,U,-2S2;-1U1;0U1;-1S1;-2U1;-3U1;-4U1;-5U1;-6U1;-3D1;-2D1;-3S1;-7U1;-8U1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1,-1U1;0U1;-2S1;-2U1;-3S1;-3U1;-1S1;-4U1;-4S1;-5U1;-5S1;-2D1;-1D1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1,,
9,TRPAS2,h2o_c + trp__L_c <=> indole_c + nh4_c + pyr_c,Tryptophanase (L-tryptophan),U;U;SD,SD,U,U,U1,U1,,
10,DB4PS,ru5p__D_c --> db4p_c + for_c + h_c,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",U;;SS,SS,U,,S1,,,
11,ALAR,ala__L_c <=> ala__D_c,Alanine racemase,U;;SS,SS,U,,U1,,,
12,RBFK,atp_c + ribflv_c --> adp_c + fmn_c + h_c,Riboflavin kinase,U;U;SU,SU,U,U,-1S1;0S1;-1U1;-2U2;-3U2;-4U2;-5U2;-6U2;-2D2;-1D1;-7U2;-3S2;-2S2;-8U2;-3D2;-4S2;-9U2;-4D2;-5S2;-10U2;-5D2;-6S2;-11U2;-6D2;-7S2;-12U2;-7D2;-8S2;-13U2;-8D2;-9S2;-14U2;-9D2;-10S2;-15U2;-10D2;-11S2;-16U2;-11D1;-12S1;-17U1,-1U1;-2U2;-2S2;-3U2;-3S2;-4U2;-4S2;-5U2;-5S2;-1S1;-6U2;-6S2;-7U2;-7S2;-8U2;-8S2;-1D1;-2D2;-9U2;-9S2;-3D2;-10U2;-10S2;-4D2;-11U2;-11S2;-5D2;-12U2;-12S2;-6D2;-13U2;-13S2;-7D2;-14U2;-14S2;-8D2;-15U2;-15S2;-9D1;-16U1;-16S1,,
13,ALATA_L,akg_c + ala__L_c <=> glu__L_c + pyr_c,L-alanine transaminase,U;U;SU,SU,U,U,U2;-1U1,U2,,
14,GLYK,atp_c + glyc_c --> adp_c + glyc3p_c + h_c,Glycerol kinase,;U;SD,SD,,U,,U1,,
15,PPM,r1p_c <=> r5p_c,Phosphopentomutase,U;;DS,DS,U,,U1,,,
16,ASPTA,akg_c + asp__L_c <=> glu__L_c + oaa_c,Aspartate transaminase,U;U;SS,SS,U,U,U1,U2,,
