,ID,Equation,Name,Superclass,Base class,React,Prod,ReactStr,ProdStr,AtomicRegulon,Pathway
17,RBFSb,2.0 dmlz_c --> 4r5au_c + ribflv_c,Riboflavin synthase,U;U;SU,SU,U,U,-1S5;0S1;-1U4;-2U2;-3U2;-4U2;-5U2;-6U2;-2D2;-1D3;-7U2;-3S2;-2S2;-8U2;-3D2;-4S2;-9U2;-4D2;-5S2;-10U2;-5D2;-6S2;-11U2;-6D2;-7S2;-12U2;-7D2;-8S2;-13U2;-8D2;-9S2;-14U2;-9D2;-10S2;-15U2;-10D2;-11S2;-16U2,-1U2;-2U2;-2S2;-3U2;-3S2;-4U2;-4S2;-5U2;-5S2;-1S2;-6U2;-6S2;-7U2;-7S2;-8U2;-8S2;-1D2;-2D2;-9U2;-9S2;-3D2;-10U2;-10S2;-4D2;-11U2;-11S2;-5D2;-12U2;-12S2;-6D2;-13U2;-13S2;-7D2;-14U2;-14S2;-8D2;-15U2;-15S2,,
18,EX_pi_e,pi_e <=> ,Phosphate exchange,;;SS,SS,,,,,,
19,GLGC,atp_c + g1p_c + h_c --> adpglc_c + ppi_c,Glucose-1-phosphate adenylyltransferase,D;;DS,DS,D,,D1,,,
20,PYK,adp_c + h_c + pep_c --> atp_c + pyr_c,Pyruvate kinase,U;U;SS,SS,U,U,U1;-1U2;-2U1,U1;-1U2,,
21,SHCHD2,dscl_c + nad_c --> h_c + nadh_c + scl_c,Sirohydrochlorin dehydrogenase (NAD),U;U;SU,SU,U,U,0U1;-2U1,-1U1;-2U1;-2S1,,
22,EX_co2_e,co2_e --> ,CO2 exchange,;;SS,SS,,,,,,
23,A5PISO,ru5p__D_c <=> ara5p_c,Arabinose-5-phosphate isomerase,U;;SS,SS,U,,S1,,,
24,PMDPHT,5aprbu_c + h2o_c --> 4r5au_c + pi_c,Pyrimidine phosphatase,U;;SU,SU,U,,-1S1,,,
25,CPPPGO,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,Coproporphyrinogen oxidase (O2 required),U;U;SU,SU,U,U,-1D1;-2D1;-3S1;-4U1;-1U1;-2S1;-3D1;-3U1;-5U1;-6U1;-7U1;-8U1;-9U1;-2U1;-4S1;-5S1,-1S1;-1D1;-2S1;-2D1;-4S1;-4U1;-1U1;-3S1;-3U1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-2U1;-3D1,,
26,ILETA,akg_c + ile__L_c <=> 3mop_c + glu__L_c,Isoleucine transaminase,U;U;SU,SU,U,U,U1,U2,,
27,IPPMIb,2ippm_c + h2o_c <=> 3c3hmp_c,2-isopropylmalate hydratase,D;;SU,SU,D,,D1,,,
28,ORPT,orot5p_c + ppi_c <=> orot_c + prpp_c,Orotate phosphoribosyltransferase,D;;SD,SD,D,,D1,,,
29,RBFSa,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c,Riboflavin synthase,U;;SS,SS,U,,0S1,,,
30,ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,2-aceto-2-hydroxybutanoate synthase,U;U;SS,SS,U,U,U1;0U1;-1U1;-2U1,S1;0U1;-1U1,,
31,DHAD2,23dhmp_c --> 3mop_c + h2o_c,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",U;U;SU,SU,U,U,-1U1,-1U1,,
32,ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,Acetolactate synthase,U;U;SS,SS,U,U,U1;0U1;-1U1;-2U1,0U1;-1U1,,
33,PSCVT,pep_c + skm5p_c <=> 3psme_c + pi_c,3-phosphoshikimate 1-carboxyvinyltransferase,U;;SS,SS,U,,U1,,,
34,PFL,coa_c + pyr_c --> accoa_c + for_c,Pyruvate formate lyase,U;U;SS,SS,U,U,U1;0U1;-1U1;-2U1,-1S1;0U1;-1U1,,
35,ANS,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,Anthranilate synthase,U;U;SU,SU,U,U,U1;-1U11;-2U5;-3U3,U2;-1U8;-1S1;-2U3;-2S1,,
36,ANPRT,anth_c + prpp_c --> ppi_c + pran_c,Anthranilate phosphoribosyltransferase,U;U;SU,SU,U,U,0U1;-1U1;-2U1;-3U1,0U1;-1U1;-1S1;-2U1;-2S1,,
37,CHORM,chor_c --> pphn_c,Chorismate mutase,U;U;SS,SS,U,U,0U1;-1U1;-2U1;-3U1;-4U1,-1U1;-2U1;-2S1;-3U1;-3S1;-1S1,,
38,PTAr,accoa_c + pi_c <=> actp_c + coa_c,Phosphotransacetylase,U;U;SS,SS,U,U,0U2;-1U1;-2U1,-1S1;0U1;-1U1,,
39,CHORS,3psme_c --> chor_c + pi_c,Chorismate synthase,U;U;SU,SU,U,U,0U1;-1U1;-2U1;-3U1;-4U1,-1U1;-2U1;-2S1;-3U1;-3S1,,
40,IGPS,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,Indole-3-glycerol-phosphate synthase,U;U;SU,SU,U,U,-2U2;-3U2;-4S1;-2S1;-4U1;-5U1;-6U1;0U1;-1U1,-2U2;-3S1;-2S2;-3U1;-4U1;-4S1;-5U1;-5S1;0U1;-1U1;-1S1,,
41,ACKr,ac_c + atp_c <=> actp_c + adp_c,Acetate kinase,U;U;SD,SD,U,U,0U1;-1U1;-2U1,-1S1;0U1;-1U1,,
42,EX_fe3_e,fe3_e <=> ,Fe3+ exchange,U;U;SS,SS,U,U,-3U1;-3S1;-4U1;-5U1;-6U1;-7U1;-8U1;-4D1;-3D1;-9U1;-5S1;-4S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;-11D1;-12S1;-17U1;-12D1;-13S1;-18U1,-3U1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-3S1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-3D1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1;-9D1;-16U1;-16S1;-10D1;-17U1;-17S1,,
43,LEUTAi,4mop_c + glu__L_c --> akg_c + leu__L_c,Leucine transaminase (irreversible),U;U;SU,SU,U,U,U1;0U1;-1U1;-2U1;-3U1,U2;0U1;-1U1;-1S1;-2U1;-2S1,,
44,EX_h_e,h_e <=> ,H+ exchange,;;US,US,,,,,,
45,DMATT,dmpp_c + ipdp_c --> grdp_c + ppi_c,Dimethylallyltranstransferase,D;;DU,DU,D,,-2D1,,,
46,GRTT,grdp_c + ipdp_c --> frdp_c + ppi_c,Geranyltranstransferase,D;;DU,DU,D,,-2D3,,,
47,UPP3S,hmbil_c --> h2o_c + uppg3_c,Uroporphyrinogen-III synthase,U;U;SS,SS,U,U,-1U2;-2U1;-3U2;-4U1;0U1,-1U1;-2U2;-2S1;-3U2;-3S2;0U1;-1S1,,
48,UPPDC1,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,Uroporphyrinogen decarboxylase (uroporphyrinogen III),U;U;SS,SS,U,U,-2D1;-3D1;-4S1;-5U1;-2U2;-3S1;-4D1;-4U2;-6U1;-7U1;-8U1;-9U1;-10U1;-3U2;-5S1;-6S1;-1U1;0U1,-2S2;-2D1;-3S2;-3D1;-5S1;-5U1;-2U2;-4S1;-4U1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-3U2;-4D1;-1U1;0U1;-1S1,,
49,EX_mn2_e,mn2_e <=> ,Mn2+ exchange,U;U;SS,SS,U,U,-3U1;-3S1;-4U1;-5U1;-6U1;-7U1;-8U1;-4D1;-3D1;-9U1;-5S1;-4S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;-11D1;-12S1;-17U1;-12D1;-13S1;-18U1,-3U1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-3S1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-3D1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1;-9D1;-16U1;-16S1;-10D1;-17U1;-17S1,,
50,EX_ac_e,ac_e --> ,Acetate exchange,U;U;SS,SS,U,U,0U1;-1U1;-2U1;-3U1;-4U1;-5U1;-6U1;-1S1;-7U1,-1S1;0U1;-1U1;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1,,
51,MOAT,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c,3-deoxy-D-manno-octulosonic acid transferase,U;U;SU,SU,U,U,-1U1;-2U1;-3U1;-4U1;-5U1;-6U1;-7U1;-2S1;-8U1,-1U1;-2U1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-2S1;-7U1;-7S1,,
52,UDCPDPS,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,Undecaprenyl diphosphate synthase,U;U;SS,SS,U,U,-2D4;-1U4;-1S4;-2U2;-3U2;-4U2;-5U2;-6U2;-1D3;-7U2;-3S2;-2S2;-8U2;-3D2;-4S2;-9U2;-4D2;-5S2;-10U2;-5D2;-6S2;-11U2;-6D2;-7S2;-12U2;-7D2;-8S2;-13U2;-8D2;-9S2;-14U2;-9D2;-10S2;-15U2;-10D2;-11S2;-16U2,-1U2;-2U2;-2S2;-3U2;-3S2;-4U2;-4S2;-5U2;-5S2;-1S2;-6U2;-6S2;-7U2;-7S2;-8U2;-8S2;-1D2;-2D2;-9U2;-9S2;-3D2;-10U2;-10S2;-4D2;-11U2;-11S2;-5D2;-12U2;-12S2;-6D2;-13U2;-13S2;-7D2;-14U2;-14S2;-8D2;-15U2;-15S2,,
53,USHD,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c,UDP-sugar hydrolase,U;U;SU,SU,U,U,-2U3;-3U3;-4U3;-5U3;-6U3;-3S3;-7U3;-8U3;-3D3;-4D3;-4S3;-2D3;-2S3;-5D3;-5S3;-9U3;-10U3;-6S3;-11U3;-6D3;-7S3;-12U3;-7D3;-8S3;-13U3;-8D3;-9S3;-14U3;-9D3;-10S3;-15U3;-10D3;-11S3;-16U3;-11D3;-12S3;-17U3;-1D1;-1U1;0U1,-2U3;-3U3;-3S3;-4U3;-4S3;-5U3;-5S3;-6U3;-6S3;-7U3;-7S3;-3D3;-2D3;-4D3;-8U3;-8S3;-9U3;-9S3;-10U3;-10S3;-11U3;-11S3;-5D3;-12U3;-12S3;-6D3;-13U3;-13S3;-7D3;-14U3;-14S3;-8D3;-15U3;-15S3;-9D3;-16U3;-16S3;-1U1;-1S1;0U1,,
54,ENO,2pg_c <=> h2o_c + pep_c,Enolase,U;U;SS,SS,U,U,-1U2;-2U1;-3U1,U1;-1U1;-2U1,,
55,FBA,fdp_c <=> dhap_c + g3p_c,Fructose-bisphosphate aldolase,U;U;SS,SS,U,U,-2U6;-3S5;-1S6;-1U3;-3U5;-4U6;-5U5;-4S4;-2S4;-6U4;-1D1;-2D1;0S2;-5S2;-7U2,-1U3;-2S7;-1S6;-2U5;-3U5;-3S5;-4U6;-4S6;-5U4;-5S4;-1D1;-2D1;0S1;-6U2;-6S2,,
56,HCO3E,co2_c + h2o_c <=> h_c + hco3_c,HCO3 equilibration reaction,U;U;SS,SS,U,U,-1U2;-2U2;-3U2;-4U1;-5U1;-6U1;-3D1;-7U1;-2S1;-8U1;-4S1;-3S1;-9U1;-4D1;-5S1;-10U1,-2S2;-1U2;-2U2;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-2D1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1,,
57,IMPC,h2o_c + imp_c <=> fprica_c,IMP cyclohydrolase,U;U;SD,SD,U,U,-1U3;-2U1;0U1;-3U1;-4U1;-5U1;-6U1;-1S1;-7U1;-2D1;-3S1;-2S1;-8U1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1,-1U2;0D1;-2U1;-3U1;0U1;-2S1;-3S1;-4U1;-4S1;-5U1;-5S1;-1S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-2D1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1,,
58,IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,IMP dehydrogenase,U;U;SD,SD,U,U,-1U1;-2U1;0U1;-3U1;-4U1;-5U1;-6U1;-1S1;-7U1;-2D1;-3S1;-2S1;-8U1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1,-1U1;0D1;-2U1;-3U1;0U1;-2S1;-3S1;-4U1;-4S1;-5U1;-5S1;-1S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-2D1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1,,
59,LPADSS,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c,Lipid A disaccaride synthase,U;U;SU,SU,U,U,-1U2;-2U1;-3U1;-4U1;-5U1;-2S1;-6U1;-7U1;-2D1;-3D1;-3S1;-1D1;-1S1;-4D1;-4S1;-8U1;-9U1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1,-1U2;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-2D1;-1D1;-3D1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1,,
60,GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,Glutamyl-tRNA synthetase,U;U;SS,SS,U,U,U1;0U1;-1U1;-2U1;-3U1,0U1;-1U1;-1S1;-2U1;-2S1,,
61,TDSK,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c,Tetraacyldisaccharide 4'kinase,U;U;SS,SS,U,U,-2U2;-3U2;-4U2;-5U2;-6U2;-7U2;-8U2;-3S2;-9U2;-1U1;-2S1;-2D1;-3D1;-1D1;-1S1;-4D1;-4S1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1,-2U2;-3U2;-4U2;-4S2;-5U2;-5S2;-6U2;-6S2;-7U2;-7S2;-3S2;-8U2;-8S2;-1U1;-2S1;-2D1;-1D1;-3D1;-9U1;-9S1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1,,
62,PGI,g6p_c <=> f6p_c,Glucose-6-phosphate isomerase,U;U;SS,SS,U,U,S1,S1,,
63,TMPPP,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,Thiamine-phosphate diphosphorylase,U;U;SU,SU,U,U,0U1;-1U1;-2U1;-3U1;0S1;-4U1;-5U1;-6U1;-7U1;-2S1;-8U1;-1S1;-1D1;-2D1;-3S1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1,0U1;-1U1;-1S1;-2U1;-2S1;0S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-1D1;-8U1;-8S1;-2D1;-9U1;-9S1;-3D1;-10U1;-10S1,,
64,PGK,3pg_c + atp_c <=> 13dpg_c + adp_c,Phosphoglycerate kinase,U;U;SS,SS,U,U,0S1;-1U1;-2U2;-3S2;-1S1;-3U3;-4U3;-5U3;-6U1;-7U1;-2S1;-8U1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1,0S1;-1U1;-2S2;-1S1;-2U3;-3U3;-3S2;-4U3;-4S2;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1,,
65,RPE,ru5p__D_c <=> xu5p__D_c,Ribulose 5-phosphate 3-epimerase,U;U;SS,SS,U,U,-1S2,S1,,
66,DHQTi,3dhq_c --> 3dhsk_c + h2o_c,"3-dehydroquinate dehydratase, irreversible",U;U;SU,SU,U,U,0U1;-1U1;-2U1;-3U2,0U1;-1U1;-2U1,,
67,IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,3-isopropylmalate dehydrogenase,D;U;SU,SU,D,U,0D1;-2U1;-3U1;-4U1;-5U1,-2U1;-3U1;-3S1;-4U1;-4S1,,
68,AIRC3,5aizc_c <=> 5caiz_c,Phosphoribosylaminoimidazole carboxylase (mutase rxn),U;U;SD,SD,U,U,-1U2,-1U1;-2D1,,
69,TALA,g3p_c + s7p_c <=> e4p_c + f6p_c,Transaldolase,U;U;SS,SS,U,U,S1;0S1,0S1,,
70,PUNP1,adn_c + pi_c <=> ade_c + r1p_c,Purine-nucleoside phosphorylase (Adenosine),U;U;DS,DS,U,U,U1;0U1,U1,,
71,ADSL2r,25aics_c <=> aicar_c + fum_c,Adenylosuccinate lyase,;D;SD,SD,,D,,D1,,
72,TKT1,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,Transketolase,U;U;SS,SS,U,U,-1U1;-2S1;0S4,U1;-1S1;0S2,,
73,EX_fe2_e,fe2_e <=> ,Fe2+ exchange,;;SS,SS,,,,,,
74,ALCD2x,etoh_c + nad_c <=> acald_c + h_c + nadh_c,Alcohol dehydrogenase (ethanol),U;U;DS,DS,U,U,0U1;-1U1;-2U1;-3U1;-4U1;-1S1;-5U1;-2D1;-1D1;-2S1;-6U1;-7U1;-3S1;-8U1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1,-1S1;0U1;-1U1;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-1D1;0D1;-5U1;-5S1;0S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-2D1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1,,
75,TMDS,dump_c + mlthf_c --> dhf_c + dtmp_c,Thymidylate synthase,;U;SS,SS,,U,,U1,,
76,PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c,Phosphopantothenoylcysteine decarboxylase,U;U;SS,SS,U,U,0U1;-1U1;-2U1;-3U1;-4U1;-5U1;-6U1;-1S1;-7U1,0U1;-1U1;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-1S1;-6U1;-6S1,,
77,EX_glc__D_e,glc__D_e <=> ,D-Glucose exchange,U;U;SS,SS,U,U,-2U1;-3U1;-4U1;-5U1;-3S1;-6U1;-7U1;-4D1;-4S1;-8U1,-2S1;-2U1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-3D1;-7U1;-7S1,,
78,DHAD1,23dhmb_c --> 3mob_c + h2o_c,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",U;U;SU,SU,U,U,0U1;-1U5;-2U4;-2D1;-3U2;-4U1;-5U1;-2S1;-6U1;-3S1;-7U1;-4D1;-3D1;-4S1;-8U1;-9U1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1,0U1;-1U5;-1D1;-2S2;-2U3;-3U2;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-3D1;-2D1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1,,
79,IPPMIa,3c2hmp_c <=> 2ippm_c + h2o_c,3-isopropylmalate dehydratase,D;;SU,SU,D,,0D1,,,
80,MDH,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,Malate dehydrogenase,U;U;SS,SS,U,U,S1;-1U1,-1S1;-1U1,,
81,FUM,fum_c + h2o_c <=> mal__L_c,Fumarase,D;D;SD,SD,D,D,D1;-1S1;-2U1,S1;0D1;-2S1;-2U1,,
82,FMNAT,atp_c + fmn_c + h_c --> fad_c + ppi_c,FMN adenylyltransferase,U;U;SU,SU,U,U,-1U4;-1S4;-2U2;-3U2;-4U2;-5U2;-6U2;-2D2;-1D3;-7U2;-3S2;-2S2;-8U2;-3D2;-4S2;-9U2;-4D2;-5S2;-10U2;-5D2;-6S2;-11U2;-6D2;-7S2;-12U2;-7D2;-8S2;-13U2;-8D2;-9S2;-14U2;-9D2;-10S2;-15U2;-10D2;-11S2;-16U2,-1U2;-2U2;-2S2;-3U2;-3S2;-4U2;-4S2;-5U2;-5S2;-1S2;-6U2;-6S2;-7U2;-7S2;-8U2;-8S2;-1D2;-2D2;-9U2;-9S2;-3D2;-10U2;-10S2;-4D2;-11U2;-11S2;-5D2;-12U2;-12S2;-6D2;-13U2;-13S2;-7D2;-14U2;-14S2;-8D2;-15U2;-15S2,,
83,PYDXNK,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c,Pyridoxine kinase,U;U;SU,SU,U,U,-1U1;-2U1;-3U1;-4U1;-1S1;-5U1,-1U1;-2U1;-2S1;-3U1;-3S1;-1S1;-4U1;-4S1,,
84,OHPBAT,glu__L_c + ohpb_c <=> akg_c + phthr_c,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,U;U;SS,SS,U,U,U1;0U5;-1U9;-2U4;-3U3;-4U2,U1;0U6;-1U7;-2U3;-2S3;-3U2;-3S2;-1S1,,
85,KARA1,23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",U;U;SU,SU,U,U,0U2;-1U1;-2U1,0U1;-1U1,,
86,KARA2,2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,Ketol-acid reductoisomerase (2-Acetolactate),U;U;SU,SU,U,U,S1;0U2;-1U1;-2U2,0S1;0U1;-1U1;-2U1,,
87,EX_for_e,for_e --> ,Formate exchange,U;U;SS,SS,U,U,0S1;0U1;-1U1;-2U1;-1S1;-3U1,-1S1;0U1;-1U1;-2S1;-2U1,,
