,bio1,,,,,,,rxn05294_c0,rxn05295_c0,rxn05296_c0
cpd11461_c0,-0.031,0.031,,,,,,1,0,0
cpd11463_c0,-0.563,0.563,,,,,,0,0,1
cpd11462_c0,-0.21,0.21,,,,,,0,1,0
cpd00010_c0,-0.00280458,0,,,,,,0,0,0
cpd11493_c0,-0.00280458,0,,,,,,0,0,0
cpd12370_c0,0.00280458,0,,,,,,0,0,0
cpd00003_c0,-0.00280458,0,,,,,,0,0,0
cpd00006_c0,-0.00280458,0,,,,,,0,0,0
cpd00205_c0,-0.00280458,0,,,,,,0,0,0
cpd00254_c0,-0.00280458,0,,,,,,0,0,0
cpd10516_c0,-0.00280458,0,,,,,,0,0,0
cpd00063_c0,-0.00280458,0,,,,,,0,0,0
cpd00009_c0,39.99719542,0,,,,,,0,0,0
cpd00099_c0,-0.00280458,0,,,,,,0,0,0
cpd00149_c0,-0.00280458,0,,,,,,0,0,0
cpd00058_c0,-0.00280458,0,,,,,,0,0,0
cpd00015_c0,-0.00280458,0,,,,,,0,0,0
cpd10515_c0,-0.00280458,0,,,,,,0,0,0
cpd00030_c0,-0.00280458,0,,,,,,0,0,0
cpd00048_c0,-0.00280458,0,,,,,,0,0,0
cpd00034_c0,-0.00280458,0,,,,,,0,0,0
cpd00016_c0,-0.00280458,0,,,,,,0,0,0
cpd00220_c0,-0.00280458,0,,,,,,0,0,0
cpd00017_c0,-0.00280458,0,,,,,,0,0,0
cpd00201_c0,-0.00280458,0,,,,,,0,0,0
cpd00087_c0,-0.00280458,0,,,,,,0,0,0
cpd00345_c0,-0.00280458,0,,,,,,0,0,0
cpd00042_c0,-0.00280458,0,,,,,,0,0,0
cpd00028_c0,-0.00280458,0,,,,,,0,0,0
cpd00557_c0,-0.00280458,0,,,,,,0,0,0
cpd00264_c0,-0.00280458,0,,,,,,0,0,0
cpd00118_c0,-0.00280458,0,,,,,,0,0,0
cpd00056_c0,-0.00280458,0,,,,,,0,0,0
cpd15560_c0,-0.00280458,0,,,,,,0,0,0
cpd15352_c0,-0.00280458,0,,,,,,0,0,0
cpd15500_c0,-0.00280458,0,,,,,,0,0,0
cpd00166_c0,-0.00280458,0,,,,,,0,0,0
cpd01997_c0,0.00280458,0,,,,,,0,0,0
cpd03422_c0,0.00280458,0,,,,,,0,0,0
cpd00104_c0,-0.00280458,0,,,,,,0,0,0
cpd00037_c0,-0.00280458,0,,,,,,0,0,0
cpd00050_c0,-0.00280458,0,,,,,,0,0,0
cpd15793_c0,-0.031101845,0,,,,,,0,0,0
cpd15540_c0,-0.031101845,0,,,,,,0,0,0
cpd15533_c0,-0.031101845,0,,,,,,0,0,0
cpd15432_c0,-0.025002421,0,,,,,,0,0,0
cpd02229_c0,-0.025002421,0,,,,,,0,0,0
cpd15665_c0,-0.025002421,0,,,,,,0,0,0
cpd15666_c0,0.025002421,0,,,,,,0,0,0
cpd00002_c0,-40,-0.110144099,,,,,,0,-0.524495708,0
cpd00001_c0,-40,4.453327399,,,,,,0,0,7.909995381
cpd00008_c0,40,0,,,,,,0,0,0
cpd00067_c0,40,0,,,,,,0,0,0
cpd11416_c0,1,0,,,,,,0,0,0
cpd00115_c0,0,-0.015759515,,,,,,-0.508371454,0,0
cpd00012_c0,0,0.484460393,,,,,,2.066550626,2.001892017,0
cpd00241_c0,0,-0.01627202,,,,,,-0.524903859,0,0
cpd00356_c0,0,-0.01627202,,,,,,-0.524903859,0,0
cpd00357_c0,0,-0.015759515,,,,,,-0.508371454,0,0
cpd00038_c0,0,-0.135367938,,,,,,0,-0.64460923,0
cpd00052_c0,0,-0.084079465,,,,,,0,-0.400378403,0
cpd00062_c0,0,-0.090805822,,,,,,0,-0.432408676,0
cpd00023_c0,0,-0.218775545,,,,,,0,0,-0.388588889
cpd00033_c0,0,-0.509142274,,,,,,0,0,-0.904337964
cpd00035_c0,0,-0.427323777,,,,,,0,0,-0.759012038
cpd00039_c0,0,-0.28503074,,,,,,0,0,-0.506271297
cpd00041_c0,0,-0.200544249,,,,,,0,0,-0.356206482
cpd00051_c0,0,-0.246344821,,,,,,0,0,-0.437557408
cpd00053_c0,0,-0.218775545,,,,,,0,0,-0.388588889
cpd00054_c0,0,-0.179200294,,,,,,0,0,-0.318295371
cpd00060_c0,0,-0.127619068,,,,,,0,0,-0.226676852
cpd00065_c0,0,-0.047134569,,,,,,0,0,-0.08372037
cpd00066_c0,0,-0.154299012,,,,,,0,0,-0.274065741
cpd00069_c0,0,-0.120504416,,,,,,0,0,-0.214039815
cpd00084_c0,0,-0.076037842,,,,,,0,0,-0.135058334
cpd00107_c0,0,-0.37485322,,,,,,0,0,-0.66581389
cpd00119_c0,0,-0.079150502,,,,,,0,0,-0.140587037
cpd00129_c0,0,-0.184091617,,,,,,0,0,-0.326983334
cpd00132_c0,0,-0.200544249,,,,,,0,0,-0.356206482
cpd00156_c0,0,-0.351730601,,,,,,0,0,-0.624743519
cpd00161_c0,0,-0.210771561,,,,,,0,0,-0.374372223
cpd00322_c0,0,-0.241453498,,,,,,0,0,-0.428869445
