,Class,Count,Reactions,Pathway,Regulon,Superclass,Base,Prod,React
0,D||SS,2,"DHORTS,HBZOPT",,,none,|SS,,D
1,|S|SU,1,CS,,,US,|SU,,
2,|U|SS,12,"ICDHyr,ENO,TKT1,TMDS,UAGDP,ADCL,DAPE,P5CR,PROt4pp,ALAALAr,5DOAN,ICYSDS",,,none,|SS,U,
3,U|U|SD,6,"TRPAS2,GLUPRT,PRFGS,CBPS,GLNS,ACGS",,,DReg,|SD,U,UU
4,S||SS,7,"DB4PS,A5PISO,TALA,MDH,TKT2,PFK,ACONTa",,,none,|SS,,
5,U||SS,26,"ALAR,ACLS,PSCVT,PFL,GLUTRS,DXPS,UAGCVT,PPC,ADSS,ASNS2,KDOPS,DDPA,UAGAAT,DHDPS,PRPPS,SERAT,ASPK,DHFS,PROt2rpp,THRD_L,E4PD,PSSA161,PSSA160,POR5,APG3PAT160,APG3PAT161",,,none,|SS,,UU
6,U|U|SU,9,"ALATA_L,ILETA,ANS,LEUTAi,ADCS,ASP1DC,TYRTA,VPAMTr,TYRL",,,US,|SU,U,UU
7,|U|SD,2,"GLYK,PERD",,,DReg,|SD,U,
8,U||DS,9,"PPM,GLUCYS,SERASr,PDH,ADNK1,PSSA181,APG3PAT181,SEPHCHCS,4HTHRA",,,DS,|DS,,UU
9,U|U|SS,15,"ASPTA,PYK,OHPBAT,GHMT2r,CTPS2,ACODA,SDPTA,ACOTA,PSERT,GLUDy,HSTPT,IG3PS,PANTS,PYK2,PYK3",,,none,|SS,U,UU
10,D||DS,2,"GLGC,G1PTT",,,DS,|DS,,D
11,D||SU,2,"IPPMIb,HSK",,,US,|SU,,D
12,D||SD,1,ORPT,,,DReg,|SD,,D
13,U|S|SS,1,ACHBS,,,none,|SS,,UU
14,S|S|SS,1,PGI,,,none,|SS,,
15,|S|SS,3,"RPE,SDPDS,PPNDH",,,none,|SS,,
16,U|U|DS,3,"PUNP1,MTAN,GTHS",,,DS,|DS,U,UU
