,Class,Count,Reactions,Pathway,Regulon,Superclass,Base,Prod,React
17,|D|SD,3,"ADSL2r,ARGSL,ADSL1r",,,DReg,|SD,D,
18,D|S|SD,1,FUM,,,DReg,|SD,,D
19,S||SU,2,"KARA2,SUCOAS",,,US,|SU,,
20,|U|DD,1,ICHORT,,,DReg,|DD,U,
21,U||SD,6,"ARGSS,GLUR,OCBT,PRAGSr,PRASCSi,ACGK",,,DReg,|SD,,UU
22,D|UUD|DS,1,SPMS,,,AdjBNDS,|DS,U,D
23,U||SU,8,"UAGPT3,PNTK,DTMPK,UAAGDS,UAMAS,UGMDDS,GLU5K,AOXSr2",,,US,|SU,,UU
24,U|D|SU,1,ASPCT,,,US,|SU,D,UU
25,|U|SU,3,"THRS,PSP_L,BTS5",,,US,|SU,U,
26,D|S|SU,1,HSST,,,US,|SU,,D
27,S|D|DS,1,PGMT,,,DS,|DS,D,
28,|S|DS,1,RHCCE,,,DS,|DS,,
29,D||DU,1,GALUi,,,FutUpreg,|DU,,D
30,SU|U|SS,1,GF6PTA,,,none,|SS,U,UU
31,U|S|SD,1,DAPDC,,,DReg,|SD,,UU
32,US|U|SU,1,PHETA1,,,US,|SU,U,UU
33,U||DU,4,"METAT,PGSA160,PGSA161,PGSA181",,,FutUpreg,|DU,,UU
34,|D|SU,2,"IPPS,HSDy",,,US,|SU,D,
35,|U|DS,3,"AHCYSNS,LIPOS,SHCHCS3",,,DS,|DS,U,
36,|DU|SS,1,CHRPL,,,none,|SS,U,
37,|SU|SS,1,CYSTL,,,none,|SS,U,
38,S|S|SU,1,SHSL1,,,US,|SU,,
39,S|U|SS,2,"METS,RPI",,,none,|SS,U,
40,UD|S|SS,1,ASPO5,,,none,|SS,,UU
41,U|SU|SS,1,GLCptspp,,,none,|SS,U,UU
42,D||US,1,GLYCLTt2rpp,,,US,|US,,D
43,|D|US,1,GCALDD,,,US,|US,D,
44,U|S|US,1,LDH_D,,,US,|US,,UU
45,U|D|DS,1,ORNDC,,,DS,|DS,D,UU
46,|U|DU,1,ALAALAabcpp,,,FutUpreg,|DU,U,
47,S||US,1,D_LACt2pp,,,US,|US,,
48,D|S|SS,1,PPPGO3,,,none,|SS,,D
49,D|DS|SS,1,DHORDfum,,,DS,|SS,D,D
50,S|D|SS,1,SUCDi,,,none,|SS,D,
51,US||SS,1,BIOMASS_Ec_iML1515_core_75p37M,,,none,|SS,,UU
52,USD||DS,1,BIOMASS_Ec_iML1515_WT_75p37M,,,DS,|DS,,UU
53,-1U-1S-1D|-1S-1D-1U|UU,5,"PAI2T,PAI2T,PAI2T,PAI2T,PAI2T",,,UpReg,|UU,U,UU
54,0S|-1U|SS,2,"ACONTb,ACONTb",,,none,|SS,U,
55,-1U-1S|-1U|SS,7,"TRPS3,TRPS3,TPI,TRPS3,TPI,TRPS3,TPI",,,none,|SS,U,UU
56,0S||SS,2,"RBFSa,GAPD",,,none,|SS,,
57,0S0U|-1U|SD,4,"GART,GART,GART,GART",,,DReg,|SD,U,UU
58,0S0U||SS,4,"FORtppi,FORtppi,FORtex,EX_for_e",,,none,|SS,,UU
59,|-1U|SS,4,"ALCD19,DUTPDP,G5SADs,DALAt2pp",,,none,|SS,U,
60,|-1U|DD,2,"GLYCtpp,MPTSS",,,DReg,|DD,U,
61,0D-1U-1S||DU,2,"GLCS1,GLCS1",,,FutUpreg,|DU,,UU
62,-1U0S|-1U|SU,4,"DHAD2,DHAD2,THDPS,THDPS",,,US,|SU,U,UU
63,0D||SU,1,IPPMIa,,,US,|SU,,D
64,0D||SS,2,"OMPDC,OPHBDC",,,none,|SS,,D
65,0U||SU,13,"KARA1,GLUTRR,GLUTRR,DXPRIi,PAPPT3,KDOPP,PAPPT3,AMAOTr,G5SD,AMAOTr,AGPAT160,AGPAT161,DHQTi",,,US,|SU,,UU
66,-1U||SS,14,"SHKK,3OAR140,PMEACPE,ACPPAT160,ACPPAT161,EAR160x,3HAD140,EAR161x,MEOHtrpp,EAR161x,EAR160x,EAR140x,MEOHtex,EX_meoh_e",,,none,|SS,,UU
67,0U-1S-1D|-1U-1D|SU,5,"CHORS,CHORS,CHORS,CHORS,CHORS",,,US,|SU,U,UU
68,0U||DU,8,"ACALD,ACALD,PGPP160,PGPP161,PGPP181,ACALD,AGPAT181,DMPPS",,,FutUpreg,|DU,,UU
69,0U||SS,32,"ACOATA,PTAr,UAPGR,UAMAGS,DHQS,UAMAGS,UAPGR,UAMAGS,UHGADA,DHDPRy,ATPPRT,NNDPR,ACOATA,PTAr,CYTK1,PSD161,CYTK1,CYTK1,CYTK1,CYTK1,PSD160,CYTK1,MECDPDH5,ACOATA,PTAr,MECDPDH5,G1SAT,KAS14,DM_amob_c,3OAR40,PPBNGS,3HAD40",,,none,|SS,,UU
70,0U|-1U|SS,7,"G1PACT,G1PACT,G1PACT,G1PACT,OGMEACPS,OGMEACPR,OGMEACPD",,,none,|SS,U,UU
71,0U-1S-1D||SS,32,"ACCOAC,MPTG,ACCOAC,RNTR1c2,ACCOAC,RNTR1c2,RNTR1c2,MPTG,RNTR1c2,ACCOAC,MPTG,MCOATA,3OAS160,3OAS60,3OAS80,3OAS120,3OAR161,3OAR141,3OAR161,3OAR60,3OAR160,3OAR121,3OAR120,3OAR160,OPMEACPR,OPMEACPR,3HAD121,3HAD141,3HAD141,3HAD121,3HAD60,3HAD60",,,none,|SS,,UU
72,0U|0U|SU,23,"ANPRT,THZPSN3,DASYN160,DASYN161,ACt2rpp,ANPRT,DASYN161,DASYN160,DASYN161,DASYN160,THZPSN3,THZPSN3,SADT2,SADT2,GTPCI,THZPSN3,PRAIi,MOAT,MOAT2,ADSK,MOAT,MOAT2,DPCOAK",,,US,|SU,U,UU
73,-1U|-1U|SS,8,"OMCDC,PGCD,HCO3E,PRMICI,DPR,UMPK,GK1,TDSK",,,none,|SS,U,UU
74,|-1U|SD,1,PGM,,,DReg,|SD,U,
75,0S||SU,1,GAPP,,,US,|SU,,
76,0S||DS,3,"S7PI,GMHEPK,GMHEPPA",,,DS,|DS,,
77,0U-1S-1D|0D0U|SD,5,"AICART,AICART,AICART,AICART,AICART",,,DReg,|SD,U,UU
78,-1U0S|-1U|SS,4,"FBA,FBA,FBA,FBA",,,none,|SS,U,UU
79,0U-1S-1D|0U|SU,8,"DHFR,DHFR,MTHFR2,DHFR,MTHFR2,DHFR,MTHFR2,DHFR",,,US,|SU,U,UU
80,0U|-1U|DU,2,"4HTHRK,4HTHRK",,,FutUpreg,|DU,U,UU
81,-1U|-1U|DU,2,"ICHORS_copy2,ICHORS_copy2",,,FutUpreg,|DU,U,UU
82,|0U|DD,2,"DHBD,SUCBZS",,,DReg,|DD,U,
83,-1D0U|-1U-1D|DS,2,"ADMDC,ADMDC",,,DS,|DS,U,UU
84,0U||SD,2,"PDX5PS,PRATPP",,,DReg,|SD,,UU
85,0U-1S-1D|-1U|SD,5,"GARFT,GARFT,GARFT,GARFT,GARFT",,,DReg,|SD,U,UU
86,0U-1S-1D|0U|SS,14,"MOHMT,MOHMT,RNTR3c2,RNTR2c2,RNTR3c2,RNTR2c2,RNTR3c2,RNTR2c2,RNTR3c2,RNTR2c2,MOHMT,RNTR3c2,RNTR2c2,MOHMT",,,none,|SS,U,UU
87,0U|0U|SS,20,"MTHFD,KDOCT2,MEPCT,PPNCL2,PPNCL2,IGPDH,HISTP,IGPDH,RNTR4c2,RNTR4c2,RNTR4c2,GTPCII2,DM_4crsol_c,DHPPDA2,PPCDC,DNTPPA,ACtex,CDPMEK,PTPATi,EX_ac_e",,,none,|SS,U,UU
88,-1D0U-1S||SS,4,"NDPK4,NDPK4,NDPK4,NDPK4",,,none,|SS,,UU
89,0D||DS,2,"TDPGDH,TDPDRE",,,DS,|DS,,D
90,-1U|0U|SS,2,"DHPS2,DHPS2",,,none,|SS,U,UU
91,0U|0U|DU,6,"DASYN181,DASYN181,DASYN181,CPMPS,EDTXS2,EDTXS2",,,FutUpreg,|DU,U,UU
92,0U-1S-1D|0U|DD,2,"MOCDS,MOCDS",,,DReg,|DD,U,UU
93,0U-1S-1D||DS,9,"MPTG2,ENTCS,MPTG2,ENTCS,MPTG2,3OAS181,3OAS181,3OAR181,3OAR181",,,DS,|DS,,UU
94,-1D||DU,1,OCTDPS,,,FutUpreg,|DU,,D
95,0U-1S-1D||US,4,"NDPK1,NDPK1,NDPK1,NDPK1",,,US,|US,,UU
96,-1U||SD,5,"IMPC,AIRC3,IMPD,MECDPS,MECDPS",,,DReg,|SD,,UU
97,|-1S|SS,1,CHORM,,,none,|SS,,
98,|0S|UU,1,AI2K,,,UpReg,|UU,,
99,|0S|SS,3,"DHPTDCs2,MTHTHFSs,DM_mththf_c",,,none,|SS,,
100,0D-1U|-1U|DS,7,"GLCTR1,GALT1,GLCTR3,GLCTR1,GALT1,GLCTR3,HEPT4",,,DS,|DS,U,UU
101,0D-1U|-1U|DD,2,"GLCTR2,GLCTR2",,,DReg,|DD,U,UU
102,0U|-1D|SS,3,"ASAD,ASAD,ASAD",,,none,|SS,D,UU
103,0S0U|0U|SS,1,PGAMT,,,none,|SS,U,UU
104,0U-1S-1D|-1S-1U|SU,6,"CYSS,CYSS,CYSS,CYSS,CYSS,CYSS",,,US,|SU,U,UU
105,0U|-1U|SU,4,"UPP3MT,MALCOAMT,UPP3MT,MALCOAMT",,,US,|SU,U,UU
106,0U-1S-1D|-1U|DS,6,"AMMQLT8,DMQMT,AMMQLT8,DMQMT,AMMQLT8,DMQMT",,,DS,|DS,U,UU
107,0U|-1U|DS,6,"OMBZLM,OHPHM,OHPHM,OMBZLM,OMPHHXy,OMPHHXy",,,DS,|DS,U,UU
108,0U|-1U|SD,4,"AGPR,AGPR,ACKr,ACKr",,,DReg,|SD,U,UU
109,0U|0U|SD,4,"PRAIS,AIRC2,AIRC2,AIRC2",,,DReg,|SD,U,UU
110,-1U|-1D-1U|SU,2,"DHAD1,DHAD1",,,US,|SU,U,UU
111,0U0D|0S|SS,1,QULNS,,,none,|SS,,UU
112,-1U-1S-1D|0U|SS,3,"CAt6pp,CAt6pp,CAt6pp",,,none,|SS,U,UU
113,-1U|-1S-1U|SS,1,GLCtex_copy1,,,none,|SS,U,UU
114,0D||US,2,"GLYCLTtex,EX_glyclt_e",,,US,|US,,D
115,-1U|-1U|SD,1,PPND,,,DReg,|SD,U,UU
116,0U|0U|DS,6,"5MTRtpp,MOAT3C,MOAT3C,5MTRtex,EDTXS1,EX_5mtr_e",,,DS,|DS,U,UU
117,-1U|-1D|SS,2,"DHNPA2r,DHNPA2r",,,none,|SS,D,UU
118,|-1U|DU,2,"MLDCP3App,LIPOCT",,,FutUpreg,|DU,U,
119,|-1U|DS,1,MCTP1Bpp,,,DS,|DS,U,
120,-1U-1S-1D|-1U|DU,2,"MLDCP1App,MLDCP1App",,,FutUpreg,|DU,U,UU
121,0S||US,2,"D_LACtex,EX_lac__D_e",,,US,|US,,
122,-1D|-1S|SU,1,CPPPGO,,,US,|SU,,D
123,0D-1U-1S|0S|SS,3,"FCLT,FCLT,FCLT",,,none,|SS,,UU
124,|0U|SS,8,"DM_5drib_c,I2FE2SS2,I2FE2SR,I2FE2SS,I2FE2SS2,I2FE2SR,I2FE2SS,I2FE2SR",,,none,|SS,U,
125,0S|0D|SS,2,"CYTBO3_4pp,CYTBO3_4pp",,,none,|SS,D,
126,0U||DS,5,"PSD181,ALCD2x,ETOHtrpp,ETOHtex,EX_etoh_e",,,DS,|DS,,UU
127,-1U||DS,3,"ACPPAT181,EAR181x,EAR181x",,,DS,|DS,,UU
128,|0U|DS,3,"MOADSUx,MOADSUx,SUCBZL",,,DS,|DS,U,
129,-1U-1S-1D|-1U|SS,6,"I2FE2ST,I4FE4ST,I2FE2ST,I4FE4ST,I2FE2ST,I4FE4ST",,,none,|SS,U,UU
130,|-1U|SU,1,DBTS,,,US,|SU,U,
131,-1U|-1U|SU,1,LPADSS,,,US,|SU,U,UU
132,0U-1S-1D|0U|DU,6,"MOGDS,MOGDS,MPTS,MPTS,MPTS,MPTS",,,FutUpreg,|DU,U,UU
133,-1U-1S-1D||SS,23,"MTHFC,NDPK3,FE3abcpp,HISTD,Kt2pp,MG2t3_2pp,PE160abcpp,PE161abcpp,PDX5PO2,SO4t2pp,UDCPDPS,MTHFC,NDPK3,FE3abcpp,HISTD,Kt2pp,MG2t3_2pp,PE160abcpp,PE161abcpp,PDX5PO2,NADH16pp,SO4t2pp,UDCPDPS",,,none,|SS,,UU
134,-1U-1S||SS,2,"OPHHX3,K2L4Aabctex",,,none,|SS,,UU
135,-1U-1S-1D||SU,24,"CLt3_2pp,COBALT2tpp,CU2tpp,FMNAT,MN2tpp,NADS1,NADK,NI2tpp,RBFSb,SHCHF,ZN2tpp,CLt3_2pp,COBALT2tpp,CU2tpp,FMNAT,MN2tpp,NADS1,NADK,NI2tpp,RBFSb,SHCHF,ZN2tpp,RBFK,RBFK",,,US,|SU,,UU
136,-1U-1S-1D||DD,2,"MOCOS,MOCOS",,,DReg,|DD,,UU
137,-1U-1S-1D||DU,11,"MOBDabcpp,DHNAOT4,CBLAT,CLPNS160pp,CLPNS161pp,CLPNS181pp,MOBDabcpp,MLDEP1pp,MDDCP4pp,MDDCP1pp,MDDCP2pp",,,FutUpreg,|DU,,UU
138,-1U-1S||SU,1,MCTP1App,,,US,|SU,,UU
139,-1U-1S-1D||SD,2,"TMPK,TMPK",,,DReg,|SD,,UU
140,-1U-1S-1D||DS,7,"COLIPAabctex,HEMEOS,PE181abcpp,PG160abcpp,PG161abcpp,PG181abcpp,PPA2",,,DS,|DS,,UU
141,-2D|-2S|SS,1,UPPDC1,,,none,|SS,,D
142,-1S||SU,1,PMDPHT,,,US,|SU,,
143,-2U-2S-2D||DU,3,"GRTT,GRTT,GRTT",,,FutUpreg,|DU,,UU
144,0U-2S-2D||SU,5,"IPDPS,NNATr,IPDPS,NNATr,IPDPS",,,US,|SU,,UU
145,0U-1S-1D||SU,8,"UDCPDP,UDCPDP,UDCPDP,UDCPDP,OPMEACPS,3OAS161,3OAS121,3OAS141",,,US,|SU,,UU
146,-2U|-2U|SU,2,"USHD,USHD",,,US,|SU,U,UU
147,0U|-2U|SU,3,"U23GAAT,U23GAAT,U23GAAT",,,US,|SU,U,UU
148,0D-2U|-2U|SU,2,"IPMD,IPMD",,,US,|SU,U,UU
149,-1U-2S-2D|0U|DD,2,"DHBS,DHBS",,,DReg,|DD,U,UU
150,0U-2S-2D|-1U|DS,2,"OMMBLHX3,OMMBLHX3",,,DS,|DS,U,UU
151,-2U-2S|-2U|SU,1,IGPS,,,US,|SU,U,UU
152,-1D-1U-2S|-2U|DS,2,"RHAT1,RHAT1",,,DS,|DS,U,UU
153,-1S0U|0U|SU,3,"AMPMS2,AMPMS2,AMPMS2",,,US,|SU,U,UU
154,-2U|-2U|SD,2,"PRAMPC,GMPS",,,DReg,|SD,U,UU
155,-1U-2S-2D|-2S-2U|SU,1,SULR,,,US,|SU,U,UU
156,0U-2S-2D|0U|SU,2,"TMPPP,TMPPP",,,US,|SU,U,UU
157,0S-2U|-2U|SS,3,"PGK,PGK,PGK",,,none,|SS,U,UU
158,-2U-2S-2D||SS,10,"Ktex,SO4tex,Zn2tex,NI2tex,COBALT2tex,MNtex,CLtex,CU2tex,MG2tex,FE3tex",,,none,|SS,,UU
159,-2U|-2S-2U|SS,1,EX_glc__D_e,,,none,|SS,U,UU
160,-1U|-1U-1D|SD,2,"HPPK2,HPPK2",,,DReg,|SD,U,UU
161,-2U-2S-2D||DS,5,"CBL1abcpp,MOBDtex,DHNCOAT,COLIPAabcpp,MPTAT",,,DS,|DS,,UU
162,-2U||SU,1,SHK3Dr,,,US,|SU,,UU
163,0U-2S-2D|-1U|SU,2,"SHCHD2,SHCHD2",,,US,|SU,U,UU
164,-1U|-2U|SS,1,UPP3S,,,none,|SS,U,UU
165,-2U-2S-2D||SU,1,PYDXNK,,,US,|SU,,UU
166,0U-1S-1D|-2U|DU,6,"MDDCP3pp,MCTP2App,MCTP2App,MDDCP3pp,MDDCP3pp,MCTP2App",,,FutUpreg,|DU,U,UU
167,-2U||SS,4,"3OAS140,EPMEACPR,3HAD161,3HAD160",,,none,|SS,,UU
168,-2U-2S-2D|-1U|SS,1,CA2tex,,,none,|SS,U,UU
169,-2U-2S||SS,1,K2L4Aabcpp,,,none,|SS,,UU
170,-2U-2S-2D|0U|SS,2,"I4FE4SR,I4FE4SR",,,none,|SS,U,UU
171,|-2U|SS,1,EAR80x,,,none,|SS,U,
172,-2U-2S-2D|0S-2D-2U|UU,2,"PAI2I,PAI2I",,,UpReg,|UU,U,UU
173,-2U|-2D|SS,1,DNMPPA,,,none,|SS,D,UU
174,-2S0U|0U|SS,2,"APRAUR,APRAUR",,,none,|SS,U,UU
175,0U-2S-2D||DU,3,"DMATT,DMATT,DMATT",,,FutUpreg,|DU,,UU
176,-2U|-3U|SS,1,HMBS,,,none,|SS,U,UU
177,0U-1S-3D|0U|SU,2,"PMPK,PMPK",,,US,|SU,U,UU
178,-3U-3S-3D||SS,11,"PYDXNtpp,EX_k_e,EX_so4_e,EX_ni2_e,EX_fe3_e,EX_mg2_e,EX_zn2_e,EX_cobalt2_e,EX_cu2_e,EX_cl_e,EX_mn2_e",,,none,|SS,,UU
179,0D-2U-3S|-3U|DS,2,"TDPDRR,TDPDRR",,,DS,|DS,U,UU
180,0U-1S-1D|-2U|SS,6,"3OAS100,3OAS100,3OAR100,3HAD100,3HAD100,3HAD100",,,none,|SS,U,UU
181,0U-3S-3D|-3S0U|SU,2,"PAPSR,PAPSR",,,US,|SU,U,UU
182,-3U-3S-3D||DS,2,"CBL1tonex,EX_mobd_e",,,DS,|DS,,UU
183,-1D-2U|-2U|DD,2,"AGMHE,HEPT2",,,DReg,|DD,U,UU
184,-1U|-1U|DS,1,HEPK2,,,DS,|DS,U,UU
185,-3U-3S-3D|0U|DS,2,"DHNCOAS,DHNCOAS",,,DS,|DS,U,UU
186,-2U||DS,1,3HAD181,,,DS,|DS,,UU
187,-3U-3S-3D|-2U|SS,1,EX_ca2_e,,,none,|SS,U,UU
188,-3U||SS,2,"EAR120x,OPMEACPD",,,none,|SS,,UU
189,|-3U|SS,1,3HAD80,,,none,|SS,U,
190,0S-2D-3U|-3U|DS,2,"GMHEPAT,GMHEPAT",,,DS,|DS,U,UU
191,-1D-2U|-2U|DS,5,"HEPT3,HEPT1,HEPT3,HEPK1,HEPK1",,,DS,|DS,U,UU
192,0U-3S-3D|-3S0U|SS,3,"TRDR,BPNT,TRDR",,,none,|SS,U,UU
193,-1U-2S-2D||SS,7,"EAR141x,EAR121x,EAR40x,T2DECAI,EAR60x,EAR100x,EGMEACPR",,,none,|SS,,UU
194,0U-1S-1D|-4U|SS,2,"3OAR80,3OAR80",,,none,|SS,U,UU
195,-4U||SS,1,3HAD120,,,none,|SS,,UU
196,-4U-4S-4D||SS,1,PYDXNtex,,,none,|SS,,UU
197,-4U-4S-4D||DS,1,EX_cbl1_e,,,DS,|DS,,UU
198,-5U-5S-5D||SS,1,EX_pydxn_e,,,none,|SS,,UU
