,id,value
0,CYTDK2,0.0
1,CYTDK2_reverse_fd949,0.0
2,XPPT,0.0
3,XPPT_reverse_acb2c,0.0
4,HXPRT,0.0
5,HXPRT_reverse_c7021,0.0
6,NDPK5,999.9906534759999
7,NDPK5_reverse_6973f,1000.0
8,SHK3Dr,1000.0
9,SHK3Dr_reverse_d5c8f,999.8598590367998
10,NDPK6,1000.0
11,NDPK6_reverse_d41ea,1000.0
12,NDPK8,1000.0
13,NDPK8_reverse_13dd1,1000.0
14,DHORTS,999.8793019167997
15,DHORTS_reverse_82d73,1000.0
16,OMPDC,0.12069808320029551
17,OMPDC_reverse_45ba1,0.0
18,PYNP2r,1000.0
19,PYNP2r_reverse_d20f8,999.9906534759999
20,G5SD,0.08093588640020899
21,G5SD_reverse_af8c0,0.0
22,CS,3.4129483997053285
23,CS_reverse_8d7e9,0.0
24,ICDHyr,7.874015748031496
25,ICDHyr_reverse_7f84b,4.461067348326196
26,ALATA_L2,0.0
27,ALATA_L2_reverse_ef76c,0.0
28,DURIPP,999.9906534759999
29,DURIPP_reverse_e8f8a,1000.0
30,ACALD,118.11023622047244
31,ACALD_reverse_fda2b,118.11023622047242
32,PTRCTA,0.0
33,PTRCTA_reverse_1e90c,0.0
34,ACS,0.0
35,ACS_reverse_37635,0.0
36,CYSDS,0.0
37,CYSDS_reverse_c49c8,0.0
38,MAN6PI,1000.0
39,MAN6PI_reverse_d96f0,1000.0
40,PPA,1.342799145596214
41,PPA_reverse_c5293,0.0
42,APRAUR,0.0001680528000004657
43,APRAUR_reverse_e674d,0.0
44,TRPAS2,999.9791878287999
45,TRPAS2_reverse_d1c71,1000.0
46,PPCK,0.0
47,PPCK_reverse_2557d,0.0
48,ME1,0.0
49,ME1_reverse_9736c,0.0
50,DB4PS,0.0003361056000009314
51,DB4PS_reverse_43dd1,0.0
52,ALAR,1000.0
53,ALAR_reverse_77133,999.9908505423999
54,RBFK,8.402640000024872e-05
55,RBFK_reverse_8faa7,0.0
56,ALATA_L,1000.0
57,ALATA_L_reverse_e54ff,1000.0
58,XYLK,0.0
59,XYLK_reverse_f9b1e,0.0
60,RBK,0.0
61,RBK_reverse_ee934,0.0
62,GLYK,0.0024167952000062405
63,GLYK_reverse_bda48,0.0
64,PPM,244.09448818897638
65,PPM_reverse_4bb1e,488.1921094699527
66,ASPTA,998.9223463480054
67,ASPTA_reverse_36525,1000.0
68,ACP1_FMN,0.0
69,ACP1_FMN_reverse_00b14,0.0
70,RBFSb,0.0001680528000004657
71,RBFSb_reverse_32299,0.0
72,NDP3,0.0
73,NDP3_reverse_dfe84,0.0
74,CDPPH,0.0
75,CDPPH_reverse_27580,0.0
76,NDP7,0.0
77,NDP7_reverse_1a4e9,0.0
78,FBP,0.0
79,FBP_reverse_bf2c9,0.0
80,EX_pi_e,23.62204724409449
81,EX_pi_e_reverse_1fb09,23.976853804886588
82,GLGC,0.058097661600150015
83,GLGC_reverse_f6fb0,0.0
84,ALATA_D2,0.0
85,ALATA_D2_reverse_13566,0.0
86,PYK,0.0
87,PYK_reverse_bc8ff,0.0
88,SHCHD2,8.402640000021697e-05
89,SHCHD2_reverse_d3585,0.0
90,EX_co2_e,11.26165201726576
91,EX_co2_e_reverse_d0466,0.0
92,A5PISO,1000.0
93,A5PISO_reverse_3adc0,999.9907861096
94,PMDPHT,0.0001680528000004657
95,PMDPHT_reverse_8a0fd,0.0
96,CPPPGO,0.00016805280000043395
97,CPPPGO_reverse_f858f,0.0
98,EX_met__L_e,0.0
99,EX_met__L_e_reverse_14908,0.0
100,GTHOr,1000.0
101,GTHOr_reverse_8f1f9,1000.0
102,ILETA,999.8936270991998
103,ILETA_reverse_aec70,1000.0
104,DHORD5,0.0005407079998647462
105,DHORD5_reverse_e7a65,0.0
106,EX_metsox_S__L_e,0.0
107,EX_metsox_S__L_e_reverse_27066,0.0
108,GLYCTO2,0.0
109,GLYCTO2_reverse_b9aca,0.0
110,VALTA,999.6379355175991
111,VALTA_reverse_1d084,1000.0
112,GLYCTO3,0.0
113,GLYCTO3_reverse_59bab,0.0
114,IPPMIb,999.8350452495996
115,IPPMIb_reverse_e37a1,1000.0
116,GLYCTO4,0.0
117,GLYCTO4_reverse_9c086,0.0
118,ORPT,999.8793019167997
119,ORPT_reverse_19432,1000.0
120,RBFSa,0.0003361056000009314
121,RBFSa_reverse_61d96,0.0
122,ACHBS,0.10637290080027467
123,ACHBS_reverse_13e5f,0.0
124,PFK_3,0.0
125,PFK_3_reverse_037e0,0.0
126,DHAD2,0.10637290080023831
127,DHAD2_reverse_755c6,0.0
128,ACLS,0.3201059183998307
129,ACLS_reverse_66503,0.0
130,TRPS2,0.0
131,TRPS2_reverse_cd73f,0.0
132,PSCVT,1000.0
133,PSCVT_reverse_1a852,999.8598590367998
134,G3PD5,0.0
135,G3PD5_reverse_cbf7e,0.0
136,G1PP,0.0
137,G1PP_reverse_daa8e,0.0
138,PFL,0.0
139,PFL_reverse_af9ec,0.0
140,EX_acgam_e,0.0
141,EX_acgam_e_reverse_da887,0.0
142,ANS,0.020812171200053742
143,ANS_reverse_4e062,0.0
144,FRD2,0.0
145,FRD2_reverse_9a9f9,0.0
146,FRD3,0.0
147,FRD3_reverse_78134,0.0
148,ANPRT,0.020812171200053742
149,ANPRT_reverse_e2684,0.0
150,POX,0.0
151,POX_reverse_35cf5,0.0
152,CHORM,0.11840450160030574
153,CHORM_reverse_38aac,0.0
154,PTAr,0.0
155,PTAr_reverse_fce15,0.22273740719958823
156,CHORS,0.1401409632002526
157,CHORS_reverse_17772,0.0
158,IGPS,0.020812171200053742
159,IGPS_reverse_feb80,0.0
160,ACKr,1000.0
161,ACKr_reverse_b49c0,999.7772625928004
162,EX_cellb_e,0.0
163,EX_cellb_e_reverse_efaa7,0.0
164,EX_crn_e,1.4210854715202004e-13
165,EX_crn_e_reverse_a19eb,0.0
166,EX_hxan_e,0.0
167,EX_hxan_e_reverse_90f99,0.0
168,EX_ile__L_e,0.0
169,EX_ile__L_e_reverse_e862a,0.0
170,EX_chol_e,0.0
171,EX_chol_e_reverse_b6b50,0.0
172,EX_fe3_e,23.62204724409449
173,EX_fe3_e_reverse_8b617,18.496594355165513
174,LEUTAi,0.16495475040042595
175,LEUTAi_reverse_0ec8d,0.0
176,EX_lac__L_e,0.0
177,EX_lac__L_e_reverse_8586b,0.0
178,EX_leu__L_e,0.0
179,EX_leu__L_e_reverse_d40a5,0.0
180,EX_glcn_e,0.0
181,EX_glcn_e_reverse_9e36b,0.0
182,EX_no3_e,0.0
