Blattner,pdxBJ_20nM PN_Ave,WT_5uM PN_Ave,FoldChange
b0001,10.45282784,8.61320939,0.279270483
b0002,12.04906446,9.876858526,0.286796983
b0011,3.246875201,3.437892988,-0.082472705
b0104,6.925355824,6.72988691,0.041305937
b0987,5.93952026,5.092696421,0.221916688
b4576,7.944385369,6.441944874,0.302439292
b0989,3.74900859,3.218742108,0.220012141
b0990,9.110089358,7.701210421,0.242379989
b0991,6.167093875,5.679933889,0.118716669
b4517,7.747780605,7.342640431,0.077484149
b0992,3.725400604,3.34616426,0.154887304
b0993,3.841141704,3.143295431,0.289257313
b0994,4.022762457,4.678248079,-0.217781817
b0106,3.065439088,2.998050329,0.032069135
b0995,3.88945127,3.799299615,0.033833144
b0996,1.852798988,1.939266502,-0.065804708
b0997,2.826929164,2.710277526,0.060795145
b0998,4.333439848,3.683125955,0.234581944
b0999,0.374448478,2.716178722,-2.85873928
b1000,7.517658665,7.394429745,0.02384452
b1001,1.733440515,2.540409371,-0.551422667
b1002,7.522747226,8.841562013,-0.233041654
b1003,10.05786291,9.402074043,0.097272847
b1004,9.78810198,9.148970478,0.097419725
b0107,3.514939039,3.153530209,0.156531915
b4518,8.013815738,5.867671922,0.44970113
b1006,4.04006715,3.762888407,0.102538767
b1007,2.67290994,2.711629674,-0.020748935
b1008,2.472587896,2.449612469,0.013468276
b1009,1.595991884,2.248458433,-0.494482898
b1010,2.351974681,2.701917528,-0.20011111
b1011,1.533963908,0.420464321,1.867209249
b1012,1.27860138,2.073015402,-0.697164279
b1013,4.999193164,4.866618648,0.038775544
b1014,5.250317964,4.675782421,0.167196998
b0108,1.96638195,2.359715903,-0.263069599
b1015,6.866219491,6.485577532,0.082280926
b4490,7.333818285,6.228059534,0.235781785
b1018,6.68989844,6.076589278,0.138722527
b1019,5.696756281,5.600226312,0.024655557
b1020,4.696525877,4.573919332,0.038163036
b1021,3.498572567,3.961025684,-0.17910764
b1022,2.212232653,3.119363512,-0.495748569
b1023,2.49568788,2.71365646,-0.120800575
b1024,3.811652246,3.251383333,0.229362844
b1025,5.294927194,3.961271412,0.418647294
b0109,6.837735634,6.394260577,0.096741108
b1026,3.653093531,3.023711666,0.272798118
b0298,2.734061344,2.314765015,0.240179868
b1028,1.668459571,1.896335163,-0.184697244
b1029,2.776032697,2.467836359,0.169777827
