Blattner,pdxBJ_20nM PN_Ave,WT_5uM PN_Ave,FoldChange
b1032,3.056684666,2.651447134,0.205187745
b1033,7.109933586,6.508948266,0.127411636
b1034,7.608534034,6.641978548,0.196005448
b1035,7.512911388,6.481727477,0.212993722
b1036,7.296455513,7.402645425,-0.020845129
b1037,5.778198326,5.223100982,0.145713126
b0110,6.808593549,6.798831571,0.002069982
b1038,4.622906603,4.017925342,0.202349459
b1039,5.339196793,4.581254356,0.22088006
b1040,6.409666345,5.489661437,0.223532082
b1041,3.975272243,2.845215658,0.482515657
b1042,5.883137746,4.29168266,0.455042413
b1043,2.924394434,2.45010729,0.255292985
b1044,4.209560472,3.224190794,0.384732488
b1045,7.346483769,7.018306092,0.065931031
b1046,5.320646997,4.835805971,0.13784533
b1047,4.53055359,3.848961702,0.235218028
b0111,6.658723136,6.774568543,-0.024883512
b1048,7.41786213,7.314557472,0.020232869
b1049,6.774324981,6.779377789,-0.001075671
b1050,8.202524966,7.035439554,0.221427518
b1051,9.109604808,7.843450342,0.215900032
b1053,3.688421106,3.648266229,0.015792365
b1054,5.631562581,5.661949748,-0.007763665
b1055,4.843495583,4.517323781,0.100580303
b1056,7.051388561,5.614750156,0.328685554
b1057,4.662651344,3.632278653,0.36027567
b1058,2.885450146,2.182494263,0.402818543
b0112,8.252891289,8.020635576,0.041183073
b1059,7.339507976,5.968829906,0.298235209
b1060,8.97026465,10.08936002,-0.169612211
b1061,6.998728279,6.867301709,0.027349449
b1062,5.675668712,5.313968323,0.095000754
b1063,6.796580826,6.619980007,0.037982288
b1064,8.320735157,7.985114755,0.059397859
b1065,6.760129857,5.755165139,0.232193634
b1066,8.321937882,8.117093535,0.035956282
b1067,7.688649629,7.350354413,0.064916423
b1068,7.200798583,6.495941583,0.148618255
b0113,7.282887276,6.768576569,0.105658048
b1069,5.632252129,4.770111425,0.239688951
b1070,5.463034062,4.586679115,0.252252439
b1071,5.958003632,5.168376182,0.205117922
b1072,3.998876526,3.085388317,0.374142662
b1073,4.718162538,3.514037321,0.425095606
b1074,4.479081155,3.384505869,0.404257588
b1075,4.478594658,3.493849899,0.35822847
b1076,4.12182511,3.643429518,0.17798621
b1077,3.853959876,3.669897397,0.070601823
b1078,3.956917219,3.617767144,0.129277331
b0114,9.413171589,9.752591912,-0.051104796
b1079,3.344032528,2.853505094,0.228853742
b1080,2.844727018,2.714818914,0.067434248
b1081,3.033822165,2.698176,0.169152064
b1082,3.879574927,3.004091586,0.368969792
b1083,4.993739714,4.019472461,0.31311446
b1084,7.536400804,7.743894033,-0.039183518
b1085,7.959278047,7.310436637,0.122679998
b1086,6.271050758,5.370191465,0.223733671
b1087,7.586109226,6.761663854,0.165981847
b4418,8.503266107,9.419209131,-0.147588844
b0013,3.266702151,2.966401869,0.139120862
b0115,9.488730813,9.226230691,0.040473763
b1088,10.38006953,11.5574717,-0.155009722
b1089,11.31256811,12.68687856,-0.165410678
b1090,7.769538383,7.960412665,-0.035014336
b1091,8.040891281,8.108963083,-0.012162021
b1092,8.352886601,8.612096719,-0.04408967
b1093,10.76501172,10.7672971,-0.000306247
b1094,13.51318602,13.49324048,0.002130999
b1095,8.505982736,8.639910405,-0.022538425
b1096,6.592651769,5.499977437,0.261433178
b1097,6.144193442,4.929404603,0.317810237
b0116,9.577132721,9.34741676,0.035026076
b1098,6.661179912,5.6811469,0.22959554
b1099,6.046011,5.05053424,0.259547601
b1100,7.176171184,6.457354601,0.152271052
b1101,10.82632966,10.46943317,0.048360889
b1102,6.57123396,6.793710806,-0.048035499
b1103,9.301711512,8.382272182,0.150154828
b1104,8.090084595,7.181137511,0.1719424
b1105,8.076911414,7.271921482,0.151467094
b1106,5.81697543,5.507075636,0.078982787
b1107,7.173355311,7.165739372,0.001532521
b0117,3.591550406,2.916422014,0.300407267
b1108,8.334853748,8.752019685,-0.070459099
b1109,8.568318201,9.050652546,-0.079009755
b1110,7.664476645,7.751465851,-0.016281875
b1111,4.807463608,5.280426179,-0.135378436
b1112,5.902800426,5.096908015,0.211777248
b1113,4.398455062,3.429417423,0.359033355
b1114,6.088665,6.285102095,-0.045810242
b1115,3.813730621,2.993306435,0.349462964
b1116,6.221802462,5.847924297,0.089407956
b1117,1.779375565,2.225490149,-0.322752069
b0118,7.871664232,8.175462972,-0.054631749
b1118,7.005473334,6.87732843,0.026634288
b1119,7.282364389,7.370078167,-0.01727299
b1120,6.974986303,7.085942175,-0.022769308
b1121,2.236887468,2.602430793,-0.218367118
b1122,2.634866301,2.93101237,-0.153669299
b1123,7.458643178,7.844772963,-0.072818485
b1124,5.563136441,5.89735217,-0.08416886
b1125,5.401812718,5.663030835,-0.068130763
b1126,5.929298788,6.145639293,-0.051701595
b1127,7.775524463,7.699445095,0.014185516
b0119,7.192183928,9.608606943,-0.417897368
b1128,7.736961982,7.738417235,-0.000271332
b1129,0.23063939,0.160579841,0.522348136
b1130,8.579280617,8.244806609,0.057371027
b1131,5.546137048,6.480069259,-0.224525966
b1132,6.124397606,6.401450664,-0.06383093
b1133,6.909631273,7.016298489,-0.0221014
b1134,5.644016407,5.173321773,0.125631254
b1135,4.498876315,4.171051131,0.109153707
b1136,11.23831434,10.4992932,0.098133448
b1137,3.773141559,3.569709524,0.079959544
b0120,6.904408518,7.314012292,-0.083145223
b1138,2.818069904,2.632085025,0.098501305
b1139,3.75056455,3.568429469,0.071818515
b1140,3.967373463,3.058884875,0.3751784
b1141,4.728242248,3.139506858,0.590765989
b1143,8.272188231,8.16084706,0.019550109
b1144,5.357546123,4.934952494,0.118536168
b1145,6.146298048,5.386296792,0.190424002
b1146,3.843682696,2.232860001,0.783596446
b1147,3.532022222,2.569535589,0.458986786
b1148,2.280121615,2.047002676,0.155597787
b0121,6.931271191,7.355848334,-0.085771768
b4692,3.158605558,2.143287653,0.559462298
b1149,2.497273522,2.070094037,0.27065754
b1150,0.737984764,0.604717004,0.287330885
b1151,2.476250184,2.243287873,0.142542314
b1152,2.322145883,1.983413633,0.227473032
b1153,1.414456521,2.094912544,-0.566642187
b1154,2.049754717,2.419169359,-0.239060491
b1155,2.763270505,2.58836621,0.09433505
b1156,3.085201662,2.334682136,0.402138651
b1157,2.136561756,2.386102051,-0.159364729
b0122,8.050194271,7.006949827,0.200237034
b1158,1.928478856,2.298424348,-0.253181853
b1159,5.57714432,3.999464628,0.479719712
b4519,4.057535685,2.221592626,0.869009489
b1160,1.746326444,2.782579925,-0.672099857
b1161,1.907071863,2.420549809,-0.343975573
b1162,7.572889594,6.900207457,0.134204158
b1163,5.627909919,4.963642331,0.181200075
b1164,3.33237924,2.094967646,0.669624632
b1165,4.462808188,2.261911409,0.980409376
b1166,4.948681762,2.055035832,1.26788072
b0123,5.527048362,6.15406058,-0.155029409
b1167,2.264871666,1.546707197,0.550229196
b1168,2.763530921,2.280359134,0.277251702
b4520,2.577131435,2.928482984,-0.184387394
b4491,4.400452198,3.288362989,0.420282224
b1171,7.999859625,5.740889432,0.478700415
b1172,7.322664675,5.21309827,0.490227677
b4593,5.483400018,3.934939249,0.478729361
b4594,3.501804443,2.582831364,0.439145068
b4521,4.478898049,3.484492626,0.362195225
b1174,9.017299789,9.163556472,-0.023212146
b0124,5.361317152,5.269728321,0.024858895
b1175,9.065473565,9.302190589,-0.037188113
b1176,8.344080328,8.160845251,0.032034461
b1177,6.733194174,6.896502661,-0.034573861
b1178,8.943365582,9.620582029,-0.105306326
b1179,8.174100852,7.284478199,0.16623441
b1180,8.025442095,7.076682761,0.181507621
b1181,6.568846368,5.823685615,0.173707549
b1182,3.006669445,3.334096053,-0.149129402
b1183,0.286314603,0.304484847,-0.088769178
b1184,3.765447534,3.117885664,0.27225332
b0014,8.839612363,9.273864003,-0.069187465
b0125,8.225630073,7.759578228,0.084147955
b1185,7.753833308,7.056084181,0.136041948
b1186,6.115500132,6.055537765,0.014215404
b1187,8.04049783,8.09025274,-0.008899944
b1188,7.747296357,6.999826271,0.146373812
b1189,8.344214709,8.311220707,0.005715893
b1190,7.146534698,6.413762399,0.15607295
b1191,6.01325492,5.493293812,0.130474663
b1192,6.432876898,5.81216134,0.14638933
b1193,6.618310489,5.730041981,0.207917266
b1194,3.473409439,2.396462448,0.535446149
b0126,8.608632754,8.543613921,0.010937669
b1195,7.499947188,7.32505164,0.034041506
b1196,3.397517081,2.975971723,0.191119986
b1197,5.123643287,4.256047919,0.267655643
b1198,9.514631981,9.168251928,0.053501168
b1199,9.527186536,9.374879016,0.023250164
b1200,9.486917603,9.228826075,0.039792271
b1201,4.201478972,3.584968049,0.228937003
b1202,4.959069525,4.60141165,0.107992924
b1203,6.015745893,5.801170403,0.052399631
b1204,5.54387545,4.959788201,0.160616332
b0127,7.717988627,6.939880864,0.153314022
b1205,11.04996216,13.22875839,-0.259636232
b1206,5.779284316,5.960005879,-0.044422908
b1207,7.820022821,7.785875204,0.006313597
b1208,7.559696051,7.808430758,-0.046704413
b1209,6.894451511,6.145768197,0.165842429
b1210,7.129868841,6.094569653,0.226351184
b1211,6.929069567,6.066709901,0.191747315
b1212,5.997990896,5.189910782,0.208769595
b1213,6.225374759,5.515923646,0.174558202
b1214,7.257638142,6.886301357,0.07577081
b0128,7.652999564,7.245408004,0.078958384
b1215,8.206701897,8.038151944,0.029938701
b4419,6.375510648,5.835898405,0.127586131
b4420,6.143300659,5.532813233,0.151000767
b4421,4.129767821,3.71608266,0.152278081
b4422,4.167319736,3.938906209,0.08132473
b4423,5.987787303,5.403985728,0.147999111
b4424,6.099578626,5.321744029,0.196810461
b1216,6.154458493,4.646161819,0.405592523
b1217,7.182754807,6.345198147,0.178872051
b1218,7.794825523,6.418821398,0.280208311
b0129,7.169380546,8.631022121,-0.267682948
b1219,9.507781219,9.6682654,-0.02414837
b1220,5.414501171,4.667911728,0.214051151
b1221,7.714920808,6.982925734,0.143819719
b1222,5.28530939,4.509974817,0.228868548
b1223,6.425185522,3.919954803,0.712901091
b1224,6.725206801,3.991563114,0.752624808
b1225,7.360170487,4.458686397,0.723120454
b1226,1.977487777,0.476582676,2.052870362
b1227,6.900457059,5.245505359,0.395610153
b4425,3.220211171,2.354871875,0.451506732
b0130,4.861353432,4.251509288,0.193382936
b1229,1.41968591,3.548935974,-1.321814763
b1230,5.131634681,4.354091321,0.237046803
b1231,5.714938305,4.977713723,0.199254663
b1232,7.557495343,6.993776058,0.111836583
b1233,8.180532094,7.750296697,0.077943144
b1234,7.511207907,6.770423977,0.149798751
b1235,7.162200658,6.0404063,0.245757344
b1236,9.010925466,8.333651193,0.112726569
b1237,13.16035051,12.92611454,0.025909233
b1238,4.995729275,4.325732705,0.207750776
b0131,10.44462162,9.607951058,0.120459521
b4573,4.157712669,3.708914192,0.164793169
b1241,11.03665595,11.60957018,-0.073011451
b1242,5.37163443,4.76594626,0.172598441
b1243,10.51656333,12.05372138,-0.196815294
b1244,8.353097741,8.758329923,-0.068344477
b1245,8.373000781,9.773381804,-0.223113093
b1246,7.938681958,10.03286869,-0.337762769
b1247,7.90404262,10.72974381,-0.440952999
b1248,8.333311913,7.8661042,0.083240683
b1249,7.747677112,6.94758986,0.157251241
b0132,5.268459411,5.157317877,0.030760184
b4595,6.701440733,6.99573362,-0.062004064
b1250,5.471461328,4.9315831,0.149875358
b1251,9.929595944,10.27721573,-0.049642549
b1252,8.589224913,8.30425993,0.048676347
b1253,6.528036615,5.498907438,0.247504147
b1254,7.235831174,6.617584895,0.12885395
b1255,7.061703151,6.635860565,0.089732604
b1256,8.267414472,8.720367754,-0.076952762
b1257,4.456404483,3.747567348,0.249925779
b1258,3.426481858,2.619612425,0.387374669
b0133,8.505035242,8.342836659,0.027779214
b1259,8.446330848,7.569963528,0.15803841
b1260,3.104161637,2.915102521,0.09065706
b1261,7.376470219,7.125511562,0.049937031
b1262,6.656930979,5.930131085,0.166793214
b1263,5.506383662,4.861573443,0.179681818
b1264,5.075728658,4.425958425,0.197625047
b1265,7.363066508,7.615788819,-0.048686741
b1266,6.328886734,6.448648211,-0.027045021
b1267,6.428048017,6.726311368,-0.065434858
b1268,4.607094025,4.173106341,0.142735357
b0134,7.671988217,8.038718614,-0.067365047
b1269,6.624027971,7.350325585,-0.150099391
b1270,6.718308662,5.976768847,0.168732332
b1271,6.800983833,6.220732522,0.128658987
b1272,8.568803983,9.100277434,-0.086816679
b1273,7.523523545,8.397317876,-0.158520113
b1274,8.034413674,7.484736336,0.102241249
b1275,7.151190646,7.007789072,0.029224113
b4522,7.963198152,7.153244893,0.154750124
b4523,7.609957893,6.839317565,0.154036093
b1276,6.244017481,5.768786406,0.114206729
b0015,6.819446092,6.503179175,0.068509388
b0135,2.566444571,2.78121521,-0.115944282
b1277,7.406255451,7.707072228,-0.057438601
b1278,6.302749267,5.485816131,0.200275003
b1279,8.002289053,7.937375361,0.011750709
b1280,6.396137512,5.808839783,0.138950917
b1281,6.161032591,5.782334803,0.091520023
b1282,5.450210222,5.416725287,0.008890952
b1283,9.429148124,8.478565925,0.15330717
b1284,7.659524919,6.314542888,0.278576611
b4596,9.080336175,7.39961518,0.295295466
b1285,4.43900529,3.64618393,0.283849089
b0136,1.800269348,2.142972225,-0.251400379
b4672,3.156074564,2.926008616,0.109197273
b1286,7.710155398,6.927123425,0.154503558
b1287,6.669124937,4.882866743,0.44976907
b1288,8.72531864,8.619954747,0.017527523
b1289,5.475772923,5.726698436,-0.064641014
b1290,5.541732945,5.200975817,0.091554859
b1291,6.295819718,6.017923173,0.065128541
b1292,5.097867633,4.775286641,0.094306579
b1293,5.290062852,5.130575431,0.04416422
b1294,5.556765847,5.209216006,0.093179187
b0137,2.597357752,2.478198882,0.067752768
b1295,7.573460375,6.184473135,0.292301935
b1296,3.816319859,3.358861706,0.184209697
b1297,3.830599134,3.335127507,0.199828139
b1298,4.302847346,3.916044741,0.13589441
b1299,5.201997574,4.501157135,0.208769797
b1300,4.503846616,3.162792212,0.509958918
b1301,4.159725368,2.957687885,0.492018465
b1302,4.57950432,3.082555925,0.571064382
b1303,4.335833102,4.426034112,-0.029705346
b1304,9.220355925,6.987924292,0.399958465
b0138,2.390597214,2.171950161,0.138380076
b1305,2.023342742,0.295607403,2.774986419
b1306,7.261093516,5.736057011,0.34012747
b1307,6.918239179,5.192905051,0.413863045
b1308,8.868002367,9.615018194,-0.116680432
b1309,1.033898064,2.192423079,-1.084432275
b1310,1.234685695,1.682511567,-0.446472591
b1311,1.235450803,2.116998042,-0.776982373
b1312,1.762515054,1.867577246,-0.083532337
b1313,2.781901055,2.63124874,0.080323471
b1314,2.578219763,2.294571026,0.168150777
b0139,2.750965873,2.434611412,0.17624672
b1315,3.454065233,2.660695631,0.376491846
b1316,2.923339883,2.505936196,0.222267892
b1317,2.054246591,2.096584298,-0.029431466
b1318,1.549543947,1.964185001,-0.342087147
b1319,1.177853249,1.814781029,-0.623635681
b1320,3.504843901,2.89413486,0.276218041
b1321,5.64104068,5.116556824,0.140788063
b1322,5.727923809,5.12603379,0.160169314
b1323,6.93880248,6.720928552,0.046026132
b1324,11.27043207,10.24826947,0.137162509
b0140,1.894392944,2.078413754,-0.133747271
b1325,7.096351452,6.598386471,0.104964182
b1326,8.117896017,7.098547424,0.193582024
b4525,4.241549933,4.977458093,-0.230817623
b4673,0.238920105,0.999676445,-2.064932967
b1327,4.291086758,3.654718269,0.231582873
b1328,4.624751799,3.855190904,0.262573639
b1329,6.146977302,5.787976522,0.086818088
b1330,3.870160368,3.486273833,0.150707457
b0259,6.885121263,7.047721346,-0.03367482
b1332,9.48576103,9.11790181,0.057061651
b0141,1.145267114,1.711947762,-0.579954559
b1333,9.671086759,10.30112914,-0.091052562
b1334,9.325210066,9.318925928,0.000972541
b1335,6.525687534,5.590283623,0.223208429
b1336,2.901454791,2.629592134,0.141937404
b1337,3.303424918,2.890256194,0.192765175
b1338,2.246811519,2.195491453,0.033335186
b1339,4.286487083,4.115223568,0.058824986
b4426,3.186695894,2.13046558,0.580892606
b1340,5.464032872,5.049264007,0.113893051
b1341,5.027069074,5.216062417,-0.053243621
b0142,3.988809112,4.42083617,-0.148361187
b1342,6.302508726,5.513407468,0.192981983
b4699,5.775771389,5.093360581,0.181395785
b1343,5.320844485,5.001473842,0.089301945
b1344,6.597798133,6.349345537,0.055376745
b1345,4.069678345,3.79319981,0.101499404
b1346,2.130427239,2.546269534,-0.257242363
b1347,2.601970995,2.688529452,-0.047212396
b1348,2.030535272,2.25727884,-0.152724556
b1349,3.951405246,3.222655201,0.294115973
b1350,2.962871177,2.614383347,0.180525202
b0143,6.44136584,6.529220727,-0.019544181
b1351,2.293288975,2.180638116,0.072667789
b4526,0.364076589,0.225770648,0.689384039
b1352,0.872873256,2.077245837,-1.250827876
b1353,2.072008032,2.14807223,-0.05201291
b4527,2.807319826,2.13779479,0.39307006
b1355,2.973729023,2.354759584,0.336693419
b1356,7.45169901,6.462029333,0.205582103
b1357,4.171848279,3.349542822,0.316722495
b1358,2.914348996,2.731127495,0.093676988
b1359,3.671823035,2.960005773,0.31089654
b0144,4.62511666,3.916630004,0.239876909
b1360,2.952413263,2.907396883,0.022166652
b1361,4.018172846,3.420642712,0.232272203
b1362,3.622296736,2.583859838,0.487376923
b4528,4.641679575,3.646362606,0.348188899
b1363,4.632759758,4.179776691,0.148446003
b1365,3.223826718,2.403249466,0.423787787
b1366,3.466873912,3.010918473,0.203431723
b1368,3.417732625,2.62407857,0.381228619
b4570,2.920732757,2.675953604,0.126277257
b0259,3.597127188,7.047721346,-0.970311712
b2394,5.90476369,5.499409128,0.102602704
b0145,10.43159333,10.3719798,0.008268232
b1372,2.682621929,2.61252022,0.038201542
b1373,3.682574644,3.215775426,0.195548109
b1374,5.292894007,3.783252029,0.484429876
b1375,5.925681835,3.886750999,0.608416481
b4638,7.062034218,5.303968153,0.413011698
b1376,8.718670215,8.918669026,-0.032720316
b1377,3.345575496,2.475678264,0.434430564
b4427,0.355351714,1.456273409,-2.034961678
b1378,5.252974386,5.026362531,0.063619819
b4529,8.744579024,8.525762736,0.036560025
b0146,8.315784999,8.973755687,-0.109859448
b1379,7.804114307,7.276866788,0.100917509
b1380,6.365467111,6.694980273,-0.072813419
b1381,4.649723861,3.925622928,0.244223437
b1382,6.214546715,5.392871049,0.204595628
b1383,5.953040086,5.241431839,0.183665632
b1384,2.995834679,3.715196148,-0.310480369
b1385,4.503581083,4.4551524,0.015597852
b1386,2.955647058,2.656266866,0.154073907
b1387,1.991729474,2.22729705,-0.161272273
b1388,1.565086967,2.108500271,-0.429974382
b0147,5.003548242,4.537604647,0.141020623
b1389,2.135419996,2.568493366,-0.266402499
b1390,1.949374073,2.05415034,-0.075530813
b1391,2.735279404,2.651533505,0.044861231
b1392,2.621027237,2.074040495,0.337688283
b1393,1.368540339,1.560740126,-0.189592379
b1394,2.628161151,2.266939952,0.213307563
b1395,3.297245729,2.684022558,0.296864612
b1396,0.635021863,0.529901936,0.261080865
b1397,3.747517101,4.345800348,-0.213686835
b1398,3.643481862,3.198539137,0.187904673
b0148,4.900613478,4.939768338,-0.011481022
b1399,5.47836238,5.043547476,0.119305862
b1400,6.464428839,6.083145114,0.087705487
b4674,0.396083201,2.161012914,-2.447832275
b4492,5.235748078,4.320874746,0.277072272
b0361,5.509903828,5.003008453,0.139231248
b4272,6.36090379,6.137495348,0.05158174
b0256,4.661845039,4.026968118,0.211206999
b1406,6.735430156,7.786951737,-0.209288599
b1407,2.444379239,2.249016689,0.120173766
b1408,0.983949382,0.175228059,2.48935029
b0149,6.195829312,6.086470012,0.025691654
b1409,0.884556304,1.852100543,-1.066136537
b1410,3.19539031,2.584218333,0.3062642
b1411,4.35603455,3.477268895,0.325060763
b1412,6.748892512,5.162000827,0.386720404
b1413,5.941337223,5.663105982,0.069194147
b1414,6.476289068,6.190389063,0.065137297
b1415,7.633058121,7.593877744,0.007424404
b4493,9.417247557,9.011117761,0.063599383
b1418,8.19682314,7.67728484,0.094468694
b4597,6.3655057,6.102914507,0.060776751
b0150,7.883833014,8.251283608,-0.06572135
b1419,8.096470094,8.286171013,-0.033412538
b4428,8.09910254,8.450701728,-0.061309093
b1420,5.329028737,5.993414802,-0.169505613
b4429,6.690818771,7.017673622,-0.068810085
b1421,3.743767697,2.899058321,0.368906561
b1422,4.462675667,5.628232816,-0.334773048
b1423,4.409564548,5.307072075,-0.267279948
b1424,6.371206337,5.537444593,0.202346203
b1426,9.886775232,11.03639942,-0.158697636
b1427,7.103895908,6.341126565,0.16387127
b0151,7.07230031,7.131587816,-0.012043785
b1428,6.067429075,4.905892643,0.306569676
b1429,5.604044735,5.087838718,0.139415534
b1430,7.356350992,7.012581628,0.069044657
b1431,7.283680027,7.089715364,0.038939838
b4578,4.967049839,4.987276728,-0.005863033
b1432,5.560101662,5.105895495,0.122947252
b1433,3.758754301,3.17192497,0.244895968
b1434,4.219135197,4.030233115,0.066084029
b1435,4.914410972,4.544709866,0.112830314
b1436,4.57219735,4.433615969,0.044403864
b0152,6.042349713,5.916254109,0.030425666
b4532,5.666222453,4.770181733,0.248343012
b1438,5.315607126,4.3589275,0.286261271
b1439,4.764903646,4.127571854,0.207153711
b1440,6.143821221,6.31002711,-0.038509968
b1441,4.924615352,3.761019841,0.388887127
b1442,4.750939649,3.138286046,0.598236024
b1443,5.393652774,3.398663607,0.666295075
b1444,6.447302193,4.789184889,0.428915473
b4598,6.211959422,5.022689477,0.306588321
b1445,5.625661712,4.698361684,0.259865024
b0153,6.01611867,6.531251425,-0.118526422
b1446,9.001640316,9.76467758,-0.117384489
b1447,8.332294114,6.716394607,0.31102677
b1448,9.09042479,7.449513677,0.287201466
b1449,6.811625347,6.542345046,0.058191236
b1450,4.50596946,3.381326547,0.414248186
b1451,3.417838296,3.609376325,-0.078665429
b1452,9.803806985,9.16191599,0.097692747
b1453,3.641450836,3.012706163,0.273453397
b1454,4.971985629,4.13263292,0.266760904
b1455,0.813372234,2.13008639,-1.388924295
b0154,7.030569518,7.181462338,-0.030636084
b1456,2.680162512,2.744053659,-0.033988212
b1457,4.070909362,3.41702938,0.252608448
b1459,2.513234917,2.35821935,0.091847612
b1460,1.920491177,1.862208357,0.044460835
b1461,7.828892078,6.313409121,0.310388912
b1462,6.231457563,6.690166204,-0.102472397
b1463,5.028368706,3.49925486,0.523042696
b1464,6.651627708,5.964162721,0.157387804
b1465,4.368252004,3.383435533,0.368567187
b1466,0.490478692,0.504101247,-0.039523061
b0018,4.149024151,6.145766177,-0.566820824
b0155,6.578161169,5.965670529,0.141000053
b1467,3.891256306,2.813280597,0.467982555
b1468,3.959992207,2.839212886,0.480006564
b1469,3.674606719,2.386502592,0.622691948
b1471,0.665736974,1.617978259,-1.281168022
b1472,0.607865694,1.386772963,-1.18990711
b1473,4.368544059,3.969699452,0.138122757
b1474,2.947938187,2.734250527,0.108560837
b1475,2.770789694,2.868352354,-0.049925046
b1476,4.15745879,3.635809534,0.193425339
b1477,8.27436537,7.30364808,0.180031412
b0156,7.857421302,8.171635897,-0.056569006
b1478,8.228729775,7.319881017,0.168849549
b1479,7.172170641,7.127985824,0.008915346
b1480,12.07048442,11.53380197,0.065615419
b1481,6.292705262,4.895914012,0.362102152
b1482,11.42817218,10.05016798,0.185375063
b1483,5.905728766,4.331636484,0.447202924
b1484,3.149640182,2.658717884,0.244456322
b1485,3.644007189,3.432911758,0.086093032
b1486,2.168073012,2.217151635,-0.0322941
b1487,2.336144521,2.425136199,-0.053936247
b0157,4.279816282,3.88507262,0.139607302
b1488,2.282674801,2.517658714,-0.141357387
b1489,4.540001405,3.869829822,0.23042262
b1490,6.155453461,5.01380906,0.295958086
b1491,4.491058096,4.055563374,0.147153046
b1492,7.967507433,7.161167864,0.153933574
b1493,8.127533687,7.318044586,0.151359425
b1494,3.79258223,4.347895669,-0.197136861
b1495,3.374232216,4.316582907,-0.355330434
b1496,2.463863852,3.606056815,-0.549499589
b1497,1.336827838,2.132398463,-0.673663366
b0158,4.421148227,4.082247686,0.115057385
b1498,3.499521159,4.33133812,-0.307655268
b1499,2.133209641,1.639153544,0.380074751
b1500,1.164930846,1.292690214,-0.150132268
b1501,3.884162495,3.047668567,0.349897539
b1502,1.607046491,1.93626546,-0.268865092
b1503,1.751701239,1.945836955,-0.151634092
b1504,1.683182129,1.741763504,-0.049357456
b1505,1.400220548,1.804581555,-0.366010262
b1506,1.132490836,1.971623731,-0.799884875
b1507,3.724166645,3.336256425,0.158687452
b0159,8.380591007,8.826343567,-0.074763918
b1508,4.57780941,4.33208903,0.079594507
b4696,4.516593791,3.901210727,0.211313239
b1511,5.294448337,4.490077756,0.23773994
b1512,6.580647737,6.885262946,-0.065282155
b1513,3.013791941,4.732617754,-0.65105858
b1514,3.16724072,2.788332547,0.183823888
b1515,2.941680924,2.34590654,0.326495232
b1516,3.76294658,3.08343617,0.287323827
b1517,4.152020008,3.569752299,0.217989425
b1518,5.226112952,4.781521578,0.12826852
b0160,5.913178989,5.248102402,0.172138077
b1519,5.349776827,4.662208334,0.198465235
b1520,4.433163069,3.691109714,0.264281811
b1521,3.992909372,3.669177993,0.121983435
b1522,4.763193622,4.073507554,0.225657611
b1523,0.434314509,0.355981055,0.286939685
b1524,5.453299587,4.625018303,0.23767034
b1525,5.521127788,4.911738916,0.168729117
b1526,4.338599774,3.686656462,0.234916521
b1527,1.698225438,2.042823062,-0.266536263
b1528,5.805997356,5.016449027,0.210877424
b0161,6.923401374,5.781360367,0.260071987
