Blattner,WT_5uM PN_Ave
b0001,8.61320939
b0002,9.876858526
b0011,3.437892988
b0104,6.72988691
b0987,5.092696421
b4576,6.441944874
b0989,3.218742108
b0990,7.701210421
b0991,5.679933889
b4517,7.342640431
b0992,3.34616426
b0993,3.143295431
b0994,4.678248079
b0106,2.998050329
b0995,3.799299615
b0996,1.939266502
b0997,2.710277526
b0998,3.683125955
b0999,2.716178722
b1000,7.394429745
b1001,2.540409371
b1002,8.841562013
b1003,9.402074043
b1004,9.148970478
b0107,3.153530209
b4518,5.867671922
b1006,3.762888407
b1007,2.711629674
b1008,2.449612469
b1009,2.248458433
b1010,2.701917528
b1011,0.420464321
b1012,2.073015402
b1013,4.866618648
b1014,4.675782421
b0108,2.359715903
b1015,6.485577532
b4490,6.228059534
b1018,6.076589278
b1019,5.600226312
b1020,4.573919332
b1021,3.961025684
b1022,3.119363512
b1023,2.71365646
b1024,3.251383333
b1025,3.961271412
b0109,6.394260577
b1026,3.023711666
b0298,2.314765015
b1028,1.896335163
b1029,2.467836359
b1032,2.651447134
b1033,6.508948266
b1034,6.641978548
b1035,6.481727477
b1036,7.402645425
b1037,5.223100982
b0110,6.798831571
b1038,4.017925342
b1039,4.581254356
b1040,5.489661437
b1041,2.845215658
b1042,4.29168266
b1043,2.45010729
b1044,3.224190794
b1045,7.018306092
b1046,4.835805971
b1047,3.848961702
b0111,6.774568543
b1048,7.314557472
b1049,6.779377789
b1050,7.035439554
b1051,7.843450342
b1053,3.648266229
b1054,5.661949748
b1055,4.517323781
b1056,5.614750156
b1057,3.632278653
b1058,2.182494263
b0112,8.020635576
b1059,5.968829906
b1060,10.08936002
b1061,6.867301709
b1062,5.313968323
b1063,6.619980007
b1064,7.985114755
b1065,5.755165139
b1066,8.117093535
b1067,7.350354413
b1068,6.495941583
b0113,6.768576569
b1069,4.770111425
b1070,4.586679115
b1071,5.168376182
b1072,3.085388317
b1073,3.514037321
b1074,3.384505869
b1075,3.493849899
b1076,3.643429518
b1077,3.669897397
b1078,3.617767144
b0114,9.752591912
b1079,2.853505094
b1080,2.714818914
b1081,2.698176
b1082,3.004091586
b1083,4.019472461
b1084,7.743894033
b1085,7.310436637
b1086,5.370191465
b1087,6.761663854
b4418,9.419209131
b0013,2.966401869
b0115,9.226230691
b1088,11.5574717
b1089,12.68687856
b1090,7.960412665
b1091,8.108963083
b1092,8.612096719
b1093,10.7672971
b1094,13.49324048
b1095,8.639910405
b1096,5.499977437
b1097,4.929404603
b0116,9.34741676
b1098,5.6811469
b1099,5.05053424
b1100,6.457354601
b1101,10.46943317
b1102,6.793710806
b1103,8.382272182
b1104,7.181137511
b1105,7.271921482
b1106,5.507075636
b1107,7.165739372
b0117,2.916422014
b1108,8.752019685
b1109,9.050652546
b1110,7.751465851
b1111,5.280426179
b1112,5.096908015
b1113,3.429417423
b1114,6.285102095
b1115,2.993306435
b1116,5.847924297
b1117,2.225490149
b0118,8.175462972
b1118,6.87732843
b1119,7.370078167
b1120,7.085942175
b1121,2.602430793
b1122,2.93101237
b1123,7.844772963
b1124,5.89735217
b1125,5.663030835
b1126,6.145639293
b1127,7.699445095
b0119,9.608606943
b1128,7.738417235
b1129,0.160579841
b1130,8.244806609
b1131,6.480069259
b1132,6.401450664
b1133,7.016298489
b1134,5.173321773
b1135,4.171051131
b1136,10.4992932
b1137,3.569709524
b0120,7.314012292
b1138,2.632085025
b1139,3.568429469
b1140,3.058884875
b1141,3.139506858
b1143,8.16084706
b1144,4.934952494
b1145,5.386296792
b1146,2.232860001
b1147,2.569535589
b1148,2.047002676
b0121,7.355848334
b4692,2.143287653
b1149,2.070094037
b1150,0.604717004
b1151,2.243287873
b1152,1.983413633
b1153,2.094912544
b1154,2.419169359
b1155,2.58836621
b1156,2.334682136
b1157,2.386102051
