Blattner,WT_5uM PN_Ave
b0122,7.006949827
b1158,2.298424348
b1159,3.999464628
b4519,2.221592626
b1160,2.782579925
b1161,2.420549809
b1162,6.900207457
b1163,4.963642331
b1164,2.094967646
b1165,2.261911409
b1166,2.055035832
b0123,6.15406058
b1167,1.546707197
b1168,2.280359134
b4520,2.928482984
b4491,3.288362989
b1171,5.740889432
b1172,5.21309827
b4593,3.934939249
b4594,2.582831364
b4521,3.484492626
b1174,9.163556472
b0124,5.269728321
b1175,9.302190589
b1176,8.160845251
b1177,6.896502661
b1178,9.620582029
b1179,7.284478199
b1180,7.076682761
b1181,5.823685615
b1182,3.334096053
b1183,0.304484847
b1184,3.117885664
b0014,9.273864003
b0125,7.759578228
b1185,7.056084181
b1186,6.055537765
b1187,8.09025274
b1188,6.999826271
b1189,8.311220707
b1190,6.413762399
b1191,5.493293812
b1192,5.81216134
b1193,5.730041981
b1194,2.396462448
b0126,8.543613921
b1195,7.32505164
b1196,2.975971723
b1197,4.256047919
b1198,9.168251928
b1199,9.374879016
b1200,9.228826075
b1201,3.584968049
b1202,4.60141165
b1203,5.801170403
b1204,4.959788201
b0127,6.939880864
b1205,13.22875839
b1206,5.960005879
b1207,7.785875204
b1208,7.808430758
b1209,6.145768197
b1210,6.094569653
b1211,6.066709901
b1212,5.189910782
b1213,5.515923646
b1214,6.886301357
b0128,7.245408004
b1215,8.038151944
b4419,5.835898405
b4420,5.532813233
b4421,3.71608266
b4422,3.938906209
b4423,5.403985728
b4424,5.321744029
b1216,4.646161819
b1217,6.345198147
b1218,6.418821398
b0129,8.631022121
b1219,9.6682654
b1220,4.667911728
b1221,6.982925734
b1222,4.509974817
b1223,3.919954803
b1224,3.991563114
b1225,4.458686397
b1226,0.476582676
b1227,5.245505359
b4425,2.354871875
b0130,4.251509288
b1229,3.548935974
b1230,4.354091321
b1231,4.977713723
b1232,6.993776058
b1233,7.750296697
b1234,6.770423977
b1235,6.0404063
b1236,8.333651193
b1237,12.92611454
b1238,4.325732705
b0131,9.607951058
b4573,3.708914192
b1241,11.60957018
b1242,4.76594626
b1243,12.05372138
b1244,8.758329923
b1245,9.773381804
b1246,10.03286869
b1247,10.72974381
b1248,7.8661042
b1249,6.94758986
b0132,5.157317877
b4595,6.99573362
b1250,4.9315831
b1251,10.27721573
b1252,8.30425993
b1253,5.498907438
b1254,6.617584895
b1255,6.635860565
b1256,8.720367754
b1257,3.747567348
b1258,2.619612425
b0133,8.342836659
b1259,7.569963528
b1260,2.915102521
b1261,7.125511562
b1262,5.930131085
b1263,4.861573443
b1264,4.425958425
b1265,7.615788819
b1266,6.448648211
b1267,6.726311368
b1268,4.173106341
b0134,8.038718614
b1269,7.350325585
b1270,5.976768847
b1271,6.220732522
b1272,9.100277434
b1273,8.397317876
b1274,7.484736336
b1275,7.007789072
b4522,7.153244893
b4523,6.839317565
b1276,5.768786406
b0015,6.503179175
b0135,2.78121521
b1277,7.707072228
b1278,5.485816131
b1279,7.937375361
b1280,5.808839783
b1281,5.782334803
b1282,5.416725287
b1283,8.478565925
b1284,6.314542888
b4596,7.39961518
b1285,3.64618393
b0136,2.142972225
b4672,2.926008616
b1286,6.927123425
b1287,4.882866743
b1288,8.619954747
b1289,5.726698436
b1290,5.200975817
b1291,6.017923173
b1292,4.775286641
b1293,5.130575431
b1294,5.209216006
b0137,2.478198882
b1295,6.184473135
b1296,3.358861706
b1297,3.335127507
b1298,3.916044741
b1299,4.501157135
b1300,3.162792212
b1301,2.957687885
b1302,3.082555925
b1303,4.426034112
b1304,6.987924292
b0138,2.171950161
b1305,0.295607403
b1306,5.736057011
b1307,5.192905051
b1308,9.615018194
b1309,2.192423079
b1310,1.682511567
b1311,2.116998042
b1312,1.867577246
b1313,2.63124874
b1314,2.294571026
b0139,2.434611412
b1315,2.660695631
b1316,2.505936196
b1317,2.096584298
b1318,1.964185001
b1319,1.814781029
b1320,2.89413486
b1321,5.116556824
b1322,5.12603379
b1323,6.720928552
b1324,10.24826947
b0140,2.078413754
b1325,6.598386471
b1326,7.098547424
b4525,4.977458093
b4673,0.999676445
b1327,3.654718269
b1328,3.855190904
b1329,5.787976522
b1330,3.486273833
b0259,7.047721346
b1332,9.11790181
b0141,1.711947762
b1333,10.30112914
b1334,9.318925928
b1335,5.590283623
b1336,2.629592134
b1337,2.890256194
b1338,2.195491453
b1339,4.115223568
b4426,2.13046558
b1340,5.049264007
b1341,5.216062417
b0142,4.42083617
b1342,5.513407468
b4699,5.093360581
b1343,5.001473842
b1344,6.349345537
b1345,3.79319981
b1346,2.546269534
b1347,2.688529452
b1348,2.25727884
b1349,3.222655201
b1350,2.614383347
b0143,6.529220727
b1351,2.180638116
b4526,0.225770648
b1352,2.077245837
b1353,2.14807223
b4527,2.13779479
b1355,2.354759584
b1356,6.462029333
b1357,3.349542822
b1358,2.731127495
b1359,2.960005773
b0144,3.916630004
b1360,2.907396883
b1361,3.420642712
b1362,2.583859838
b4528,3.646362606
b1363,4.179776691
b1365,2.403249466
b1366,3.010918473
b1368,2.62407857
b4570,2.675953604
b0259,4.151776417
b2394,5.499409128
b0145,10.3719798
b1372,2.61252022
b1373,3.215775426
b1374,3.783252029
b1375,3.886750999
b4638,5.303968153
b1376,8.918669026
b1377,2.475678264
b4427,1.456273409
b1378,5.026362531
b4529,8.525762736
b0146,8.973755687
b1379,7.276866788
b1380,6.694980273
b1381,3.925622928
b1382,5.392871049
b1383,5.241431839
b1384,3.715196148
b1385,4.4551524
b1386,2.656266866
b1387,2.22729705
b1388,2.108500271
b0147,4.537604647
b1389,2.568493366
b1390,2.05415034
b1391,2.651533505
b1392,2.074040495
b1393,1.560740126
b1394,2.266939952
b1395,2.684022558
b1396,0.529901936
b1397,4.345800348
b1398,3.198539137
b0148,4.939768338
b1399,5.043547476
b1400,6.083145114
b4674,2.161012914
b4492,4.320874746
b0361,5.003008453
b4272,6.137495348
b0256,4.026968118
b1406,7.786951737
b1407,2.249016689
b1408,0.175228059
b0149,6.086470012
b1409,1.852100543
b1410,2.584218333
b1411,3.477268895
b1412,5.162000827
b1413,5.663105982
b1414,6.190389063
b1415,7.593877744
b4493,9.011117761
b1418,7.67728484
b4597,6.102914507
b0150,8.251283608
b1419,8.286171013
b4428,8.450701728
b1420,5.993414802
b4429,7.017673622
b1421,2.899058321
b1422,5.628232816
b1423,5.307072075
b1424,5.537444593
b1426,11.03639942
b1427,6.341126565
b0151,7.131587816
b1428,4.905892643
b1429,5.087838718
b1430,7.012581628
b1431,7.089715364
b4578,4.987276728
b1432,5.105895495
b1433,3.17192497
b1434,4.030233115
b1435,4.544709866
b1436,4.433615969
b0152,5.916254109
b4532,4.770181733
b1438,4.3589275
b1439,4.127571854
b1440,6.31002711
b1441,3.761019841
b1442,3.138286046
b1443,3.398663607
b1444,4.789184889
b4598,5.022689477
b1445,4.698361684
b0153,6.531251425
b1446,9.76467758
b1447,6.716394607
b1448,7.449513677
b1449,6.542345046
b1450,3.381326547
b1451,3.609376325
b1452,9.16191599
b1453,3.012706163
b1454,4.13263292
b1455,2.13008639
b0154,7.181462338
b1456,2.744053659
b1457,3.41702938
b1459,2.35821935
b1460,1.862208357
b1461,6.313409121
b1462,6.690166204
b1463,3.49925486
b1464,5.964162721
b1465,3.383435533
b1466,0.504101247
b0018,6.145766177
b0155,5.965670529
b1467,2.813280597
b1468,2.839212886
b1469,2.386502592
b1471,1.617978259
b1472,1.386772963
b1473,3.969699452
b1474,2.734250527
b1475,2.868352354
b1476,3.635809534
b1477,7.30364808
b0156,8.171635897
b1478,7.319881017
b1479,7.127985824
b1480,11.53380197
b1481,4.895914012
b1482,10.05016798
b1483,4.331636484
b1484,2.658717884
b1485,3.432911758
b1486,2.217151635
b1487,2.425136199
b0157,3.88507262
b1488,2.517658714
b1489,3.869829822
b1490,5.01380906
b1491,4.055563374
b1492,7.161167864
b1493,7.318044586
b1494,4.347895669
b1495,4.316582907
b1496,3.606056815
b1497,2.132398463
b0158,4.082247686
b1498,4.33133812
b1499,1.639153544
b1500,1.292690214
b1501,3.047668567
b1502,1.93626546
b1503,1.945836955
b1504,1.741763504
b1505,1.804581555
b1506,1.971623731
b1507,3.336256425
b0159,8.826343567
b1508,4.33208903
b4696,3.901210727
b1511,4.490077756
b1512,6.885262946
b1513,4.732617754
b1514,2.788332547
b1515,2.34590654
b1516,3.08343617
b1517,3.569752299
b1518,4.781521578
b0160,5.248102402
b1519,4.662208334
b1520,3.691109714
b1521,3.669177993
b1522,4.073507554
b1523,0.355981055
b1524,4.625018303
b1525,4.911738916
b1526,3.686656462
b1527,2.042823062
b1528,5.016449027
b0161,5.781360367
b1529,5.872164053
b1530,3.563142952
b1531,3.859866803
b1532,4.377574689
b1533,5.904850261
b1534,4.022791092
b4599,7.047114344
b4698,4.419860957
b1535,4.847625837
b1536,5.78250573
b0162,4.89948358
b1537,3.459962997
b1538,6.322350252
b1539,9.004530114
b1540,5.843881564
b1541,8.727362733
b1542,3.104217559
b1543,2.61163937
b1544,4.008670687
b1545,3.578175939
b1546,2.94931776
b0163,9.902536722
b1547,2.506260965
b1548,2.966143261
b4533,3.141638708
b1549,2.972332957
b1550,6.092522748
b1551,2.155691388
b1552,6.647327912
b1553,1.774343807
b4689,1.459560926
b1554,2.433435245
b0164,3.950598694
b1555,3.148372071
b1556,2.655981058
b1557,9.241894582
b1558,4.753558414
b1559,5.391923004
b1560,2.196097974
b1561,4.368654451
b1562,6.760368499
b1563,8.012466068
b1564,7.873087136
b0018,7.852384737
b0166,9.57747538
b1565,3.780383415
b1566,4.440069213
b1567,2.616117635
b1568,2.458386914
b1569,1.850472658
b1570,8.01665324
b1571,3.077640452
b1572,3.537910782
b1573,4.056803875
b1574,2.086441245
b0167,5.996456532
b1575,1.963149692
b1576,2.125046256
b1577,2.449446186
b0361,4.318735616
b1579,2.918651263
b1580,4.389476033
b1581,2.81310168
b1582,4.469316915
b1583,7.55069062
b1584,6.726305799
b0168,9.153713202
b1585,4.837830938
b1586,6.211189847
b1587,4.576536613
b1588,4.599423321
b1589,4.656304172
b1590,5.748131528
b1591,5.752678055
b1592,3.123508082
b1593,7.528101978
b1594,6.129936677
b4414,11.00829108
b1595,3.472950852
b1596,5.90771053
b1597,12.66262276
b4601,8.709216336
b1598,6.700487215
b1599,3.639710126
b1600,3.960387868
b1601,3.924476403
b1602,8.885122127
b1603,9.154936935
b0169,11.33290957
b1604,7.402836174
b1605,3.707061352
b1606,4.862770708
b1607,5.009010471
b1608,5.749099521
b1609,5.335620664
b1610,4.366041081
b1611,4.0260168
b1612,7.335455295
b1613,6.844062134
b0170,10.84582827
b1614,7.796722032
b1615,2.306870569
b1616,2.206056755
b1617,3.064587109
b1618,7.6121165
b1619,6.026046598
b1620,7.000002346
b1621,4.761670361
b1622,5.837568023
b1623,6.873049433
b0171,7.142784929
b1624,6.746776442
b4409,6.201852161
b1625,3.608150493
b1626,5.286321913
b1627,5.166560701
b1628,5.526919171
b1629,5.367736766
b1630,5.203053509
b1631,5.563925092
b1632,0.308674599
b0172,8.765001956
b1633,5.769413791
b1634,6.670510865
b1635,7.739748757
b1636,6.12910067
b1637,7.951945883
b1638,6.715493542
b1639,5.747588868
b1640,5.992854801
b1641,11.15337581
b1642,10.23868237
b0173,5.884912014
b1643,4.008425822
b1644,0.274168101
b1645,3.544875008
b1646,6.660196752
b1647,8.215451127
b1648,4.792366574
b1649,2.716492756
b1650,5.20612218
b1651,8.346239198
b1652,5.101676954
b0174,7.499870887
b1653,4.797383577
b1654,10.0535739
b1655,4.397907691
b1656,5.591954468
b1657,4.7280875
b4602,6.289465986
b1658,6.692376191
b1659,4.262715443
b1660,5.219865389
b1661,8.233932486
b4413,7.595800316
b0175,6.805884497
b1662,8.312782617
b1663,6.166369268
b1664,7.585731046
b1665,3.74425625
b1666,3.391655355
b1667,10.14044236
b1668,4.66763988
b1669,3.132629394
b1670,3.178583427
b1671,3.23239723
b0176,7.744721632
b1672,3.082504213
b1673,2.300645973
b1674,2.177438918
b1675,7.425872859
b1676,9.303040294
b1677,14.88428314
b1678,7.272395006
b1679,7.916082969
b1680,7.859379293
b1681,7.62969302
b0177,8.57304178
b1682,7.645570851
b1683,7.483143395
b1684,8.395906913
b4430,7.198912056
b1685,8.969890422
b1686,6.861296807
b1687,5.869684452
b1688,6.326330864
b4431,3.337042869
b1689,5.263820276
b0178,10.27812102
b1690,1.827771618
b1691,1.909885922
b1692,3.10915614
b1693,6.124786642
b1694,2.139031682
b1695,2.383226753
b1696,4.307501952
b1697,2.323083378
b1698,2.902346493
b1699,2.52235747
b0179,8.118065297
b1700,2.251821613
b1701,2.643396503
b1702,6.583946356
b1703,6.023949754
b1704,4.692763503
b1705,6.135775187
b1706,6.370991842
b1707,4.578435695
b1708,6.963910619
b1709,0.177874933
b0180,8.627659174
b1710,7.272146647
b1711,4.858265784
b1712,12.20595233
b1713,9.855922182
b1714,8.431985751
b1715,4.860445704
b1716,12.1847053
b1717,11.93568866
b1718,12.49879161
b1719,10.56814522
b0181,8.179846972
b4494,2.115484427
b4535,4.307258975
b1722,4.598693709
b1723,6.657008553
b1724,8.475972314
b1725,8.909875377
b1726,6.57488667
b1727,5.663928277
b1728,2.61455941
b1729,6.22392217
b0182,5.935019869
b1730,1.871054398
b1731,4.423831039
b1732,4.464111411
b1733,4.89578027
b1734,3.960516874
b1735,4.350410271
b1736,5.254145061
b1737,3.558055363
b1738,6.792350872
b1739,9.848770341
b0183,5.488604674
b1740,9.238935381
b1741,4.129679382
b1742,3.12844464
b1743,5.798837324
b1744,2.476077938
b1745,2.576808175
b1746,2.976283051
b1747,2.665200257
b1748,2.948723917
b1749,5.955815462
b0184,6.122773207
b1750,4.929646183
b1751,5.992506115
b1752,5.114104814
b1753,5.107876588
b1754,4.977485533
b1755,4.063345464
b1756,4.052097555
b1757,6.705478837
b1758,4.714231793
b1759,4.740026764
b0019,6.671718495
b0185,7.68848173
b1760,3.855314914
b1761,9.926003992
b1762,4.834340956
b1763,6.114230204
b1764,8.343284801
b1765,8.43296699
b1766,6.151754106
b1767,5.466963093
b1768,6.662612978
b1769,2.637507522
b0186,4.799268828
b1770,5.004901403
b1771,3.263856786
b1772,2.399800773
b1773,2.678911366
b1774,2.603082864
b1775,2.214717753
b1776,3.191024108
b1777,7.625501995
b1778,8.261517587
b1779,12.79955334
b0187,5.687925968
b1780,7.174639175
b1781,6.123795746
b1782,6.648424902
b1783,7.159355533
b1784,5.970449608
b1785,2.36562341
b1786,3.778572944
b1787,7.192238203
b1788,4.116784552
b1789,5.340580062
b0188,4.760194217
b1790,4.091742975
b1791,2.899342753
b1792,8.980840349
b1793,6.482583961
b1794,6.000063302
b4676,7.237612031
b4675,4.340120129
b1795,10.64974632
b1796,3.325446403
b1797,2.547185222
b0189,9.485722082
b1798,5.423316125
b1799,7.224182462
b1800,4.495745518
b1801,2.811451731
b1802,2.136197419
b1803,2.927117785
b1804,5.001924391
b1805,5.928473599
b1806,6.920762404
b1807,5.803988966
b4406,9.920127083
b1808,4.561618592
b1809,8.710532394
b1810,7.149025532
b1811,8.181841231
b1812,4.479596444
b1813,5.233641449
b1814,6.212580543
b1815,2.839341751
b1816,5.275075757
b1817,11.35228521
b0190,6.066099945
b1818,10.85807721
b1819,11.01479145
b1820,5.620837475
b1821,2.419632791
b1822,5.387416623
b1823,13.1522849
b1824,13.62828782
b1825,9.664426375
b1826,8.283034084
b4536,6.255378723
b0191,5.547150808
b1827,6.959433369
b1828,3.113745606
b1829,7.695680441
b1830,8.023532253
b1831,8.176134271
b1832,8.342360648
b1833,4.555115018
b1834,5.228185236
b1835,4.55299703
b1836,10.45584396
b0192,6.548311566
b1837,6.177068269
b1838,4.362831237
b4432,8.397375953
b4433,2.653904359
b1839,8.312797954
b1840,6.693664001
b1841,7.407766186
b1842,6.046940391
b1843,4.872625698
b1844,5.877270642
b0193,3.923131995
b1845,4.966239668
b1846,5.958108501
b1847,8.400704124
b1848,8.610233328
b1849,5.498974258
b1850,8.091803058
b1851,5.714661392
b1852,7.717545506
b1853,6.502748174
b1854,9.210804632
b0020,4.940627907
b0194,7.765672214
b1855,6.164012363
b1856,8.911884078
b1857,11.23300101
b1858,7.452041533
b1859,7.473462531
b1860,5.972118712
b1861,6.35345978
b4677,2.631965483
b1862,2.67086177
b1863,7.349414598
b0195,4.504138778
b1864,8.298516214
b1865,8.244725963
b1866,8.719881582
b1867,5.820958554
b1868,4.031647001
b1869,7.652815164
b1870,5.357652409
b1871,5.529126701
b1872,2.950441049
b1873,1.932686778
b0196,6.234297061
b1874,6.571365174
b1875,6.433506273
b1876,6.459046191
b1877,2.924786024
b1878,2.790614428
b1879,3.27820085
b1880,2.174803644
b1881,4.129218367
b1882,5.025917781
b1883,2.904640852
b0197,8.580599609
b1884,2.250440837
b1885,2.408206825
b1886,2.872590902
b1887,3.610468285
b1888,2.524728903
b1889,2.568136919
b1890,2.015387107
b1891,4.736454868
b1892,4.561013255
b1895,7.809784915
b0198,6.026373279
b1896,5.534905626
b1897,6.211496669
b4460,3.892810688
b1900,3.679043677
b1901,3.564682423
b1902,9.888418715
b4537,6.706127218
b4663,3.231119938
b1904,2.834675482
b1905,5.213337722
b0199,4.289969212
b1906,7.573664017
b1907,3.290677305
b1908,9.977985339
b1909,6.591024277
b1910,6.768708174
b1911,7.169487653
b1912,7.682334686
b1913,6.815480028
b1914,8.143028432
b1915,5.62294249
b0200,7.235805344
b1916,5.015176146
b1917,6.465613939
b1918,6.088994816
b1919,6.800495854
b1920,9.477724469
b1921,3.214501231
b1922,3.3649949
b1923,5.406966635
b1924,2.690209403
b1925,2.01596632
b0201,10.56024391
b1926,2.843001827
b1927,6.186383619
b1928,8.089408267
b1929,7.637226799
b1930,8.505621099
b1931,3.353629565
b1932,3.777770284
b4495,2.001782528
b1936,2.590540052
b1937,3.345448393
b0202,4.740607097
b1938,2.376941879
b1939,2.773626053
b1940,0.620736494
b1941,2.386191509
b1942,2.628190077
b1943,2.656450094
b1944,3.194088765
b1945,2.850090525
b1946,2.770882945
b1947,0.236011439
b0203,3.382867818
b1948,2.439721462
b1949,2.246392241
b1950,2.922855214
b1951,3.821788121
b1952,7.723956101
b1953,7.983754899
b1954,4.786557627
b1955,4.850134192
b1956,4.790444285
b1957,7.627397244
b0003,10.13384178
b4576,4.591797176
b0204,9.578568405
b1958,6.898393756
b1959,3.044225028
b1960,4.340038594
b1961,5.552020243
b1962,5.37920084
b1963,5.595978273
b4603,1.707601236
b4496,3.399150445
b1967,6.16901354
b1968,3.873050392
b0205,2.688411112
b1969,4.614301177
b1970,5.684244682
b1971,4.228090977
b1972,3.901736475
b1973,11.27737809
b1974,4.843822779
b1975,11.68413658
b1976,9.13993658
b1977,6.482105122
b1978,3.523382112
b0206,3.314955248
b4497,2.438769017
b1981,8.347505393
b1982,7.089993739
b1983,7.892014649
b1984,3.326752634
b1985,4.765617393
b1986,3.833006638
b1987,4.384369135
b1988,4.42165699
b1989,3.791149779
b0207,4.80115056
b1990,5.921244242
b1991,5.869999505
b1992,5.65218883
b1993,5.273145967
b4639,2.76543013
b0259,7.352068503
b4640,3.510490472
b4641,3.377077596
b4582,6.130299381
b0361,4.641541151
b0208,4.862794798
b4272,3.100757318
b1999,3.661893097
b4435,3.597807407
b2000,5.857879779
b2001,3.506959659
b2002,4.101636135
b2003,3.619237186
b2004,3.553656985
b2005,2.705232042
b2006,4.011793582
b0209,6.605677809
b4642,3.419816821
b4538,5.170324415
b2007,12.14161879
b2008,4.61053118
b2009,6.566181289
b2010,4.229394605
b2011,6.002630783
b2012,8.524069085
b2013,6.723370859
b2014,5.931832615
b0210,4.256630558
b4678,4.418691573
b2015,5.677081918
b2016,8.653326358
b4539,6.798934782
b2017,7.030382471
b2018,4.818602444
b2019,11.07073808
b2020,10.7816365
b2021,9.971300839
b2022,9.84960191
b0211,7.056007553
b2023,8.803870477
b2024,10.31804159
b2025,10.46971611
b2026,10.81219512
b2027,7.974251581
b2028,4.18514119
b2029,9.40125601
b4571,7.357018947
b0259,5.860026586
b2032,7.064385538
b0212,6.007980754
b2033,7.109037085
b2034,6.88079002
b2035,0.448287721
b2036,8.247729707
b2037,6.749834332
b2038,1.871728425
b2039,8.105089317
b2040,0.46279167
b2041,7.335764356
b2042,9.140817714
b0213,5.63767603
b2043,3.597739757
b2044,3.165927383
b2045,2.84011325
b2046,2.972320345
b2047,2.306604343
b2048,2.492830206
b2049,2.819675705
b2050,2.34764515
b2051,3.026026814
b2052,2.867739261
b0275,4.482686937
b0214,6.552651625
b2053,3.350989894
b2054,2.595791629
b2055,1.947636106
b2056,2.284214342
b2057,2.131735599
b2058,2.27663692
b2059,2.380069902
b2060,2.297079165
b2061,2.035363933
b2062,2.036469817
b0215,5.982741207
b2063,5.621438384
b2064,5.710213626
b2065,7.620120004
b2066,5.567994285
b2067,5.036290197
b2068,5.370505965
b2069,4.974360309
b2070,3.240748844
b2071,3.679693176
b2072,2.210594881
b0216,3.114432782
b2073,3.147768222
b4436,6.365691167
b4437,6.037964263
b2074,0.238775501
b2075,3.310575985
b2076,2.896308567
b2077,2.609888141
b2078,2.944403513
b0217,2.874759094
b2079,6.153965724
b2080,6.31672517
b2081,5.427258468
b4438,5.246310669
b2082,4.973496478
b2083,3.543749821
b2085,3.777417002
b2086,4.907156685
b4498,7.137185644
b0298,4.488711078
b4586,2.322303135
b1026,4.801140587
b2091,11.41965981
b2092,12.1849021
b2093,11.71747432
b2094,12.09539008
b2095,12.52020295
b2096,13.19061485
b2097,6.884221368
b2098,3.421383183
b2099,4.049836481
b0218,1.937022441
b2100,3.924606028
b2101,5.001757282
b2102,4.206630661
b2103,5.81547536
b2104,5.346027854
b2105,4.567634383
b2106,3.197209839
b2107,6.439190342
b2108,2.130462307
b2109,2.299504106
b4503,2.89284802
b2110,1.953962617
b2111,5.230498144
b2112,5.757099085
b2113,8.025743774
b2114,7.244775707
b4499,2.551800673
b2118,2.919170012
b4541,1.498344269
b2119,2.285313488
b2120,2.353042631
b0219,6.691594633
b2121,2.573089421
b2122,2.646363378
b2123,3.066185886
b2124,6.602252106
b2125,6.013206856
b2126,6.039632663
b2127,4.219581047
b4542,3.393665446
b2128,4.517096341
b2129,3.933336145
b0220,9.479692504
b2130,3.545364169
b2131,4.660137442
b2132,5.810644592
b2133,8.348335028
b2134,5.323892406
b2135,6.381903236
b2136,5.539177484
b2137,5.022794656
b2139,2.140635974
b4679,8.046674266
b0221,4.574747025
b2140,4.167785956
b2141,5.536624719
b2142,5.213454004
b2143,7.757378099
b2144,3.769877617
b2145,4.778079911
b2146,3.940999091
b2147,3.506750499
b2148,3.29772889
b2149,4.192897586
b0023,11.27458908
b0222,8.520543077
b2150,7.423741122
b2151,7.46373405
b2152,5.014758255
b2153,8.326922171
b2154,7.996846127
b2155,8.751825512
b2156,7.345954136
b2157,6.630121691
b2158,4.705956295
b2159,6.23491586
b0223,6.560217217
b2160,5.170919147
b2161,2.610488314
b2162,2.130873686
b2163,2.706729127
b2164,2.965591874
b2165,2.883869555
b2166,1.990635516
b2167,9.931163539
b2168,9.446549895
b2169,8.593218958
b0224,7.517464385
b2170,3.408881853
b4502,4.819937797
b2171,6.200798475
b2172,4.349834546
b2173,3.641797942
b2174,3.747003755
b2175,7.956755208
b2176,4.233287515
b2177,4.655387312
b2178,1.704200069
b0225,7.586214405
b2179,4.401426932
b2180,5.383573409
b2181,7.631729861
b2182,6.102042243
b2183,6.510353071
b2184,3.872056636
b2185,11.18344856
b2186,6.454928646
b2187,7.154344098
b2188,6.026599249
b0226,9.430963497
b2189,5.83785721
b2190,4.7674661
b0259,6.924738672
b2193,4.744611724
b2194,5.144449139
b2195,5.302200334
b2196,4.843717393
b2197,6.479419695
b2198,6.375704922
b2199,5.617796066
b0227,2.934384257
b2200,4.107598652
b2201,5.727084342
b2202,5.979650675
b2203,5.396657957
b2204,4.444777104
b2205,4.433763678
b2206,4.519945841
