Blattner,pdxBJ_20nM PN_Ave
b1090,7.769538383
b1091,8.040891281
b1092,8.352886601
b1093,10.76501172
b1094,13.51318602
b1095,8.505982736
b1096,6.592651769
b1097,6.144193442
b0116,9.577132721
b1098,6.661179912
b1099,6.046011
b1100,7.176171184
b1101,10.82632966
b1102,6.57123396
b1103,9.301711512
b1104,8.090084595
b1105,8.076911414
b1106,5.81697543
b1107,7.173355311
b0117,3.591550406
b1108,8.334853748
b1109,8.568318201
b1110,7.664476645
b1111,4.807463608
b1112,5.902800426
b1113,4.398455062
b1114,6.088665
b1115,3.813730621
b1116,6.221802462
b1117,1.779375565
b0118,7.871664232
b1118,7.005473334
b1119,7.282364389
b1120,6.974986303
b1121,2.236887468
b1122,2.634866301
b1123,7.458643178
b1124,5.563136441
b1125,5.401812718
b1126,5.929298788
b1127,7.775524463
b0119,7.192183928
b1128,7.736961982
b1129,0.23063939
b1130,8.579280617
b1131,5.546137048
b1132,6.124397606
b1133,6.909631273
b1134,5.644016407
b1135,4.498876315
b1136,11.23831434
b1137,3.773141559
b0120,6.904408518
b1138,2.818069904
b1139,3.75056455
b1140,3.967373463
b1141,4.728242248
b1143,8.272188231
b1144,5.357546123
b1145,6.146298048
b1146,3.843682696
b1147,3.532022222
b1148,2.280121615
b0121,6.931271191
b4692,3.158605558
b1149,2.497273522
b1150,0.737984764
b1151,2.476250184
b1152,2.322145883
b1153,1.414456521
b1154,2.049754717
b1155,2.763270505
b1156,3.085201662
b1157,2.136561756
b0122,8.050194271
b1158,1.928478856
b1159,5.57714432
b4519,4.057535685
b1160,1.746326444
b1161,1.907071863
b1162,7.572889594
b1163,5.627909919
b1164,3.33237924
b1165,4.462808188
b1166,4.948681762
b0123,5.527048362
b1167,2.264871666
b1168,2.763530921
b4520,2.577131435
b4491,4.400452198
b1171,7.999859625
b1172,7.322664675
b4593,5.483400018
b4594,3.501804443
b4521,4.478898049
b1174,9.017299789
b0124,5.361317152
b1175,9.065473565
b1176,8.344080328
b1177,6.733194174
b1178,8.943365582
b1179,8.174100852
b1180,8.025442095
b1181,6.568846368
b1182,3.006669445
b1183,0.286314603
b1184,3.765447534
b0014,8.839612363
b0125,8.225630073
b1185,7.753833308
b1186,6.115500132
b1187,8.04049783
b1188,7.747296357
b1189,8.344214709
b1190,7.146534698
b1191,6.01325492
b1192,6.432876898
b1193,6.618310489
b1194,3.473409439
b0126,8.608632754
b1195,7.499947188
b1196,3.397517081
b1197,5.123643287
b1198,9.514631981
b1199,9.527186536
b1200,9.486917603
b1201,4.201478972
b1202,4.959069525
b1203,6.015745893
b1204,5.54387545
b0127,7.717988627
b1205,11.04996216
b1206,5.779284316
b1207,7.820022821
b1208,7.559696051
b1209,6.894451511
b1210,7.129868841
b1211,6.929069567
b1212,5.997990896
b1213,6.225374759
b1214,7.257638142
b0128,7.652999564
b1215,8.206701897
b4419,6.375510648
b4420,6.143300659
b4421,4.129767821
b4422,4.167319736
b4423,5.987787303
b4424,6.099578626
b1216,6.154458493
b1217,7.182754807
b1218,7.794825523
b0129,7.169380546
b1219,9.507781219
b1220,5.414501171
b1221,7.714920808
b1222,5.28530939
b1223,6.425185522
b1224,6.725206801
b1225,7.360170487
b1226,1.977487777
b1227,6.900457059
b4425,3.220211171
b0130,4.861353432
b1229,1.41968591
b1230,5.131634681
b1231,5.714938305
b1232,7.557495343
b1233,8.180532094
b1234,7.511207907
b1235,7.162200658
b1236,9.010925466
b1237,13.16035051
b1238,4.995729275
b0131,10.44462162
b4573,4.157712669
b1241,11.03665595
b1242,5.37163443
b1243,10.51656333
b1244,8.353097741
b1245,8.373000781
b1246,7.938681958
b1247,7.90404262
b1248,8.333311913
b1249,7.747677112
b0132,5.268459411
b4595,6.701440733
b1250,5.471461328
b1251,9.929595944
b1252,8.589224913
b1253,6.528036615
b1254,7.235831174
b1255,7.061703151
b1256,8.267414472
b1257,4.456404483
b1258,3.426481858
b0133,8.505035242
b1259,8.446330848
b1260,3.104161637
b1261,7.376470219
b1262,6.656930979
b1263,5.506383662
b1264,5.075728658
b1265,7.363066508
b1266,6.328886734
b1267,6.428048017
b1268,4.607094025
b0134,7.671988217
b1269,6.624027971
b1270,6.718308662
b1271,6.800983833
b1272,8.568803983
b1273,7.523523545
b1274,8.034413674
b1275,7.151190646
b4522,7.963198152
b4523,7.609957893
b1276,6.244017481
b0015,6.819446092
b0135,2.566444571
b1277,7.406255451
b1278,6.302749267
b1279,8.002289053
b1280,6.396137512
b1281,6.161032591
b1282,5.450210222
b1283,9.429148124
b1284,7.659524919
b4596,9.080336175
b1285,4.43900529
b0136,1.800269348
b4672,3.156074564
b1286,7.710155398
b1287,6.669124937
b1288,8.72531864
b1289,5.475772923
b1290,5.541732945
b1291,6.295819718
b1292,5.097867633
b1293,5.290062852
b1294,5.556765847
b0137,2.597357752
b1295,7.573460375
b1296,3.816319859
b1297,3.830599134
b1298,4.302847346
b1299,5.201997574
b1300,4.503846616
b1301,4.159725368
b1302,4.57950432
b1303,4.335833102
b1304,9.220355925
b0138,2.390597214
b1305,2.023342742
b1306,7.261093516
b1307,6.918239179
b1308,8.868002367
b1309,1.033898064
b1310,1.234685695
b1311,1.235450803
b1312,1.762515054
b1313,2.781901055
b1314,2.578219763
b0139,2.750965873
b1315,3.454065233
b1316,2.923339883
b1317,2.054246591
b1318,1.549543947
b1319,1.177853249
b1320,3.504843901
b1321,5.64104068
b1322,5.727923809
b1323,6.93880248
b1324,11.27043207
b0140,1.894392944
b1325,7.096351452
b1326,8.117896017
b4525,4.241549933
b4673,0.238920105
b1327,4.291086758
b1328,4.624751799
b1329,6.146977302
b1330,3.870160368
b0259,6.885121263
b1332,9.48576103
b0141,1.145267114
b1333,9.671086759
b1334,9.325210066
b1335,6.525687534
b1336,2.901454791
b1337,3.303424918
b1338,2.246811519
b1339,4.286487083
b4426,3.186695894
b1340,5.464032872
b1341,5.027069074
b0142,3.988809112
b1342,6.302508726
b4699,5.775771389
b1343,5.320844485
b1344,6.597798133
b1345,4.069678345
b1346,2.130427239
b1347,2.601970995
b1348,2.030535272
b1349,3.951405246
b1350,2.962871177
b0143,6.44136584
b1351,2.293288975
b4526,0.364076589
b1352,0.872873256
b1353,2.072008032
b4527,2.807319826
b1355,2.973729023
b1356,7.45169901
b1357,4.171848279
b1358,2.914348996
b1359,3.671823035
b0144,4.62511666
b1360,2.952413263
b1361,4.018172846
b1362,3.622296736
b4528,4.641679575
b1363,4.632759758
b1365,3.223826718
b1366,3.466873912
b1368,3.417732625
b4570,2.920732757
b0259,3.597127188
b2394,5.90476369
b0145,10.43159333
b1372,2.682621929
b1373,3.682574644
b1374,5.292894007
b1375,5.925681835
b4638,7.062034218
b1376,8.718670215
b1377,3.345575496
b4427,0.355351714
b1378,5.252974386
b4529,8.744579024
b0146,8.315784999
b1379,7.804114307
b1380,6.365467111
b1381,4.649723861
b1382,6.214546715
b1383,5.953040086
b1384,2.995834679
b1385,4.503581083
b1386,2.955647058
b1387,1.991729474
b1388,1.565086967
b0147,5.003548242
b1389,2.135419996
b1390,1.949374073
b1391,2.735279404
b1392,2.621027237
b1393,1.368540339
b1394,2.628161151
b1395,3.297245729
b1396,0.635021863
b1397,3.747517101
b1398,3.643481862
b0148,4.900613478
b1399,5.47836238
b1400,6.464428839
b4674,0.396083201
b4492,5.235748078
b0361,5.509903828
b4272,6.36090379
b0256,4.661845039
b1406,6.735430156
b1407,2.444379239
b1408,0.983949382
b0149,6.195829312
b1409,0.884556304
b1410,3.19539031
b1411,4.35603455
b1412,6.748892512
b1413,5.941337223
b1414,6.476289068
b1415,7.633058121
b4493,9.417247557
b1418,8.19682314
b4597,6.3655057
b0150,7.883833014
b1419,8.096470094
b4428,8.09910254
b1420,5.329028737
b4429,6.690818771
b1421,3.743767697
b1422,4.462675667
b1423,4.409564548
b1424,6.371206337
b1426,9.886775232
b1427,7.103895908
b0151,7.07230031
b1428,6.067429075
b1429,5.604044735
b1430,7.356350992
b1431,7.283680027
b4578,4.967049839
b1432,5.560101662
b1433,3.758754301
b1434,4.219135197
b1435,4.914410972
b1436,4.57219735
b0152,6.042349713
b4532,5.666222453
b1438,5.315607126
b1439,4.764903646
b1440,6.143821221
b1441,4.924615352
b1442,4.750939649
b1443,5.393652774
b1444,6.447302193
b4598,6.211959422
b1445,5.625661712
b0153,6.01611867
b1446,9.001640316
b1447,8.332294114
b1448,9.09042479
b1449,6.811625347
b1450,4.50596946
b1451,3.417838296
b1452,9.803806985
b1453,3.641450836
b1454,4.971985629
b1455,0.813372234
b0154,7.030569518
b1456,2.680162512
b1457,4.070909362
b1459,2.513234917
b1460,1.920491177
b1461,7.828892078
b1462,6.231457563
b1463,5.028368706
b1464,6.651627708
b1465,4.368252004
b1466,0.490478692
b0018,4.149024151
b0155,6.578161169
b1467,3.891256306
b1468,3.959992207
b1469,3.674606719
b1471,0.665736974
b1472,0.607865694
b1473,4.368544059
b1474,2.947938187
b1475,2.770789694
b1476,4.15745879
b1477,8.27436537
b0156,7.857421302
b1478,8.228729775
b1479,7.172170641
b1480,12.07048442
b1481,6.292705262
b1482,11.42817218
b1483,5.905728766
b1484,3.149640182
b1485,3.644007189
b1486,2.168073012
b1487,2.336144521
b0157,4.279816282
b1488,2.282674801
b1489,4.540001405
b1490,6.155453461
b1491,4.491058096
b1492,7.967507433
b1493,8.127533687
b1494,3.79258223
b1495,3.374232216
b1496,2.463863852
b1497,1.336827838
b0158,4.421148227
b1498,3.499521159
b1499,2.133209641
b1500,1.164930846
b1501,3.884162495
b1502,1.607046491
b1503,1.751701239
b1504,1.683182129
b1505,1.400220548
b1506,1.132490836
b1507,3.724166645
b0159,8.380591007
b1508,4.57780941
b4696,4.516593791
b1511,5.294448337
b1512,6.580647737
b1513,3.013791941
b1514,3.16724072
b1515,2.941680924
b1516,3.76294658
b1517,4.152020008
b1518,5.226112952
b0160,5.913178989
b1519,5.349776827
b1520,4.433163069
b1521,3.992909372
b1522,4.763193622
b1523,0.434314509
b1524,5.453299587
b1525,5.521127788
b1526,4.338599774
b1527,1.698225438
b1528,5.805997356
b0161,6.923401374
b1529,6.648055093
b1530,4.496803995
b1531,4.961507645
b1532,5.431340612
b1533,6.782252267
b1534,5.844585466
b4599,7.356736255
b4698,4.985605675
b1535,5.697479933
b1536,7.497714749
b0162,4.371524892
b1537,4.856813744
b1538,6.917255943
b1539,9.071901931
b1540,6.81580072
b1541,8.511194017
b1542,3.71869791
b1543,3.651440899
b1544,5.955805492
b1545,5.141171506
b1546,3.304771257
b0163,9.517103713
b1547,3.248167101
b1548,3.684677535
b4533,3.199391075
b1549,2.569952228
b1550,7.88882924
b1551,4.139437546
b1552,8.235031272
b1553,2.511356099
b4689,3.352289717
b1554,3.024828081
b0164,4.496169151
b1555,3.885791666
b1556,3.401794282
b1557,10.4505164
b1558,6.332826599
b1559,5.113895994
b1560,2.115347293
b1561,4.672367129
b1562,7.389567738
b1563,8.403538133
b1564,8.189367446
b0018,6.294582212
b0166,10.81954473
b1565,4.879628158
b1566,5.618153317
b1567,2.940815627
b1568,2.35634446
b1569,1.646269643
b1570,8.390951753
b1571,3.582385875
b1572,4.215681157
b1573,4.529503973
b1574,2.69506128
b0167,6.308967125
b1575,2.071344908
b1576,2.263163282
b1577,2.782066814
b0361,4.865355569
b1579,3.529636442
b1580,4.98036943
b1581,3.224317924
b1582,5.313667477
b1583,7.809925136
b1584,7.069048771
b0168,8.660497817
b1585,5.937554056
b1586,6.949981547
b1587,4.406628958
b1588,4.196600135
b1589,3.792384735
b1590,5.422148126
b1591,5.75751691
b1592,3.904264531
b1593,7.763123486
b1594,6.882011349
b4414,10.11519876
b1595,4.236618947
b1596,5.64271453
b1597,6.12169412
b4601,4.611228455
b1598,6.547413472
b1599,3.911903029
b1600,4.322801356
b1601,4.318782843
b1602,9.306489456
b1603,9.542491732
b0169,10.33942305
b1604,7.743858369
b1605,4.278686402
b1606,5.949198651
b1607,6.300887324
b1608,7.138308924
b1609,6.320052718
b1610,4.494402812
b1611,3.489822573
b1612,5.652637052
b1613,6.838097747
b0170,9.764160828
b1614,8.122049419
b1615,1.985778544
b1616,2.193007683
b1617,2.089169939
b1618,6.89292967
b1619,8.168278015
b1620,6.12165767
b1621,5.470833196
b1622,5.815040698
b1623,7.409537361
b0171,6.774783866
b1624,7.367168174
b4409,7.189904018
b1625,5.30146009
b1626,5.877753754
b1627,5.867000384
b1628,6.09688381
b1629,5.349397924
b1630,5.151869243
b1631,5.011651186
b1632,0.287786548
b0172,9.050781938
b1633,5.363895689
b1634,6.013895821
b1635,8.1573422
b1636,6.169480801
b1637,8.390434189
b1638,7.141783412
b1639,5.866155551
b1640,5.999404532
b1641,11.22353755
b1642,10.1534754
b0173,6.348719731
b1643,4.947462404
b1644,0.360701807
b1645,4.094671622
b1646,7.227367815
b1647,7.278805175
b1648,5.315030207
b1649,3.432502122
b1650,5.644199142
b1651,8.70631061
b1652,5.318537771
b0174,7.918373219
b1653,4.839670976
b1654,10.08500511
b1655,4.999270214
b1656,6.114091563
b1657,5.80017561
b4602,7.554296944
b1658,6.759723548
b1659,4.280949871
b1660,6.312617632
b1661,8.892940576
b4413,5.983771071
b0175,7.485924591
b1662,8.969268139
b1663,7.375422941
b1664,7.874235456
b1665,4.398708215
b1666,4.379400377
b1667,9.95163205
b1668,4.994516883
b1669,3.945050526
b1670,4.059654869
b1671,3.883603696
b0176,8.230304928
b1672,3.922711314
b1673,2.537506185
b1674,2.179123944
b1675,8.455189518
b1676,8.622731621
b1677,14.49252535
b1678,7.372311091
b1679,8.133910961
b1680,8.016548215
b1681,7.539325577
b0177,8.753547134
b1682,7.455278251
b1683,7.186757936
b1684,7.905755022
b4430,8.476302056
b1685,9.374254119
b1686,6.635581599
b1687,5.943193113
b1688,7.058259365
b4431,3.19373283
b1689,3.720648282
b0178,10.55268206
b1690,1.925083634
b1691,1.03309639
b1692,4.541571098
b1693,7.907327034
b1694,2.686563848
b1695,3.515473025
b1696,4.292447814
b1697,2.884179865
b1698,3.403193118
b1699,2.984906421
b0179,8.853963849
b1700,2.723007576
b1701,3.231131041
b1702,7.145764456
b1703,6.462918182
b1704,5.859304107
b1705,6.942459185
b1706,7.009973755
b1707,5.938770154
b1708,7.535666552
b1709,0.170377599
b0180,9.039695554
b1710,8.118848066
b1711,5.14128976
b1712,11.89230579
b1713,9.583334353
b1714,8.585331803
b1715,5.292054436
b1716,11.60379306
b1717,11.68411655
b1718,12.21876017
b1719,10.29233802
b0181,8.723668585
b4494,2.113293876
b4535,5.463107112
b1722,5.875424768
b1723,7.76779821
b1724,9.448755667
b1725,8.583716481
b1726,7.255422251
b1727,6.12355996
b1728,2.437483714
b1729,7.79179885
b0182,6.94161342
b1730,2.471473836
b1731,4.801183574
b1732,6.218759663
b1733,5.159914975
b1734,3.984637345
b1735,4.575846821
b1736,5.342696971
b1737,4.363084687
b1738,7.027060274
b1739,11.39522713
b0183,6.71063739
b1740,10.04441719
b1741,4.833332878
b1742,3.448117793
b1743,7.250951812
b1744,3.476634211
b1745,3.557825922
b1746,3.356851859
b1747,2.364120496
b1748,2.404076385
b1749,5.948186178
b0184,6.598397282
b1750,4.950883148
b1751,5.505217087
b1752,0.356598911
b1753,5.704189735
b1754,5.472400424
b1755,4.368674954
b1756,4.3748589
b1757,6.157404686
b1758,5.209557846
b1759,5.938053477
b0019,7.394262433
b0185,7.994673202
b1760,4.721428378
b1761,10.3319463
b1762,5.904291795
b1763,5.794854137
b1764,7.709558523
b1765,7.996785008
b1766,6.630595321
b1767,5.737113963
b1768,6.258196416
b1769,2.970283534
b0186,5.385389129
b1770,4.729630168
b1771,3.639430574
b1772,1.947828094
b1773,2.493000145
b1774,1.937473585
b1775,1.995796582
b1776,3.08670714
b1777,7.083478974
b1778,7.544469408
b1779,12.22938263
b0187,6.495226492
b1780,5.984800411
b1781,7.156793007
b1782,7.515653431
b1783,8.219792901
b1784,7.200248349
b1785,2.567546437
b1786,4.480126697
b1787,7.620784891
b1788,5.049340961
b1789,5.859764941
b0188,5.474718258
b1790,4.880617705
b1791,3.620825069
b1792,8.853700844
b1793,7.207450462
b1794,6.752844975
b4676,7.415744855
b4675,4.174277089
b1795,11.42256006
b1796,3.339861175
b1797,2.924459106
b0189,9.307828886
b1798,6.625842792
b1799,6.828120789
b1800,4.534078984
b1801,2.305253377
b1802,2.20472901
b1803,3.538080005
b1804,5.616091505
b1805,5.266177285
b1806,7.771887773
b1807,5.45289934
b4406,9.676808437
b1808,5.257365338
b1809,9.349324589
b1810,7.79346042
b1811,8.113966728
b1812,5.0584996
b1813,5.749301044
b1814,5.758384563
b1815,3.190855441
b1816,5.782932599
b1817,11.13097655
b0190,6.146191033
b1818,10.50147388
b1819,10.50640519
b1820,6.065958872
b1821,2.735525534
b1822,5.83353495
b1823,13.48454587
b1824,14.0130846
b1825,9.808181919
b1826,8.763108528
b4536,6.436292287
b0191,5.957774131
b1827,6.701704106
b1828,2.584660447
b1829,8.256139706
b1830,8.483751744
b1831,8.751056771
b1832,9.518404953
b1833,5.440368875
b1834,5.688462833
b1835,4.614029472
b1836,12.92149291
b0192,6.775903093
b1837,7.158945238
b1838,5.498959962
b4432,8.618683341
b4433,2.488926425
b1839,8.608351004
b1840,7.555564733
b1841,8.558011158
b1842,7.19254695
b1843,5.885788551
b1844,7.052940316
b0193,4.09141797
b1845,5.494664425
b1846,5.948051214
b1847,9.269593381
b1848,7.840274424
b1849,4.824555247
b1850,8.365529494
b1851,5.804906723
b1852,8.387933757
b1853,6.97990592
b1854,9.352769834
b0020,5.901585998
b0194,7.678018156
b1855,6.743723305
b1856,8.219722951
b1857,10.2118807
b1858,7.328682516
b1859,7.558925637
b1860,7.13053137
b1861,7.154262704
b4677,2.016494723
b1862,2.810076518
b1863,7.637334671
b0195,5.404580712
b1864,8.334256441
b1865,8.231834428
b1866,8.620218939
b1867,6.534701643
b1868,4.885134453
b1869,7.859995644
b1870,5.86012694
b1871,5.802001144
b1872,3.442366579
b1873,2.190425832
b0196,7.1306489
b1874,7.178929496
b1875,6.715941908
b1876,6.49751275
b1877,3.9868204
b1878,3.738845232
b1879,4.733065095
b1880,2.289550032
b1881,4.760504253
b1882,5.640811967
b1883,3.357665262
b0197,9.707410438
b1884,2.698244174
b1885,3.093792187
b1886,3.515363738
b1887,4.789719313
b1888,3.192297907
b1889,3.258897097
b1890,2.709122338
b1891,5.232730626
b1892,5.677839521
b1895,9.017820466
b0198,7.157687872
b1896,7.225975208
b1897,7.663227279
b4460,4.800118775
b1900,4.492280129
b1901,3.071545931
b1902,8.637450208
b4537,6.583056111
b4663,3.883178508
b1904,3.209908454
b1905,5.909738507
b0199,5.350036547
b1906,6.90500151
b1907,3.640890887
b1908,9.723847831
b1909,8.735379618
b1910,8.730458921
b1911,9.00331312
b1912,8.32739575
b1913,7.166788009
b1914,8.973337986
b1915,5.938736613
b0200,7.224546199
b1916,6.474959748
b1917,7.634407109
b1918,7.095649924
b1919,7.483158683
b1920,11.05622726
b1921,4.426118469
b1922,4.439115874
b1923,7.089653346
b1924,3.46903393
b1925,3.948010657
b0201,10.05282403
b1926,3.694753055
b1927,6.943135152
b1928,8.578187895
b1929,6.993805514
b1930,7.751650996
b1931,3.886377702
b1932,4.100685596
b4495,1.203638135
b1936,3.160331301
b1937,4.599323272
b0202,5.378574237
b1938,2.966756732
b1939,3.511083042
b1940,0.602561751
b1941,2.51822745
b1942,2.370657321
b1943,2.833076551
b1944,3.619055552
b1945,3.225336066
b1946,2.870720426
b1947,0.252125203
b0203,4.188313602
b1948,2.369543991
b1949,2.339832489
b1950,2.555535482
b1951,6.119678898
b1952,7.271206147
b1953,8.296599456
b1954,5.304326111
b1955,5.677093833
b1956,5.678474267
b1957,8.016158723
b0003,11.84847784
b4576,5.615602226
b0204,9.530495777
b1958,7.423022253
b1959,3.068860036
b1960,4.700165415
b1961,6.075992426
b1962,6.116404636
b1963,6.026101801
b4603,1.045650154
b4496,4.578559759
b1967,7.028201648
b1968,0.206127675
b0205,2.937865786
b1969,5.34737917
b1970,6.617202481
b1971,5.043853562
b1972,4.936005963
b1973,8.460127126
b1974,4.5107921
b1975,10.45021504
b1976,8.059380504
b1977,5.496380955
b1978,4.055498857
b0206,4.289005613
b4497,2.05628636
b1981,8.970935622
b1982,7.562374813
b1983,7.447959721
b1984,3.790610809
b1985,5.770420882
b1986,4.848607036
b1987,6.186992379
b1988,4.116162445
b1989,4.155471804
b0207,5.246982326
b1990,6.661895582
b1991,6.953835524
b1992,6.833538461
b1993,6.319705094
b4639,3.097948568
b0259,7.228067235
b4640,4.540948715
b4641,5.171012402
b4582,6.140771733
b0361,4.89148195
b0208,5.214017668
b4272,3.367689471
b1999,4.140326661
b4435,2.58329356
b2000,4.948532813
b2001,3.680320149
b2002,4.472943631
b2003,4.363432937
b2004,4.181173155
b2005,3.32464145
b2006,4.442668934
b0209,8.028568333
b4642,4.06165227
b4538,5.678651481
b2007,12.25862088
b2008,5.481662553
b2009,7.178143807
b2010,4.859334344
b2011,6.014921275
b2012,10.00223613
b2013,8.123354453
b2014,6.159999057
b0210,5.987272654
b4678,5.446951279
b2015,5.763339569
b2016,8.913383546
b4539,7.334539502
b2017,7.618405225
b2018,4.989792896
b2019,10.92916498
b2020,10.46919408
b2021,9.6949351
b2022,10.09877832
b0211,7.999676281
b2023,9.047604352
b2024,10.41548432
b2025,10.22249576
b2026,10.03515219
b2027,9.096674251
b2028,4.899808235
b2029,9.975986213
b4571,7.872103146
b0259,5.826001658
b2032,7.490296369
b0212,6.817539362
b2033,7.630349426
b2034,7.196818697
b2035,0.617177932
b2036,8.154746812
b2037,6.783705027
b2038,1.863036466
b2039,7.827064729
b2040,0.466691069
b2041,7.746013899
b2042,9.714273866
b0213,6.209073853
b2043,4.732183472
b2044,4.2702147
b2045,3.741176232
b2046,3.674293274
b2047,3.276305905
b2048,3.604777797
b2049,4.315344218
b2050,3.820509823
b2051,4.406259624
b2052,4.674397625
b0275,5.122108761
b0214,7.186137872
b2053,5.268594775
b2054,3.864218204
b2055,3.124242979
b2056,3.269688239
b2057,2.955532923
b2058,3.144469128
b2059,2.884992475
b2060,2.528466702
b2061,1.787774024
b2062,2.044909937
b0215,6.490699101
b2063,5.800736969
b2064,6.272812671
b2065,7.89387613
b2066,5.96142586
b2067,5.173672773
b2068,5.678788124
b2069,5.134982526
b2070,3.03118927
b2071,3.862574982
b2072,2.450390888
b0216,3.232161427
b2073,3.231769289
b4436,5.73906109
b4437,5.794151111
b2074,0.205413189
b2075,3.797419984
b2076,3.462028862
b2077,3.187783733
b2078,3.90271011
b0217,2.042450494
b2079,6.760370985
b2080,7.724963083
b2081,5.896996768
b4438,5.225863245
b2082,5.120506298
b2083,3.733031162
b2085,3.660989876
b2086,5.778455548
b4498,6.943269156
b0298,5.057288314
b4586,1.146033886
b1026,5.268603039
b2091,10.53904603
b2092,11.37176985
b2093,11.25441276
b2094,11.94966609
b2095,12.45595327
b2096,13.30761154
b2097,8.240072837
b2098,3.568711159
b2099,4.309514201
b0218,1.307783596
b2100,4.146144283
b2101,5.551921479
b2102,4.635807146
b2103,7.150524125
b2104,6.826988395
b2105,6.251392955
b2106,4.330305116
b2107,7.761260363
b2108,1.802930725
b2109,2.118851863
b4503,2.834402569
b2110,1.080362379
b2111,4.120289203
b2112,7.270463796
b2113,8.119863508
b2114,7.522826993
b4499,3.020580358
b2118,3.450866955
b4541,1.162946238
b2119,1.763464451
b2120,2.694867247
b0219,6.773494455
b2121,2.310762436
b2122,2.797441332
b2123,3.497828483
b2124,6.761741159
b2125,5.915861509
b2126,5.487824959
b2127,5.242512188
b4542,4.009300374
b2128,5.533911875
b2129,5.162784769
b0220,11.05319977
b2130,4.728073836
b2131,5.907474161
b2132,6.336817835
b2133,8.452218057
b2134,6.172721672
b2135,7.600731157
b2136,6.08137027
b2137,6.264740403
b2139,1.862236309
b4679,9.063352154
b0221,6.525450359
b2140,4.942020494
b2141,6.023348509
b2142,5.132140172
b2143,7.736395928
b2144,4.785129323
b2145,5.376759576
b2146,3.320734491
b2147,4.066612095
b2148,3.24543015
b2149,3.38963374
b0023,10.9565724
b0222,8.615998204
b2150,5.410242543
b2151,5.24570378
b2152,5.824740422
b2153,9.243030247
b2154,7.205357696
b2155,8.333591637
b2156,6.038296874
b2157,6.119278071
b2158,4.570961276
b2159,6.232077639
b0223,7.155376116
b2160,4.944930403
b2161,2.535515081
b2162,1.764237726
b2163,2.259568156
b2164,3.735164427
b2165,2.712468435
b2166,2.061218337
b2167,11.00059427
b2168,10.67264264
b2169,9.920135145
b0224,8.993312246
b2170,3.957725872
b4502,5.283899917
b2171,6.985807586
b2172,4.373702482
b2173,4.435600863
b2174,4.225794751
b2175,9.161030352
b2176,5.431337483
b2177,4.89374535
b2178,0.249409477
b0225,8.037003977
b2179,4.73436945
b2180,5.263625041
b2181,6.186843324
b2182,6.639975355
b2183,7.306645016
b2184,3.957136012
b2185,10.05830672
b2186,6.56907371
b2187,7.671804547
b2188,6.129382402
b0226,9.806524983
b2189,5.405132811
b2190,5.446805488
b0259,6.71813446
b2193,5.733038833
b2194,4.144445848
b2195,3.96349592
b2196,3.933872583
b2197,5.49700987
b2198,5.371621692
b2199,5.064725006
b0227,3.42254201
b2200,4.020161508
b2201,5.421809683
b2202,5.938172345
b2203,5.918893648
b2204,5.580665912
b2205,5.666302262
