Blattner,pdxBJ_20nM PN_Ave
b0001,10.45282784
b0002,12.04906446
b0011,3.246875201
b0104,6.925355824
b0987,5.93952026
b4576,7.944385369
b0989,3.74900859
b0990,9.110089358
b0991,6.167093875
b4517,7.747780605
b0992,3.725400604
b0993,3.841141704
b0994,4.022762457
b0106,3.065439088
b0995,3.88945127
b0996,1.852798988
b0997,2.826929164
b0998,4.333439848
b0999,0.374448478
b1000,7.517658665
b1001,1.733440515
b1002,7.522747226
b1003,10.05786291
b1004,9.78810198
b0107,3.514939039
b4518,8.013815738
b1006,4.04006715
b1007,2.67290994
b1008,2.472587896
b1009,1.595991884
b1010,2.351974681
b1011,1.533963908
b1012,1.27860138
b1013,4.999193164
b1014,5.250317964
b0108,1.96638195
b1015,6.866219491
b4490,7.333818285
b1018,6.68989844
b1019,5.696756281
b1020,4.696525877
b1021,3.498572567
b1022,2.212232653
b1023,2.49568788
b1024,3.811652246
b1025,5.294927194
b0109,6.837735634
b1026,3.653093531
b0298,2.734061344
b1028,1.668459571
b1029,2.776032697
b1032,3.056684666
b1033,7.109933586
b1034,7.608534034
b1035,7.512911388
b1036,7.296455513
b1037,5.778198326
b0110,6.808593549
b1038,4.622906603
b1039,5.339196793
b1040,6.409666345
b1041,3.975272243
b1042,5.883137746
b1043,2.924394434
b1044,4.209560472
b1045,7.346483769
b1046,5.320646997
b1047,4.53055359
b0111,6.658723136
b1048,7.41786213
b1049,6.774324981
b1050,8.202524966
b1051,9.109604808
b1053,3.688421106
b1054,5.631562581
b1055,4.843495583
b1056,7.051388561
b1057,4.662651344
b1058,2.885450146
b0112,8.252891289
b1059,7.339507976
b1060,8.97026465
b1061,6.998728279
b1062,5.675668712
b1063,6.796580826
b1064,8.320735157
b1065,6.760129857
b1066,8.321937882
b1067,7.688649629
b1068,7.200798583
b0113,7.282887276
b1069,5.632252129
b1070,5.463034062
b1071,5.958003632
b1072,3.998876526
b1073,4.718162538
b1074,4.479081155
b1075,4.478594658
b1076,4.12182511
b1077,3.853959876
b1078,3.956917219
b0114,9.413171589
b1079,3.344032528
b1080,2.844727018
b1081,3.033822165
b1082,3.879574927
b1083,4.993739714
b1084,7.536400804
b1085,7.959278047
b1086,6.271050758
b1087,7.586109226
b4418,8.503266107
b0013,3.266702151
b0115,9.488730813
b1088,10.38006953
b1089,11.31256811
