,Class,Count,Reactions,"Base (flux,expression)",Prod,React
0,U;;SU,4,"SHK3Dr,PMDPHT,PNTK,AMAOTr",SU,,U
1,D;;SS,5,"DHORTS,OMPDC,OPHBDC,NDPK4,HBZOPT",SS,,D
2,U;U;SU,88,"G5SD,RBFK,ALATA_L,RBFSb,SHCHD2,CPPPGO,ILETA,DHAD2,ANS,ANPRT,CHORS,IGPS,LEUTAi,MOAT,USHD,LPADSS,TMPPP,DHQTi,DHAD1,FMNAT,PYDXNK,KARA1,KARA2,NADK,GLUTRR,DXPRIi,SADT2,ADCS,PAPPT3,UAGPT3,DPCOAK,ASPCT,KDOPP,DTMPK,U23GAAT,UAAGDS,UAMAS,ASP1DC,UGMDDS,DBTS,CYSS,NADS1,PAPSR,PHETA1,SULR,NNATr,MOAT2,GLU5K,IPPS,PMPK,PSP_L,ADSK,HSDy,SHSL1,GTPCI,UDCPDP,ACt2rpp,THDPS,DHFR,PRAIi,TYRTA,MTHFR2,SHCHF,SUCOAS,UPP3MT,3OAS161,DASYN160,DASYN161,3OAS141,MCTP1App,AMPMS2,AGPAT160,3OAS121,AGPAT161,ZN2tpp,NI2tpp,COBALT2tpp,MN2tpp,CLt3_2pp,MALCOAMT,CU2tpp,OPMEACPS,AOXSr2,BTS5,VPAMTr,GAPP,TYRL,THZPSN3",SU,U,U
3,;U;SU,1,CS,SU,U,
4,;U;SS,14,"ICDHyr,TMDS,UAGDP,ALCD19,SDPDS,DAPE,PPNDH,P5CR,G5SADs,DUTPDP,ACONTb,MTHTHFSs,DHPTDCs2,DM_mththf_c",SS,U,
5,U;U;DU,28,"ACALD,ICHORS_copy2,EDTXS2,DMPPS,CBLAT,MOBDabcpp,DASYN181,ALAALAabcpp,MDDCP1pp,MCTP2App,MDDCP2pp,MDDCP3pp,PGSA160,MLDCP1App,PGSA161,PGPP160,PGPP161,PGPP181,PGSA181,MDDCP4pp,AGPAT181,MLDCP3App,MLDEP1pp,CPMPS,LIPOCT,MOGDS,4HTHRK,MPTS",DU,U,U
6,;;SS,20,"PPA,EX_pi_e,EX_co2_e,EX_fe2_e,FADRx,ADK1,O2tpp,THD2pp,ATPS4rpp,CO2tpp,O2tex,PItex,FE2tex,NH4tex,CO2tex,EX_h2o_e,ATPM,EX_nh4_e,EX_o2_e,PIt2rpp",SS,,
7,U;U;SS,231,"APRAUR,ASPTA,PYK,ACHBS,ACLS,PFL,CHORM,PTAr,EX_fe3_e,UPP3S,UPPDC1,EX_mn2_e,EX_ac_e,UDCPDPS,ENO,FBA,HCO3E,GLUTRS,TDSK,PGI,PGK,RPE,TALA,TKT1,PPCDC,EX_glc__D_e,MDH,OHPBAT,EX_for_e,ACCOAC,KAS14,G1SAT,KDOCT2,DXPS,CDPMEK,PGAMT,UAGCVT,NNDPR,PPC,EX_zn2_e,DNMPPA,PTPATi,GTPCII2,GHMT2r,ADCL,UAPGR,CTPS2,TRPS3,NDPK3,ACODA,FCLT,ADSS,ASNS2,KDOPS,MCOATA,DHDPRy,SDPTA,TRDR,DDPA,UAMAGS,DHPPDA2,UHGADA,UAGAAT,ATPPRT,HISTD,DHDPS,G1PACT,GF6PTA,IGPDH,PRPPS,PRMICI,SERAT,BPNT,ASPK,ASAD,ACOTA,PPBNGS,PPNCL2,PSERT,GAPD,EX_mg2_e,ACOATA,MOHMT,ACtex,CHRPL,CYSTL,EX_ca2_e,Kt2pp,TKT2,CYTK1,GK1,Ktex,DHFS,EX_ni2_e,GLCtex_copy1,EX_meoh_e,METS,EX_cu2_e,DHPS2,MTHFC,MTHFD,EX_cobalt2_e,FORtppi,SO4tex,PROt2rpp,PROt4pp,NI2tex,DNTPPA,FE3tex,MG2tex,Zn2tex,COBALT2tex,HMBS,MEPCT,GLUDy,GLCptspp,HSTPT,THRD_L,EX_so4_e,OMCDC,E4PD,IG3PS,DPR,EX_k_e,CU2tex,ALAALAr,CLtex,EX_pydxn_e,MNtex,PANTS,HISTP,T2DECAI,DHQS,EAR161x,PGCD,3OAR121,EX_cl_e,FORtex,PFK,PDX5PO2,CYTBO3_4pp,EAR141x,TPI,MPTG,RPI,5DOAN,DM_5drib_c,K2L4Aabcpp,3OAR120,3HAD80,3HAD120,SO4t2pp,PSSA161,PSD160,PSD161,CA2tex,3HAD161,SUCDi,3HAD121,EAR140x,3OAS140,3OAR140,3OAR160,3OAR141,3OAR161,3HAD141,EAR121x,PE160abcpp,PE161abcpp,ACONTa,PSSA160,3HAD40,3OAS60,3OAS160,3OAR60,3OAR80,EAR100x,EAR120x,EAR160x,3OAS80,3OAS100,3OAS120,3OAR40,3OAR100,3HAD60,3HAD100,3HAD140,3HAD160,EAR40x,EAR60x,EAR80x,CAt6pp,NADH16pp,OPHHX3,DALAt2pp,POR5,MG2t3_2pp,FE3abcpp,OGMEACPS,OGMEACPR,K2L4Aabctex,OPMEACPD,EPMEACPR,MEOHtrpp,OGMEACPD,EGMEACPR,OPMEACPR,PMEACPE,ACPPAT161,APG3PAT160,APG3PAT161,MEOHtex,ICYSDS,MECDPDH5,RNTR1c2,RNTR2c2,I4FE4SR,RNTR3c2,RNTR4c2,I2FE2SS,I2FE2ST,I2FE2SS2,I4FE4ST,DM_4crsol_c,PYDXNtex,PYDXNtpp,ACPPAT160,PYK2,PYK3,I2FE2SR,BIOMASS_Ec_iML1515_core_75p37M",SS,U,U
8,U;U;SD,32,"TRPAS2,ACKr,IMPC,IMPD,AIRC3,ARGSS,AGPR,MECDPS,GLUR,HPPK2,GART,PRATPP,GLUPRT,DAPDC,OCBT,GARFT,PPND,PRAMPC,TMPK,PDX5PS,PRAGSr,PRFGS,AIRC2,CBPS,GMPS,PRASCSi,GLNS,ACGS,PRAIS,AICART,PGM,PERD",SD,U,U
9,U;;SS,7,"DB4PS,ALAR,A5PISO,RBFSa,PSCVT,DM_amob_c,SHKK",SS,,U
