,Class,Count,Reactions,"Base (flux,expression)",Prod,React
10,;U;SD,1,GLYK,SD,U,
11,U;;DS,2,"PPM,SERASr",DS,,U
12,D;;DS,6,"GLGC,G1PTT,TDPGDH,TDPDRE,TDPDRR,DHNCOAT",DS,,D
13,D;;SU,4,"IPPMIb,IPPMIa,IPDPS,HSK",SU,,D
14,D;;SD,1,ORPT,SD,,D
15,;;US,2,"EX_h_e,Htex",US,,
16,D;;DU,5,"DMATT,GRTT,GLCS1,OCTDPS,DHNAOT4",DU,,D
17,D;U;SU,3,"IPMD,THRS,HSST",SU,U,D
18,U;U;DS,60,"PUNP1,ALCD2x,HEMEOS,ADMDC,EDTXS1,DMQMT,OHPHM,GMHEPPA,S7PI,GLUCYS,ENTCS,EX_cbl1_e,AHCYSNS,GMHEPK,CBL1abcpp,MOBDtex,PPA2,ETOHtex,EX_mobd_e,PDH,MTAN,EX_etoh_e,GTHS,HEPT1,MOAT3C,ADNK1,HEPK1,HEPT3,HEPK2,SUCBZL,ORNDC,PG161abcpp,OMBZLM,EAR181x,MPTG2,MCTP1Bpp,3OAR181,3OAS181,3HAD181,PSSA181,PSD181,PE181abcpp,OMMBLHX3,AMMQLT8,5MTRtex,MPTAT,MOADSUx,APG3PAT181,ETOHtrpp,EX_5mtr_e,5MTRtpp,LIPOS,SHCHCS3,OMPHHXy,ACPPAT181,SEPHCHCS,DHNCOAS,CBL1tonex,4HTHRA,BIOMASS_Ec_iML1515_WT_75p37M",DS,U,U
19,;D;SD,1,ADSL2r,SD,D,
20,D;D;SD,1,FUM,SD,D,D
21,U;U;DD,7,"SUCBZS,DHBD,ICHORT,DHBS,MPTSS,MOCDS,MOCOS",DD,U,U
22,D;U;DS,2,"SPMS,RHAT1",DS,U,D
23,U;U;US,5,"EX_lac__D_e,NDPK1,D_LACtex,LDH_D,D_LACt2pp",US,U,U
24,D;U;SS,1,UMPK,SS,U,D
25,D;D;DD,3,"AGMHE,HEPT2,GLCTR2",DD,D,D
26,D;D;DS,8,"GMHEPAT,PGMT,GLCTR1,GLCTR3,HEPT4,GALT1,COLIPAabcpp,COLIPAabctex",DS,D,D
27,;U;DS,3,"RHCCE,PG160abcpp,PG181abcpp",DS,U,
28,D;D;DU,1,GALUi,DU,D,D
29,D;;US,3,"EX_glyclt_e,GLYCLTtex,GLYCLTt2rpp",US,,D
30,U;;DU,1,METAT,DU,,U
31,U;D;SD,2,"ARGSL,ADSL1r",SD,D,U
32,;;SD,2,"H2Otex,NH4tpp",SD,,
33,U;D;SS,4,"ASPO5,QULNS,PPPGO3,DHORDfum",SS,D,U
34,;U;DD,1,GLYCtpp,DD,U,
35,;;SU,2,"H2Otpp,FE2tpp",SU,,
36,U;;SD,1,ACGK,SD,,U
37,D;D;US,1,GCALDD,US,D,D
38,;U;DU,3,"CLPNS181pp,CLPNS160pp,CLPNS161pp",DU,U,
39,;U;UU,2,"AI2K,PAI2I",UU,U,
40,D;D;SS,1,DHNPA2r,SS,D,D
41,U;U;UU,1,PAI2T,UU,U,U
