Blattner,WT_20nM_PN_AVE,WT_5uM_PN_AVE,pdxBJ_20nM_PN_AVE,pdxBJ_5uM_PN_AVE,yggS_20nM_PN_AVE,yggS_5uM_PN_AVE
b0001,7.636210617,7.652924377,9.637039133,8.414843496,8.010171279,8.509781868
b0002,9.297623672,9.187181332,11.41742299,10.08363168,9.964158226,9.815804501
b0011,1.99957664,2.826726563,2.686388878,2.504226049,2.395014213,2.022761316
b0104,6.453765528,6.053033771,6.30217985,6.805800241,6.575591705,6.526476476
b0987,4.205712312,4.424087105,5.320282096,4.770151585,4.556952157,4.075059846
b4516,4.166700587,4.251899059,5.09863502,4.474989905,4.449833339,4.153057431
b0988,5.493136989,5.804460395,7.351813452,5.964337663,6.150185705,6.455266595
b0989,1.929534953,2.607269392,3.141613333,2.531327761,2.867548906,2.598285763
b0990,7.205078488,7.023817983,8.487521081,7.058985869,7.534593014,7.19566231
b0991,4.680114861,4.990952773,5.520640728,5.600020183,5.401645651,5.0548015
b4517,6.269765461,6.604936286,7.059200732,7.253711951,6.985802834,6.651903094
b0992,2.708066115,2.749825213,3.170070888,2.818259695,3.031106916,2.39900584
b0993,2.42327631,2.552025065,3.266647797,2.664071943,2.46480305,2.357490415
b0994,3.562564377,4.044348914,3.474213802,3.087233347,3.764549059,2.986752535
b0106,1.765510428,2.434963328,2.552683282,2.238695316,2.225298224,1.980355619
b0995,3.005933645,3.213486356,3.354181491,3.232181923,3.277616267,2.957249791
b0996,0.689468713,1.470246446,1.442944002,1.176986558,1.078937426,0.76922759
b0997,1.4562524,2.1464374,2.306443875,1.982118014,1.772063414,1.456921231
b0998,2.605974175,3.058988626,3.744487897,3.163053767,2.888416651,2.375591452
b0999,6.795453181,6.705862463,6.829688821,6.664276478,6.746819846,6.141016907
b1000,6.833865295,6.708157806,6.888611543,6.650479219,6.93062115,6.263919719
b1001,1.058795903,1.99013429,1.312652745,1.55020979,1.509632762,1.010992075
b1002,8.09753334,8.155322555,6.899557938,7.192246995,7.930813495,7.320542964
b1003,8.856991243,8.711304524,9.426396711,8.949754379,9.05663022,7.855299301
b1004,8.694315078,8.465819389,9.163677541,8.684863416,8.979196713,7.659847334
b0107,2.114418273,2.562322923,2.953820582,2.427688364,2.61268866,2.273017009
b4518,4.852643404,5.146591798,7.357810355,7.340418683,5.224930574,4.485057141
b1006,2.653686259,3.116071933,3.454227581,3.193716464,2.982597405,2.57627415
b1007,1.629258852,2.159427911,2.160793309,2.127117471,1.883919619,1.262873652
b1008,1.241653572,1.9007951,1.981662602,1.817787245,1.512029528,1.276692495
b1009,0.94744097,1.731686536,1.197716399,1.617642189,1.074704746,0.840231735
b1010,1.271484213,2.155692721,1.87426986,1.933729314,1.655544326,1.387494528
