Blattner,WT_20nM_PN_AVE,WT_5uM_PN_AVE,pdxBJ_20nM_PN_AVE,pdxBJ_5uM_PN_AVE,yggS_20nM_PN_AVE,yggS_5uM_PN_AVE
b1011,1.583167659,1.984484843,1.50113531,1.974641484,1.631342619,1.190692544
b1012,1.448694367,1.577840689,0.932970437,3.082313556,1.545634179,1.95096713
b1013,3.950162153,4.200399396,4.401447126,4.346556609,4.537288166,4.355238413
b1014,4.357225212,4.022121238,4.642755176,5.803018664,5.080253058,4.178273888
b0108,0.948460685,1.832928142,1.515578687,1.468863612,1.395369621,1.204280735
b1015,5.911991879,5.799567255,6.238238177,7.160972707,6.32916949,6.20671376
b4490,5.398138321,5.548282434,6.705521876,6.676105555,5.891207616,6.450066772
b1018,5.494181619,5.403028005,6.067952316,6.582029588,5.521390542,6.163617109
b1019,4.668124134,4.925244669,5.078686324,5.829993255,5.037779843,5.518022592
b1020,3.654011969,3.92035196,4.089575721,5.374399381,5.228266064,4.241617568
b1021,3.00183485,3.334338458,2.93978795,3.450380523,3.060956707,2.765699469
b1022,1.764501467,2.521970209,1.745333909,2.266543364,2.058558201,1.587463221
b1023,1.502377508,2.147055058,2.001160115,1.958057834,1.980057243,1.474378954
b1024,2.389514842,2.64437152,3.23275122,2.379596507,2.575699655,2.043478202
b1025,3.107333449,3.319292855,4.673539238,3.875911377,3.504194472,2.83683519
b0109,5.888523259,5.711378292,6.213316646,5.950854668,6.05081704,6.18824259
b1026,1.852491238,2.447945121,3.094869547,2.295343823,1.858236993,1.963204568
b1027,1.346715783,1.813940784,2.218162688,1.548880772,1.388797968,1.285503505
b1028,0.421551387,1.435697113,1.276255943,0.787106187,0.58189333,0.427066413
b1029,0.702108517,1.914305496,2.247914505,1.691698261,1.40817899,0.731213233
b1032,1.471619792,2.112987334,2.539789306,1.842304539,2.291487502,1.71330241
b1033,5.881803299,5.825624893,6.484332423,6.317237152,6.11026682,5.734046773
b1034,6.068319495,5.959711358,6.981997336,6.442313799,6.297442433,6.176341223
b1035,6.003714786,5.797904472,6.888302871,6.449294844,6.294414974,6.064282241
b1036,6.394570156,6.723651901,6.674314362,6.775374473,7.207275395,5.992453763
b1037,4.521299667,4.555730575,5.160232133,4.411497663,4.525152736,4.091652834
b0110,6.082016892,6.112748643,6.182891142,6.024090777,6.470155679,6.08497653
b1038,3.474296104,3.370152289,4.024876185,3.216606402,3.397404233,2.660841528
b1039,3.745159867,3.908349913,4.725836918,4.03216612,4.013783182,3.073394885
b1040,4.857881684,4.826205342,5.796251305,5.007845113,5.138546231,4.838519701
b1041,1.67701263,2.266975742,3.382378842,2.718040281,1.654400746,1.338155206
b1042,3.40068033,3.626555295,5.264656014,4.137066403,3.509389184,3.023641906
b1043,1.225669155,1.910548172,2.39920346,2.95612026,1.851742788,1.730194905
b1044,2.219459811,2.590300826,3.611789786,4.192262393,2.952493585,2.572973072
b1045,6.134891528,6.336964058,6.72710295,6.261551726,6.414386237,5.860095748
b1046,3.862208422,4.199435943,4.733373386,4.135477016,4.092186666,3.610299266
b1047,3.183757651,3.240297169,3.948744687,3.701486776,3.080333193,3.41534358
b0111,6.108106671,6.106112972,6.054601538,5.976077192,6.413635795,5.809187117
b1048,6.86275056,6.623239113,6.787131516,6.620623127,6.82515704,6.937476917
b1049,6.177873091,6.104759482,6.157544278,6.056030956,6.072090377,6.320763272
b1050,6.386278456,6.554792308,7.762448371,7.17550838,7.022030902,6.481124617
b1051,7.124601077,7.228075969,8.540402355,7.863552506,7.876632867,7.270917927
b1053,2.734615184,3.021290463,3.114749602,2.60286632,2.807511196,2.366148198
b1054,5.017976512,4.986750922,5.019314131,4.624319346,4.816131938,4.955828905
b1055,3.859399178,3.867464412,4.237598319,4.216187582,3.950909671,4.670973881
b1056,4.828382435,4.942809965,6.432750066,6.011042457,5.424141219,5.518717921
b1057,2.841362023,3.010480159,4.063743102,4.024318355,3.231848127,3.192917748
b1058,0.922058544,1.703009026,2.363810247,2.15213453,1.699981942,0.993450812
b0112,7.615829338,7.34018201,7.632102644,8.69003444,7.085780323,7.804997745
b1059,5.535611907,5.286166973,6.713044405,6.533617841,5.714926533,5.554637937
b1060,9.085840788,9.399766297,8.336990865,8.49928465,9.564640202,8.781988393
b1061,6.021583099,6.152218051,6.345626755,6.514848729,6.125583998,6.708519201
b1062,4.759321065,4.652810183,5.064976252,5.531196046,4.274430183,6.393678441
b1063,5.958321916,5.940062775,6.170717589,6.310352151,6.110414826,5.89708956
b1064,7.304900841,7.298866968,7.69258038,7.327557759,7.344411503,6.579169595
b1065,5.108786419,5.078799606,6.136154448,5.85089458,5.763103297,5.802117116
b1066,7.365341994,7.42347927,7.691563698,7.802434782,7.723222983,7.308805628
b1067,6.709407291,6.663958376,7.056442001,7.315010404,7.065923553,6.309990758
b1068,5.854955146,5.813902742,6.576208858,6.474765317,6.19210869,5.488057508
b0113,6.190355803,6.093238328,6.659961666,6.446089996,6.242868596,6.641587459
b1069,4.51165479,4.115569799,5.018987458,4.730427045,4.351827912,4.414329738
b1070,3.895411496,3.95162837,4.85731103,6.496782686,4.416783077,4.139118834
b1071,4.527850632,4.50385045,5.343889305,7.152786524,4.98777686,4.857726139
b1072,2.381589474,2.496618767,3.417206404,5.801586885,3.501643097,3.755691529
b1073,3.488139257,2.900527892,4.124799806,7.851955031,4.58025976,4.946291138
b1074,3.48022648,2.765006899,3.884216404,7.778625769,4.382619722,4.748062288
b1075,3.598808915,2.876107653,3.885640112,7.601623938,4.495095963,4.609393478
b1076,3.263261664,3.019573116,3.534987222,7.238709573,4.089389312,4.218270946
b1077,3.217062022,3.049047536,3.26669047,7.092026614,4.084425274,4.014496659
b1078,3.521190836,2.991630626,3.373900419,7.253368781,4.01212208,4.20514898
b0114,9.096117182,9.063418236,8.783081986,9.59406328,9.434266763,9.792700541
b1079,2.419704092,2.293212829,2.79205676,5.740812886,2.95424457,3.161507278
b1080,2.063637636,2.167618195,2.434522192,5.457935565,2.679652321,2.69395042
b1081,1.97610123,2.138123483,2.495759915,5.035090671,2.2728226,2.348557768
b1082,2.374225884,2.418887659,3.303912113,6.260191194,2.860955449,2.740545922
b1083,3.432472627,3.381960678,4.38406587,7.20147956,3.814041232,3.755699825
b1084,7.066662615,7.057664191,6.910371266,6.978480664,6.974637018,6.833443212
b1085,6.50959975,6.617065853,7.32682079,6.814764593,7.097200406,6.684122189
b1086,4.876596153,4.707274546,5.651675488,5.724733108,4.921577196,5.297084411
b1087,6.327974695,6.076341561,6.955614974,6.657523282,6.404723227,6.260651716
b4418,8.675681358,8.733337105,8.042786896,8.264452597,8.929953718,9.037896941
b0013,1.386409664,2.376634611,2.707192775,2.651827527,2.231681494,1.906636099
b0115,8.653268792,8.540600398,8.863665602,9.258280326,9.070233257,9.387040896
b1088,10.89170366,10.87603666,9.75867963,10.37616072,11.06481725,11.37283842
b1089,11.99805746,12.00208015,10.68091235,11.45757235,12.01909478,12.35807442
b1090,7.331683253,7.284486934,7.150754764,7.267967034,7.528641413,7.763633233
b1091,7.402550414,7.423243877,7.412108197,7.753294497,7.892577473,8.14955566
b1092,7.951280204,7.924239574,7.72627576,8.088055589,8.273997041,8.330417793
b1093,10.11439008,10.08019745,10.13635905,10.07951099,10.29861624,10.33230154
b1094,12.75080545,12.78664418,12.86044801,13.02738298,12.93129434,12.97035726
b1095,8.122606549,7.960275547,7.884696589,8.195606019,8.146370003,8.194141824
b1096,4.732391125,4.826941009,5.972914603,5.56048307,5.128003515,5.18804718
b1097,4.296293527,4.270460175,5.530612971,5.00605601,4.605588266,4.485717881
b0116,8.936362486,8.662279487,8.950688982,9.437128551,9.396962189,9.677522953
b1098,5.049205818,5.006346814,6.039028737,5.597278481,5.374685448,5.202447558
b1099,4.261808539,4.388042581,5.432511324,4.809374039,4.664509659,4.295463914
b1100,5.605986459,5.774721411,6.549899286,5.869221594,6.027172627,5.687359863
b1101,10.10256714,9.786783314,10.20329091,9.737644929,9.781056573,9.890368012
b1102,6.08229615,6.113351223,5.948722276,6.221373282,5.684225613,5.983791824
b1103,7.898235318,7.706822489,8.682762695,8.462012192,8.052205871,7.652404861
b1104,6.703063535,6.495081935,7.459653387,7.43965165,6.823144438,6.252216502
b1105,6.684276819,6.576475905,7.439653194,7.381092116,6.85909659,6.19496787
b1106,4.671267192,4.850109804,5.226799989,4.974300564,4.901529434,4.886203198
b1107,6.516576746,6.482436515,6.544466958,6.60886682,6.724699643,6.560740915
b0117,1.729211559,2.335138127,3.026644025,2.304460093,2.080473533,1.883192254
b1108,8.364445972,8.067427128,7.709633808,7.997607574,8.564199785,7.852569788
b1109,8.139339948,8.363360569,7.942052556,7.963923453,8.018748301,8.293681751
b1110,6.771516495,7.06973121,7.038827134,8.6194291,7.341975319,8.212224468
b1111,4.473403369,4.615227991,4.210334057,4.850840248,4.878884857,4.696178701
b1112,4.046476003,4.431224966,5.280917277,4.752377989,4.478382136,4.026511555
b1113,2.879601588,2.828575809,3.810439105,3.428057768,3.147236908,3.125827854
b1114,5.565913411,5.606630083,5.469844063,5.487642043,5.277948933,5.440096789
b1115,1.66954831,2.402215791,3.226511151,3.061805718,2.197627697,1.771556867
b1116,5.369595282,5.177806173,5.606692833,5.187441081,5.345421636,5.399590745
b1117,6.382626878,6.229179524,6.046770989,6.050537792,6.039542318,6.021636562
b0118,7.712362271,7.492458048,7.247493232,8.095154099,8.326064411,7.911892386
b1118,6.180021527,6.191849701,6.380828751,6.112337833,6.207061202,6.267479878
b1119,6.582872784,6.691123733,6.658710416,6.518040548,6.706639257,6.579933873
b1120,6.431527565,6.404887699,6.351521921,6.417391888,6.459586371,6.319789808
b1121,1.17964465,2.039462041,1.769608185,1.599358865,1.56636643,1.542926123
b1122,1.648955769,2.318695298,2.109191524,1.849040547,1.997515613,2.096618984
b1123,7.088634325,7.161322932,6.83351396,7.069584769,7.57691642,7.500598807
b1124,5.340977529,5.221950336,4.946004506,5.241556986,5.584198935,5.793530397
b1125,5.402257647,4.993737456,4.792177449,4.857831608,5.035308787,5.5202864
b1126,5.782195544,5.465783649,5.308918644,5.250036762,5.461733393,5.78501651
b1127,7.411868343,7.020156485,7.151869961,7.008546498,7.329056697,6.562986816
b0119,8.463355835,8.914267928,6.560886231,7.452004248,8.867399649,8.168839703
b1128,7.259366306,7.056640296,7.114606581,6.826566342,7.187302966,7.234807484
b1129,5.313128435,5.388545488,6.097352667,5.492744461,5.297999816,5.032089892
b1130,7.534170212,7.556153415,7.946112339,7.801332505,7.636381193,7.352410189
b1131,5.812616503,5.802531919,4.934226872,5.43785602,5.656963241,6.845045468
b1132,6.033590907,5.714663178,5.497788375,5.248241151,5.642082093,5.996688994
b1133,6.811183665,6.337618929,6.288042554,6.092545203,6.45343028,6.826482331
b1134,4.613715169,4.512082284,5.032882124,4.456498425,4.55955382,4.793828195
b1135,3.444127705,3.524783767,3.907142662,3.812682701,3.637066041,4.118117852
b1136,10.04391895,9.813393938,10.61254541,10.23665899,10.41598527,10.06437466
b1137,2.542368623,2.950078161,3.206374169,3.507597992,3.093018968,2.921698541
b0120,6.764349647,6.661485786,6.293630781,6.565155506,7.02167654,7.313442013
b1138,1.655454396,2.080846178,2.300369615,2.442838062,2.364021392,2.237199029
b1139,2.879903956,2.940580553,3.184161518,3.601036718,2.936348976,3.093569827
b1140,2.148317996,2.478930971,3.40827926,2.760224957,2.645050588,2.114419358
b1141,1.952290309,2.469967579,4.049530764,3.010023805,2.552342694,2.063648254
b1143,7.359771228,7.490363375,7.656322926,7.563118104,7.851169227,7.256740147
b1144,4.783456208,4.843410102,5.275065605,5.494527727,5.281983712,4.554835576
b1145,4.509030712,4.714556711,5.523851563,4.998506264,4.753088491,4.726418332
b1146,1.580164767,1.665680059,3.208223145,2.335030721,1.713762265,1.378299222
b1147,1.25762339,2.000840238,2.96921516,2.189796355,1.650095499,1.463021683
b1148,0.797093423,1.544354359,1.776208174,1.761366,1.108198941,0.832693644
b0121,6.918591374,6.671839353,6.308274775,6.649861559,7.045124746,7.361845209
b4692,1.037888143,1.630936033,2.604376808,2.166087067,1.385981939,0.869626911
b1149,0.705900842,1.575862352,2.000408323,1.58427669,1.03957436,0.61880658
b1150,0.938602392,1.816783212,1.912253814,1.643245703,1.277627174,0.624227943
b1151,0.566422499,1.731591684,1.987138688,1.477725124,0.721500842,0.597357028
b1152,0.453962535,1.493241352,1.840705581,1.419657071,0.970082354,0.623337344
b1153,0.428696164,1.595956898,1.044650804,0.755925285,0.642392886,0.500973922
b1154,0.995509469,1.887396724,1.582862272,1.590049759,1.662502097,0.970587691
b1155,1.695774758,2.091541582,2.303910626,2.045339552,2.072766908,1.5339899
b1156,1.307929771,1.88605361,2.562425819,2.421466768,1.639517027,0.9766866
b1157,0.641711507,1.838978792,1.684996162,1.816040406,1.256630814,0.439602103
b0122,6.126402465,6.323085442,7.425335801,6.295018698,6.839167482,6.802229772
b1158,0.580882612,1.766007526,1.487577813,1.164845208,1.026023671,0.969286281
b1159,2.939200188,3.360144101,4.964062701,4.456211141,3.639488136,3.240815035
b4519,1.539486386,1.707196521,3.477215504,3.024125154,2.208890563,1.728100403
b1160,1.225805061,2.202791938,1.320389789,2.093758216,1.492665595,1.257965028
b1161,0.832174847,1.870500664,1.481884972,1.898816073,1.516040488,1.006215431
b1162,6.119732863,6.206837772,6.939632294,6.057918635,6.289481464,6.173136783
b1163,4.346040847,4.299404685,5.012639392,5.418125526,5.035236353,4.624229222
b1164,1.052901271,1.585191427,2.780336821,2.431593928,1.836113997,1.351528221
b1165,0.896887642,1.741837464,3.880149463,2.541704522,1.898915751,0.764190678
b1166,0.527593604,1.550914505,4.348705697,2.346857358,1.435064903,0.521862089
b0123,5.433236725,5.47583402,4.9160475,5.56564338,5.46844493,4.668339113
b1167,0.618481423,1.118665058,1.790652606,1.066939878,0.768678364,0.558379002
b1168,1.176841786,1.751335918,2.237902971,1.527705805,1.796483611,1.023206054
b4520,1.730408129,2.337163536,2.056576818,1.901472596,2.395936955,1.656599548
b4491,2.079517593,2.680103652,3.811058158,3.258749962,2.761099249,2.29084149
b1171,5.253853305,5.059430273,7.37033113,6.638982652,5.163944185,5.310795006
b1172,4.617833934,4.538811985,6.695051497,6.139935564,4.530032431,4.624864033
b4593,2.950439939,3.300292964,4.879610281,4.420951645,3.170886364,3.222631249
b4594,1.225670064,2.045911162,2.936478777,1.917950701,2.123001157,1.545040585
b4521,2.474012237,2.858664585,3.881077684,2.997118047,2.64941996,2.758869305
b1174,8.472510461,8.483688413,8.396847585,8.378615402,8.586961209,8.042299344
b0124,4.354017656,4.600858635,4.753694275,4.924393953,5.612085945,4.533624068
b1175,8.729325265,8.617230152,8.440285976,8.532825426,8.744109504,8.244695321
b1176,7.426041177,7.463619652,7.708439943,7.433524851,7.6619944,7.505023623
b1177,5.954042929,6.216993381,6.111125374,6.08899674,6.280418116,5.81610768
b1178,7.126709832,8.940628983,8.322642358,7.922297081,6.700353987,5.572246243
b1179,6.496956175,6.607051383,7.555998307,7.484587728,6.802645499,6.841128898
b1180,6.356309267,6.401028878,7.40736225,6.858043665,6.867982833,5.963832237
b1181,4.985282398,5.142639611,5.944010036,5.73306857,5.452235659,4.884234407
b1182,2.519806963,2.719941124,2.470444435,2.454445876,2.430709912,1.504518175
b1183,2.310005622,2.750272597,3.61301207,2.925688035,2.860023839,2.821033713
b1184,1.748450131,2.518040008,3.193847597,2.790213811,2.364571455,2.226092022
b0014,8.554890724,8.585322367,8.210248427,8.017972797,7.97885994,8.122143286
b0125,7.461972836,7.077581515,7.605428126,7.429856578,7.671747727,7.580369952
b1185,6.680546782,6.373379207,7.133067261,7.486175142,7.052925471,6.801091978
b1186,5.529385217,5.383968166,5.502683431,5.607572005,5.306452253,5.495240092
b1187,7.597045374,7.408876669,7.41921797,7.336932592,7.893693906,7.563072098
b1188,6.096566905,6.314083683,7.120331527,6.349175484,6.79200537,5.502842722
b1189,7.711117122,7.629360121,7.722843944,8.35926032,8.4717472,7.589066061
b1190,5.95071503,5.730333977,6.519227997,6.983411244,7.00783578,5.561439828
b1191,4.773568842,4.822652915,5.396703839,5.040527746,4.72229271,4.550633691
b1192,5.263730051,5.131467915,5.807227613,5.214796324,5.320244384,5.310058179
b1193,5.144234617,5.054091858,5.995276722,6.479193802,5.373689879,5.558039049
b1194,2.184943272,2.499798627,3.350138146,5.522741111,2.718580907,2.605187085
b0126,7.782528413,7.862391403,7.986514679,8.347360346,7.957218029,8.128428789
b1195,6.242803897,6.639386064,6.867353125,6.320390681,7.05976911,6.102303918
b1196,1.465475919,2.390236518,2.820614314,2.407997406,2.71382447,1.495788075
b1197,3.660949571,3.607719335,4.518995834,3.29346941,3.92915238,3.016117393
b1198,8.462836425,8.48224429,8.887265891,8.115076121,8.34580731,8.044576302
b1199,8.724862869,8.686215379,8.899718647,8.264675992,8.729582112,8.335246462
b1200,8.821908434,8.542984177,8.860658612,8.322858283,8.908908556,8.753262597
b1201,2.745353987,2.960995665,3.613933249,3.370418665,3.010529208,2.664689901
b1202,3.922672898,3.946019874,4.354911278,3.543999172,3.580858068,3.179188674
b1203,5.502595592,5.126689608,5.396555145,5.623069018,5.281573461,5.790304892
b1204,4.55401957,4.305832186,4.937448368,4.934358911,4.491262059,5.042755898
b0127,6.433401355,6.25463282,7.089927594,6.880626146,6.655715411,6.287460742
b1205,12.28059048,12.54818947,10.41921971,10.75649459,12.13932005,11.46376222
b1206,5.288224091,5.413847268,5.196547919,5.04209448,5.350973488,4.97097824
b1207,7.42231959,7.102985997,7.196286417,7.119241136,7.171869158,7.942582969
b1208,7.22757054,7.127651124,6.938965044,6.919242572,6.981563478,7.529861538
b1209,5.626747527,5.463820555,6.265643694,5.974305391,5.76257272,5.842873372
b1210,5.819945112,5.420675718,6.508662905,5.743725179,6.118414153,6.101746405
b1211,5.872022635,5.387808677,6.30373108,5.702790462,6.02945335,5.571917759
b1212,4.873654116,4.530258706,5.380687855,4.960726586,5.147893814,4.688042257
b1213,4.825455097,4.852587263,5.608377663,4.952668127,5.195585686,5.372232407
b1214,6.315960246,6.20562307,6.630716601,6.091620679,6.477650158,6.589651888
b0128,6.621681895,6.563493165,7.024952219,6.850223675,6.837888035,6.313511725
b1215,7.657785938,7.353735941,7.580530141,7.39337517,7.589932454,7.430586188
b4419,5.46105399,5.200476071,5.796038741,5.525441652,5.462150144,5.333136345
b4420,5.05241802,4.877521243,5.57702516,4.972375307,5.098282445,4.943788035
b4421,2.553123044,3.120748607,3.630780559,3.552550549,3.189039295,2.521622278
b4422,3.093711776,3.379795842,3.855946726,3.557014927,3.667416458,2.979943651
b4423,5.166140147,5.009283258,5.579403515,5.400045123,5.220529757,5.068761784
b4424,4.348623726,4.73825381,5.748034926,4.549561696,4.930085893,4.558354375
b1216,3.935968084,3.991694167,5.535368948,4.431773517,4.097246985,4.1741675
b1217,5.327579533,5.673111211,6.563792629,5.503259839,6.073777161,5.17194879
b1218,5.430160268,5.761208367,7.171896896,6.671222518,5.657726002,5.614550308
b0129,7.328100061,7.944209415,6.544235242,6.768450212,7.891222849,6.872332251
b1219,8.886290926,8.97762417,8.8800056,9.27038067,8.980262935,8.412139596
b1220,3.811330374,4.081146907,4.870062216,4.108293303,4.020474755,3.795071588
b1221,6.426328585,6.314468471,7.101539443,6.564422466,6.354260372,5.82828867
b1222,3.918916119,3.860106713,4.679220471,4.032633001,4.135238886,3.749809455
b1223,3.684953962,3.291571876,5.809834984,4.042810361,3.248402266,2.729651617
b1224,3.815388525,3.354375071,6.103513426,4.272064651,3.866092991,2.871334205
b1225,4.472017422,3.807847335,6.736497181,4.968335225,4.37352616,3.283349781
b1226,4.442100894,3.847995386,6.186292108,5.073340856,4.561189264,3.500725211
b1227,5.138391223,4.582984805,6.280244616,5.968498185,5.240441501,4.216134369
b4425,2.455199853,2.836337662,3.037330504,3.291385416,2.940687038,3.816139864
b0130,3.269192214,3.67509513,4.388363821,3.874275142,3.841225551,3.537627301
b1229,0.266460205,0.358723257,0.127650485,0.216114794,0.553683657,0.133157725
b1230,3.603330092,3.834752163,4.646843658,4.208274823,4.012902854,5.159526456
b1231,4.127693513,4.649487373,5.567169153,5.012114426,5.093131759,5.942188861
b1232,6.652831265,6.309313968,6.930929163,6.636081638,6.669098771,6.656633753
b1233,7.082395262,7.050923713,7.53922481,7.251233715,7.225412406,7.282895359
b1234,6.039838789,6.08908021,6.885938674,6.090905061,6.448194658,6.031367473
b1235,5.399146053,5.363991997,6.53915132,5.918898331,5.835180474,5.56503712
b1236,7.810850652,7.651000213,8.38237033,8.078430898,7.712455497,7.668264162
b1237,12.28534922,12.24997372,12.54309684,12.33213783,12.6043862,12.19748472
b1238,3.711221581,3.681445877,4.394952266,4.298924063,4.111488264,4.13753219
b0131,9.141604121,8.92589493,9.819140414,9.77126343,9.458278276,9.436559319
b4573,2.783635078,3.076302492,3.573174763,3.232693711,2.933189288,2.665485012
b1241,10.64185515,10.91947731,10.40746698,10.28431995,9.774448419,9.950219311
b1242,3.657448697,4.105523019,4.764440332,3.972939176,4.130962744,3.761203907
b1243,11.32973736,11.36713586,9.888394403,11.02627853,10.65466292,9.673285531
b1244,8.005508878,8.072675899,7.728510896,8.266158572,7.776080399,7.108786869
b1245,8.938361377,9.080823084,7.743922202,8.936552713,8.481244102,7.962747218
b1246,9.161958764,9.347781688,7.316548509,9.029240493,8.621280956,8.122913055
b1247,9.817004953,10.04032697,7.276800793,9.543949428,9.033430482,8.503869794
b1248,6.918450128,7.176131194,7.713322602,7.565144029,7.146546037,6.865511885
b1249,6.332148147,6.269317312,7.127299517,6.699205789,6.584008901,6.317286296
b0132,3.996440797,4.475777965,4.653241099,4.372625273,4.527972411,4.605289038
b4595,5.730194586,6.132654534,5.892920718,5.892389213,6.113993452,6.278076353
b1250,4.202256071,4.277853116,4.86580497,4.480735274,4.395427163,3.924883628
b1251,9.43086343,9.595925768,9.302519425,9.5307839,9.532917451,9.326284967
b1252,7.616846939,7.614636226,7.960788673,7.202052929,7.691794107,7.780732259
b1253,4.819055324,4.830859808,5.910610331,6.053068961,5.001588073,5.585804767
b1254,6.131356607,5.934477091,6.609422848,6.021411299,6.187321603,6.23584959
b1255,5.938908438,5.945960339,6.432584999,5.821941855,6.020383098,6.091269761
b1256,8.35890807,8.032484487,7.641614184,8.710838234,8.620871697,8.340041187
b1257,3.123567032,3.155428379,3.883464493,3.769950205,3.859447718,3.189286967
b1258,1.647901727,2.05771489,2.869414431,2.558556726,2.319304966,1.431733022
b0133,7.883069899,7.642934577,7.864734817,7.809632786,7.928466029,7.766341605
b1259,6.279985422,6.833930974,7.750379148,7.142230961,5.534362086,5.257900338
b1260,6.886073586,6.979489762,7.252200602,7.52882297,7.32755411,6.628707594
b1261,6.475170891,6.444141122,6.753847162,7.099433205,6.859511538,6.134279183
b1262,5.249250199,5.260701152,6.038681986,6.337776527,5.732779697,5.194000796
b1263,4.298161841,4.202630204,4.89021684,5.352138308,4.610047858,3.9129665
b1264,3.977983594,3.773981527,4.466498901,5.182406421,4.287018854,3.824391445
b1265,6.579738751,6.945177708,6.751619433,6.935831777,6.903761272,6.197897181
b1266,5.685506989,5.776476993,5.712754663,5.569847745,5.794142653,5.697625371
b1267,6.159175403,6.044228028,5.809294605,5.589621083,6.216656848,6.065368584
b1268,3.148295796,3.52673998,3.998877358,3.662303206,3.685787546,3.60393987
b0134,7.591787034,7.355574705,7.049349234,7.038849838,7.456455771,7.43726364
b1269,6.970201223,6.66889751,6.010415071,6.543882489,7.111122579,7.85335044
b1270,5.264008897,5.29873617,6.103431953,5.958373878,5.676894447,5.183451732
b1271,5.551069503,5.54492861,6.173630173,6.28827798,5.880774446,5.542060942
b1272,8.226553806,8.40502449,7.934972047,8.133259382,8.429302294,8.23011266
b1273,7.632766488,7.710688276,6.89450975,7.26253838,7.653523536,7.37919503
b1274,7.001980344,6.801731682,7.410234724,7.603557131,6.718160949,6.917230197
b1275,6.39183457,6.322746554,6.525369979,6.569248014,6.453333839,6.181149587
b4522,6.281355049,6.464928386,7.329701962,7.10734759,7.402723307,6.952189048
b4523,6.078902336,6.168266658,6.988742681,6.62536898,7.066556014,6.5520831
b1276,5.198023541,5.091906042,5.621638116,5.608839213,6.028212552,5.123039272
b0015,5.779852895,5.822830315,6.196169535,5.950787649,5.760030887,5.845081652
b0135,1.249574803,2.203782335,2.054202192,1.741133481,1.991427324,1.289848836
b1277,7.085661178,7.022156076,6.782610017,6.971869228,7.095377839,7.08305891
b1278,4.73053793,4.812308883,5.678821045,4.728364682,5.108559632,4.899474246
b1279,7.133573047,7.247658322,7.368227681,6.589387499,7.334436999,7.310795426
b1280,5.124486568,5.138963255,5.778285184,4.98473872,5.434438394,5.179599206
b1281,5.454374761,5.11353019,5.546445736,5.974847127,5.398941488,6.470767403
b1282,4.964526338,4.753563275,4.841911467,5.35943851,5.094185768,5.932883937
b1283,7.590455413,7.793982779,8.804177669,8.367208916,7.720700282,7.990081457
b1284,5.729499989,5.640986287,7.037085571,6.698127898,6.179833807,5.467248152
