BiGG Metabolite ID,Log2FC(pdxBJ/WT 20nM PN)
26dap__M_c,1.083749012
2amsa_c,1.333920641
2dh3dgal_c,-3.582946155
2dh3dgal6p_c,-0.666325717
3c3hmp_c,-2.271694799
3pg_c,1.947710919
4abut_c,2.013748294
4hbz_c,-1.192539243
5mta_c,0.653345956
5oxpro_c,1.100293362
acglu_c,1.057844075
acorn_c,1.209796217
ade_c,0.485490701
adn_c,1.504241215
akg_c,1.560513224
ala__L_c,1.86272165
ala_B_c,1.498188804
alaala_c,0.953321296
amp_c,-0.223956438
asp__L_c,1.714927756
C02356_c,0.671331001
cbasp_c,-1.986159623
cgly_c,0.84677005
cit_c,-0.247113514
citm_c,-0.687732086
csn_c,1.029931579
dca_c,-0.460516216
ddca_c,0.689665824
dtmp_c,1.416520211
etha_c,1.279511501
f6p_c,-0.063360003
fru_c,-1.101984774
fum_c,-1.780768004
g1p_c,-1.094173301
g6p_c,0.281772939
ghb_c,0.126166371
glc__D_c,-5.163765311
glcn_c,-2.997364103
gln__L_c,2.742082253
glu__L_c,2.23772282
gly_c,1.346051585
glyc__R_c,0.003609137
glyc2p_c,0.874833642
glyc3p_c,0.627891557
glyclt_c,-0.847377059
gthrd_c,0.688572993
gua_c,-0.714221814
hcys__L_c,-0.221034456
hdca_c,-0.405508338
hdcea_c,-0.441349836
hom__L_c,-1.201970352
hxan_c,1.086764057
ile__L_c,0.438165191
ins_c,3.9232151
lac__D_c,0.280069837
leu__L_c,2.268469355
lys__L_c,0.18252381
lyx__L_c,-0.94402602
mal__L_c,-0.264668714
malt_c,-0.361640216
met__L_c,0.916836708
ncam_c,1.312793976
ocdca_c,-0.479471998
ophth_c,2.500266169
orn_c,1.170680331
orot_c,-0.903849613
pep_c,3.432799792
phe__L_c,1.910816191
phpyr_c,0.034688373
pnto__R_c,0.504213056
ppi_c,2.327758676
pro__L_c,1.125443549
ptrc_c,-1.665089264
pyr_c,0.725905469
quin_c,0.188157687
r5p_c,0.358716853
rib__D_c,-1.323848318
ru5p__D_c,0.195595901
S2hglut_c,-3.013261672
ser__L_c,2.698527335
spmd_c,-1.845185223
succ_c,0.213538323
suchms_c,-0.15973495
sucr_p,-0.038791571
thr__L_c,1.296639848
thym_c,2.091220145
tre_c,0.972883509
trp__L_c,1.815215811
ttdca_c,0.304674472
tyr__L_c,0.685680365
uacgam_c,0.802920866
ura_c,1.464675665
val__L_c,1.645248443
xan_c,1.19783166
xyl__D_c,-1.182912676
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
