BiGG Metabolite ID,Log2FC(yggS/WT 5µM PN)
26dap__M_c,0.186458369
2amsa_c,0.523377843
2dh3dgal_c,0.175674111
2dh3dgal6p_c,0.626434281
3c3hmp_c,1.012220307
3pg_c,0.156735644
4abut_c,-1.021797929
4hbz_c,-0.104750055
5mta_c,0.435293744
5oxpro_c,-0.38811024
acglu_c,0.791223662
acorn_c,0.431443338
ade_c,0.188068405
adn_c,-0.003641201
akg_c,-0.043071929
ala__L_c,2.297711519
ala_B_c,-0.155839355
alaala_c,-0.298388673
amp_c,0.180863978
asp__L_c,0.351155786
C02356_c,1.122669763
cbasp_c,1.243778275
cgly_c,-0.561700517
cit_c,0.418371497
citm_c,-0.880371594
csn_c,-0.571468625
dca_c,-0.184280294
ddca_c,0.495998637
dtmp_c,-0.219504652
etha_c,0.157897038
f6p_c,0.271125965
fru_c,0.048061411
fum_c,0.576287475
g1p_c,0.254824879
g6p_c,0.017752905
ghb_c,0.371450487
glc__D_c,0.26474285
glcn_c,0.733792025
gln__L_c,-0.39667103
glu__L_c,-0.272753086
gly_c,0.728535284
glyc__R_c,-0.527316716
glyc2p_c,0.380883891
glyc3p_c,0.132611939
glyclt_c,0.058182293
gthrd_c,-0.409460872
gua_c,0.293590987
hcys__L_c,0.04077882
hdca_c,0.234355951
hdcea_c,0.714980171
hom__L_c,0.344601085
hxan_c,-0.023591414
ile__L_c,0.874375584
ins_c,-0.026367999
lac__D_c,0.374715134
leu__L_c,1.283482554
lys__L_c,0.034096141
lyx__L_c,-0.483202426
mal__L_c,0.721772421
malt_c,-0.018263241
met__L_c,0.160985946
ncam_c,-0.210028236
ocdca_c,0.114490368
ophth_c,-0.581558196
orn_c,-0.880041302
orot_c,0.157859624
pep_c,-0.015022993
phe__L_c,0.054782219
phpyr_c,-0.202779952
pnto__R_c,-0.6154016
ppi_c,0.447885504
pro__L_c,-0.484799956
ptrc_c,-0.041829905
pyr_c,0.925254882
quin_c,-2.197055739
r5p_c,0.083028764
rib__D_c,0.193430646
ru5p__D_c,0.443116567
S2hglut_c,-1.010583539
ser__L_c,0.015900287
spmd_c,-0.126527496
succ_c,-0.248383655
suchms_c,0.092791143
sucr_p,-0.435175145
thr__L_c,0.19964534
thym_c,-0.400510669
tre_c,0.244664515
trp__L_c,-0.557902773
ttdca_c,0.550967245
tyr__L_c,0.031323098
uacgam_c,-0.461606161
ura_c,-1.653095522
val__L_c,2.997284333
xan_c,-0.041953048
xyl__D_c,-0.071692146
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
