Blattner,Log2FC(yggS/WT 5µM)
b1211,0.350629946
b0238,1.721104815
b2649,-2.628435022
b4660,-2.575097692
b0469,0.98946226
b2042,0.507055965
b0526,0.44000657
b3504,-2.682851072
b1210,0.855019068
b3659,-2.074861644
b3078,-1.558402736
b3442,-3.028014675
b0185,0.780162706
b1471,-3.417488342
b4497,-1.63216929
b2109,-2.003647856
b3730,0.468074357
b0807,0.835597173
b2287,0.32074711
b1288,0.680024361
b1691,-3.443384249
b0632,0.514047151
b3679,-1.241322912
b3079,-2.839032639
b3578,-2.382931777
b3877,-1.51537229
b3875,-3.363704865
b2852,-2.180560274
b0104,0.635538443
b3784,0.390571767
b0297,-2.947546599
b2372,-1.527768178
b2122,-0.687607704
b0194,0.572132084
b1310,-1.433952556
b2549,-1.275812435
b3682,-1.199230959
b1029,-1.928793695
b2081,0.646439409
b3579,-2.2883319
b1615,-1.831513662
b4462,-2.57871882
b1152,-1.58717649
b2517,0.73856532
b0125,0.663330609
b1540,0.842031786
b2585,0.055465279
b3488,-1.514840959
b0267,-1.990918798
b3120,-2.071798295
b3423,0.534068954
b3816,0.739802808
b4583,-1.850532929
b2730,-0.399220706
b4027,-1.154389053
b2288,0.233026955
b3181,0.657210013
b4491,-0.316472854
b4651,-2.166665572
b2014,1.509501933
b0441,0.157459072
b0533,-3.596290974
b3326,-0.306054065
b3902,-2.130110549
b0770,-1.896997249
b0835,0.690689715
b0928,0.68945361
b0661,0.521222284
b1309,-1.745657891
b4185,-1.612000331
b0936,-0.975623253
b1435,0.654913053
b0511,-2.55926289
b4391,0.530797781
b4494,-1.104923557
b1311,-2.390626253
b2060,-1.122069918
b1424,0.41682529
b1393,-1.180623639
b2056,-0.842425895
b0243,0.072355461
b3596,-1.074720884
b2371,-0.948243252
b4012,-0.223799831
b1059,0.434908103
b2633,-0.717762635
b1974,-1.985877335
b1001,-1.412405622
b0242,0.344024696
b2108,-1.658020344
b3720,-2.00123419
b0279,-2.688382145
b2320,0.574630787
b1149,-1.740171128
b0612,-1.341675159
b4098,-2.238764668
b3137,-2.019842149
b0718,-1.457374972
b0393,0.867865337
b2120,-1.141465578
b3644,0.494682345
b1502,-2.306809367
b2858,-2.672182131
b4081,-1.023289122
b2986,-1.933122022
b4132,-2.201038929
b3701,0.362555761
b2644,-1.048875532
b3121,-2.020497402
b3251,0.668324563
b0452,0.304798092
b4325,-2.026326992
b2368,-0.613060689
b3370,-1.896398128
b4105,-2.450667329
b3580,-1.973312322
b0347,-2.564207121
b1203,0.840922276
b3047,-1.554826789
b0675,0.49201294
b2995,-0.314582441
b2956,-0.933315429
b0474,0.873718014
b4047,-2.982546697
b1978,-0.369521284
b4365,-1.203542994
b1961,0.443228443
b3187,0.559010487
b4650,-1.22487878
b3323,-1.119248972
b3858,0.231033559
b3424,0.649624565
b2855,-2.765259227
b1459,-1.112979586
b0133,0.287803912
b2448,-0.828278469
b0499,-0.380757606
b1232,0.505541969
b1366,-1.182648455
b3833,0.396945669
b3891,0.261913995
b0344,-1.477447311
b2492,-0.452243655
b0535,-1.502573922
b0771,-0.63587871
b2806,0.228726751
b3721,-1.465081731
b3878,-1.719675392
b0940,-0.958722048
b1151,-2.055702932
b3899,-1.292875841
b0768,-0.922957701
b4147,1.019342195
b1087,0.347218622
b3576,-2.455032684
b2477,0.347468243
b0532,-1.399248482
b2891,0.56778773
b1929,0.146058774
b2917,-0.671179021
b0698,-1.783732785
b3953,-0.518188869
b3035,0.427126435
b3826,0.244220473
b3859,0.49470652
b1505,-2.109425111
b3084,0.369380131
b0603,-1.598010649
b0686,0.591888271
b0738,0.349606608
b2061,-1.072413611
b0407,0.808659243
b2046,-0.584295667
b2957,-0.042784883
b4083,-1.97689938
b1048,0.475774485
b1035,0.43115213
b2636,-0.832902259
b2367,-1.290089088
b0731,-1.260598264
b3982,0.681241529
b0040,-1.840283159
b0291,-0.829014768
b1527,-1.932885366
b1694,-1.317541514
b2634,-0.89160023
b3038,0.39553273
b2729,-0.239234076
b4066,-1.752357997
b0997,-0.817560396
b4028,-1.101371363
b4183,-1.455367441
b0769,-2.365299169
b4108,0.50315797
b0693,-0.925679106
b3484,-2.038850466
b0334,-1.506733976
b4552,-1.305347784
b1387,-1.461214002
b4257,-1.801711583
b1785,-1.145787805
b3189,0.617226712
b0348,-1.672681584
b2873,-0.965181805
b0847,0.115748571
b4029,-0.633322554
b0310,-2.455077401
b2888,-2.147424702
b3017,0.234726394
b3240,-0.765942131
b1069,0.474893246
b4174,0.175812731
b4374,0.505963617
b3143,-2.32815292
b0684,0.840198191
b4388,0.765188351
b2451,-1.718944214
b3553,0.238030915
b3119,-3.151624562
b1905,0.723582572
