Blattner,Log2FC(pdxBJ/WT_20nM PN)
b0334,0.611146896
b4552,0.837706058
b1387,0.786673925
b4257,1.084984648
b1785,1.273370915
b3189,-0.820933424
b0348,0.784594942
b2873,0.956919578
b0847,-0.269709647
b4029,0.790337094
b0310,1.607515217
b2888,0.130482852
b3017,-0.541768712
b3240,1.628676138
b1069,-0.030228107
b4174,-0.190299228
b4374,0.001121999
b3143,0.928170769
b0684,-0.32638694
b4388,-0.025811402
b2451,0.634057985
b3553,-0.020889526
b3119,1.40268044
b1905,-0.645625393
b2193,-0.012209406
b2330,-0.910160299
b3919,-1.259612471
b2740,1.033289781
b2269,0.062932034
b3718,0.845887757
b2452,1.239965471
b2339,1.547630221
b2211,-0.332937762
b4358,0.82829515
b1157,1.394276628
b0864,-1.14448434
b0947,-0.100998243
b0984,0.949798221
b0518,1.058744313
b3641,-0.481676611
b4100,0.728989165
b1456,0.642130044
b1854,-0.826024299
b2400,-0.758527625
b2271,0.667207516
b2630,0.102422868
b0733,-0.604295312
b0102,-0.299854805
b3562,0.428648876
b3925,-1.054145797
b0628,-0.925748241
b3666,0.720355854
b1411,1.260186333
b1455,2.421829577
b3770,1.318652498
b3590,-1.461141753
b3381,1.560071069
b1158,1.252182936
b4233,-0.91954089
b4038,0.331732445
b3876,0.96972071
b2358,2.828106193
b0674,-0.756199005
b0754,0.108982941
b1876,-0.867653872
b4495,0.406641935
b2062,1.112995733
b4465,0.931175922
b2273,0.985541253
b0783,-0.305745185
b3900,1.085166043
b0341,0.836145267
b1464,-0.038569754
b1409,1.3215012
b3266,0.822091967
b0913,0.395803788
b3867,-0.184907802
b4572,0.915862371
b2699,-1.026022626
b3080,0.792153049
b0139,0.991399978
b4313,1.247563852
b4099,0.493581223
b2952,-0.411428031
b4586,-0.352025217
b0888,-0.60426041
b2484,-0.018478527
b3642,-0.648103904
b1604,-0.44940447
b2233,0.886219289
b3577,1.478869411
b3684,0.134055096
b0343,0.97931131
b1319,1.140461271
b2854,1.420154912
b2418,-0.298914744
b1133,-1.076791487
b3347,-0.068972609
b2851,0.395669781
b2647,0.928511703
b3443,0.797272152
b2386,0.97091683
b1623,-0.268271054
b0772,0.296790194
b3384,-0.467024445
b2848,1.698135933
b0648,1.2365832
b3244,0.155793462
b1690,1.281869504
b2481,0.510822439
b2576,-0.957466698
b2933,0.86829958
b0914,-0.911366978
b1215,-0.631561467
b2221,0.38172716
b2047,1.927219612
b0045,1.103901412
b4644,0.770575964
b2771,0.917233085
b0292,0.887593527
b3584,1.060439328
b1802,0.97019086
b3324,0.716780371
b2922,-0.121692483
b3393,0.722919879
b0229,1.002553332
b1153,1.007004592
b1503,1.311497951
b3640,-0.66138423
b3881,0.844617664
b1866,-0.834746156
b2849,1.47707152
b0136,0.928826122
b4500,1.013706504
b2121,0.59238576
b2569,-0.212308808
b3526,-0.397334304
b0197,0.444853951
b3643,-1.279175788
b0135,0.635378427
b3483,1.179136663
b3738,-0.915503335
b0930,-0.040349658
b2871,0.513511182
b3843,-0.807075866
b3062,0.696455715
b2453,0.92134557
b3907,0.576054664
b1372,0.806171347
b0335,0.691947888
b1851,-0.655522217
b3115,-0.027683255
b3702,0.153585205
b2309,-1.463066323
b4101,1.261001346
b3741,-0.847351919
b3709,0.152484345
b2357,1.794946793
b2483,-0.40914381
b2595,0.037897158
b3507,1.375503031
b2887,0.798184392
b3086,0.504589902
b4049,-0.43463642
b3962,-1.699289566
b1337,0.829284351
b2970,1.159885061
b3691,0.716651696
b0996,0.926899978
b3376,0.555819046
b3586,0.680676171
b3965,-0.184303521
b1637,-0.268128424
b3380,1.321988573
b0501,0.935621267
b4308,1.283530612
b2850,0.186860874
b2171,-0.23107053
b0116,-0.536692632
b1166,4.831874583
b3999,-0.27691209
b0276,-0.421427396
b3265,1.149095518
b2635,1.732909342
b3150,-0.099630626
b2161,0.745019648
b1621,0.051662288
b2478,0.001129577
b1749,-0.721843299
b1116,-0.308118888
b4102,0.947219093
b2355,1.021544024
b4106,0.557798574
b2335,0.9115913
b4130,0.168284807
b1850,-0.4589698
b4097,0.082439222
b4208,-0.974637388
b1101,-0.451525249
b0295,0.474859465
b1388,0.333814368
b4657,1.339845059
b2385,0.846877826
b3334,0.62971114
b3657,0.37328236
b4401,-1.043304288
b0547,0.790602402
b2971,2.282329032
b4120,0.529979493
b1460,1.701942475
b0386,-0.434835706
b2223,0.555934048
b2234,-1.152766041
b3228,-1.124004662
b3482,0.104392323
b3215,1.152616009
b2050,2.152764988
b0784,-0.290737803
b2486,0.854048012
b2226,1.117396882
b0561,0.627559124
b1212,-0.031222852
b2222,0.823536336
b4052,-0.593877492
b0333,0.631941256
b3680,0.896266303
b3072,0.476009303
b1115,1.366658097
b4506,1.367155773
b1154,0.44252002
b0645,0.710652883
b2984,1.191949417
b4184,1.286131474
b0531,1.23598526
b0112,-0.534180672
b3178,-0.141164455
b1338,0.512540621
b1757,-1.688758386
b3149,-0.089819183
b0681,-0.103253654
b4131,0.700436865
b3076,0.30501616
b4186,0.990781679
b1767,-0.474655827
b3897,-0.057946984
b3942,-0.764244473
b1075,-0.286588282
b0432,-1.519818723
b3719,0.495557484
b0549,1.433344354
b0986,1.62553209
b4622,1.068651867
b1662,-0.104681738
b2296,-1.008602107
b2930,1.179452995
b2846,1.220341448
b4615,0.428042081
b4335,-1.019270317
b3778,-0.762708239
b3061,0.636152778
b3634,-0.947514081
b0193,0.335101715
b0618,1.007597131
b2859,1.539704883
b0141,1.068665291
b4661,1.043680924
b0287,0.298459097
b1264,-0.035913473
b2710,0.663647697
b4021,-1.576801421
b2778,0.28784219
b2286,-1.084207027
b3888,0.585895614
b2072,1.40811413
b2985,0.878192086
b3997,-0.711810373
b1815,0.62443398
b1816,-0.132743801
b0314,0.814573604
b3818,0.675084613
b2294,0.864541306
b0296,1.620799845
b0230,0.334023686
b0820,-0.856277376
b0985,1.472770497
b2270,0.691589801
b4316,2.075231148
b3441,0.553407136
b3697,-0.256536964
b2356,0.803988663
b3613,-0.056991731
b0301,0.626160527
b3368,0.424010095
b2199,-1.73915331
b2879,-0.053511938
b3158,-1.260782751
b0688,-0.424389042
b0042,0.140021328
b1889,1.391427766
b3392,0.610210546
b3374,0.419932102
b2241,-3.732860971
b0477,-0.094495891
b2361,1.099718368
b2953,-0.211394918
b0319,0.041485635
b0544,0.355290851
b3649,-0.817020749
b0649,1.386798508
b4160,-0.67203677
b1952,-0.245927276
b2758,0.733973151
b0166,0.531865027
b2581,-1.39709001
b3591,-1.626991655
b0617,1.256497539
b3331,0.651473949
b2383,0.661897001
b3686,-0.525791594
b2700,-0.730928124
b3030,-0.293894679
b1121,0.377054095
b3195,-0.009671032
b0108,0.457316253
b1028,1.492406396
b4232,-0.812704228
b2110,-0.009028354
b2447,0.754999807
b3422,0.069659274
b0614,0.972710935
b1351,1.447641317
b2065,-0.392519035
b4041,-0.516470782
b2489,0.578380098
b3066,-0.03579771
b0028,0.61611155
b2066,-0.46417218
b1026,0.970184458
b4080,0.761587837
b1160,-0.40764693
b3190,-0.364974393
b2027,0.20171379
b0939,0.739453592
b2139,0.612896443
b1350,0.881258803
b2115,1.115195305
b2914,-0.992165105
b2118,0.950408619
b3745,-0.650669029
b3847,-1.057182991
b0929,-1.358497247
b2224,0.958839508
b3478,-0.566953927
b2073,0.705137208
b1704,0.429594966
b2950,0.876772401
b3426,-2.495409045
b2491,0.610570882
b3949,0.071495076
b2248,0.594526733
b0463,0.159387613
b2547,0.772333858
b3944,0.462068036
b3253,-0.31525838
b0054,-0.267489766
b2316,-0.421642674
b2701,-0.164724275
b4207,-0.509178315
b2114,-0.522617173
b4395,-0.25360399
b1457,1.356988348
b2029,-0.171926721
b3544,-0.699706293
b3935,-0.689464743
b2077,1.214013234
b2454,0.552676356
b0277,0.615805936
b0227,1.070405562
b0140,1.181317056
b0161,0.487580943
b0041,-0.47602375
b4309,1.607779867
b0967,-0.583568817
b0154,-0.827657526
b0647,1.945657041
b2277,-0.075774372
b1560,0.570351228
b0697,1.518304309
b3216,1.330307608
b0705,-0.291594027
b2947,-0.515850055
b2935,-1.389527239
b0887,0.438469695
b2498,-1.118499542
b3927,-2.614822011
b4311,1.015432135
b3002,-1.056508852
b3227,0.372918412
b3388,-0.786492557
b0029,0.376398043
b0896,-1.917834036
b3135,0.701363191
b0013,1.14532872
b1606,0.470720365
b3405,-0.615042726
b0138,1.286475599
b4334,-0.051427907
b0181,-0.18461412
b3950,0.290711024
b4238,-0.772697487
b2870,0.363340191
b3147,-0.632690125
b0931,-0.34386077
b1832,0.455256093
b0369,-0.999758245
b0922,-0.136022035
b3391,0.420037956
b0321,0.27819652
b0320,-0.035082787
b3389,-0.548759351
b1860,0.569397093
b2057,1.757930962
b3325,0.276394089
b1810,-0.060033931
b3198,0.207261055
b0961,-0.386388601
b1576,2.260283929
b2229,1.288368451
b1386,0.96169311
b1864,-0.642830555
b3104,0.517688438
b0434,0.115854124
b4074,0.667531529
b3543,0.533709925
b3678,0.604645499
b0222,-0.688002319
b1766,-0.166033643
b4508,0.961818021
b2119,0.192645451
b1161,0.556340161
b1023,0.159777689
b1486,0.783202966
b1390,0.933256669
b4471,0.411823644
b3961,-0.794626102
b4048,0.683972684
b0613,1.558809617
b2059,1.312736615
b0512,0.612166128
b0416,-0.523409478
b0575,1.060824949
b0655,-1.049116876
b1363,0.571959487
b1744,1.860683961
b1751,-1.743605232
b4161,-0.437522787
b0874,-0.409102483
b1254,-0.069152028
b4579,1.810949908
b3589,0.739157054
b4095,0.070238868
b3114,0.123019418
b1410,1.249146767
b4328,-0.965909662
b3593,0.510099795
b0948,-0.70351365
b2004,1.116172845
b3464,-0.515419952
b2113,-0.648672212
b0381,-0.718035947
b3951,0.176462558
b0323,0.671224109
b0550,1.055290665
b3013,0.749727863
b0732,0.433180622
b1185,-0.096642926
b1999,0.723798138
b2996,-1.791021794
b0127,0.109967155
b0405,-0.301145924
b2760,0.889789875
b0478,-0.251732929
b2845,0.42534278
b2554,0.029416335
b2268,-0.429347208
b3705,-1.019921201
b1830,-0.222527147
b4556,0.831236984
b0934,0.790693303
b3639,-0.580468977
b1873,1.019161703
b2770,0.615188224
b0508,0.95750196
b2232,-0.282681798
b0270,0.595058028
b1383,0.819102127
b1147,1.73611272
b0497,0.511857418
b4482,0.428131048
b0402,-0.494400285
b2648,1.804606783
b3675,0.134328097
b1657,0.451428344
b2898,-0.630345592
b4182,0.172372515
b1407,1.006194929
b0358,1.319942104
b0954,-0.89533238
b1867,0.081608917
b1074,-0.164145742
b0421,-0.086415201
b2918,0.7576832
b3075,-0.793295795
b3611,-0.922835705
b1835,-0.700354537
b3865,-0.996203192
b1497,-0.287182595
b2737,1.229087466
b1913,-0.307024736
b3744,-2.20416458
b1108,-1.207929216
b2810,-0.079519237
b4152,-2.513571689
b0703,0.388364667
b2954,-0.052643871
b4192,-0.297619077
b1196,1.220988437
b3477,-0.6791375
b2566,-0.649865355
b4087,0.496737881
b3041,-0.293963966
b2534,0.931424792
b1880,0.915266985
b1539,-0.612804862
b1693,1.093161274
b2393,-0.771246723
b3869,-1.281480894
b1412,0.83992312
b1010,0.335692915
b1862,0.807818191
b2319,-2.29065433
b0576,-0.149734875
b1022,-0.564802917
b3615,0.170961216
b3947,-0.224649467
b2727,-1.78807612
b4094,0.921415622
b3612,-1.636139931
b2300,-0.541614143
b0737,0.132963705
b1831,-0.143623216
b1324,0.412959302
b4682,0.320258838
b2563,0.230112316
b1128,-0.699669872
b1391,0.865547123
b4602,0.573151484
b0107,0.460937964
b4082,0.026131307
b1453,0.911987305
b0406,-0.103101344
b1861,0.228851168
b2132,-0.148685919
b1804,-0.090166636
b0011,0.313329379
b0509,1.076425436
b2458,0.655962303
b0970,0.725376488
b3046,0.588232313
b3235,-0.111667983
b0787,0.74106045
b0339,0.505196431
b3201,-0.193789907
b2564,-8.117027637
b1506,0.518743816
b0439,-0.355132046
b2456,0.458362859
b0034,-0.707151483
b1554,1.403475166
b3882,0.806086096
b3141,1.335005728
b0767,0.44213179
b4279,-0.398928565
b2455,0.656583789
b1395,0.977346239
b0782,-0.439548503
b1499,1.685674976
b4509,1.256381553
b1207,-0.781023271
b1752,-0.992397809
b0602,0.563098489
b2482,0.568671753
b4345,-0.433447602
b0326,1.228147985
b0943,1.053567166
b3476,-0.071266284
b1973,1.973796241
b3849,-0.230898944
b0143,-0.955578471
b0217,-0.243893281
b2002,0.563102078
b2987,0.350209933
b2225,0.80587937
b1360,0.581813298
b1034,0.369856913
b4180,-0.454468872
b1365,1.764035913
b2516,-0.276109454
b0824,0.665693305
b3377,0.917799795
b0145,-0.574899118
b1782,0.055518675
b3139,0.366626613
b0097,-0.231918695
b0159,-1.075828129
b3769,1.704893471
b1588,-1.40863159
b4696,1.011142148
b2997,-2.300143139
b4496,1.457130678
b0895,-2.053676427
b4036,-1.391027676
b3581,-0.221161302
b0525,-0.478786074
b1184,1.231072979
b0616,1.39153053
b0977,0.336001149
b0415,-0.386672602
b0289,0.535471085
b0680,-0.927916679
b2329,0.271856497
b1852,0.012524393
b0179,0.150119675
b1127,-0.817617342
b0539,1.075692891
b2643,0.313732713
b1078,-0.796008209
b0877,0.519931634
b3357,-0.730244386
b0106,0.467760063
b1579,0.957850131
b2754,0.774751334
b3931,-0.870540232
b4277,1.211975523
b0534,0.540646924
b2881,0.419171661
b3367,0.246352385
b3583,0.049313463
b3879,1.193229882
b2443,-0.427434663
b0149,-0.477759965
b2862,0.79464205
b4231,0.575332828
b4260,-0.582976381
b2048,1.692090103
b3214,-1.277142134
b0521,0.332429741
b1200,-0.509882482
b4359,-0.905005158
b2905,-0.684951733
b0470,-0.426177777
b3834,-0.556346212
b1682,-0.059583817
b2890,-0.75220359
b3229,-1.029779932
b4054,-0.042160327
b3160,-0.115399568
b3609,-0.926762508
b4153,-2.742480284
b0507,0.62209137
b4042,0.199579266
b1875,-0.28719277
b3725,0.090653393
b0563,0.84427937
b1489,1.036743788
b4620,0.353375447
b3998,-0.41554247
b3861,0.137391327
b4284,0.713027162
b0646,1.504659576
b1710,0.271476808
b2010,0.699625082
b1796,0.638053012
b3328,0.013856772
b0863,-1.791222801
b1730,2.025254906
b1616,0.431108361
b3288,-0.648008753
b1543,1.485102773
b0131,0.12929569
b2915,1.172326709
b2553,-0.076821031
b3144,0.548157805
b2162,0.328655402
b0588,-0.510626219
b3461,-0.517763481
b3932,-0.671018166
b4379,-1.877656071
b3091,0.272126217
b3052,-0.122792797
b1103,0.231338655
b0284,1.298128029
b0951,0.022907737
b3908,-1.200672755
b1095,-0.791111602
b3146,0.034228524
b3563,1.175288472
b4017,0.354629115
b1663,0.37951744
b0080,-0.400215466
b1656,-0.430364061
b1313,0.497028909
b3690,1.05036634
b3271,0.428508205
b3064,-0.238148869
b1165,3.39394435
b2626,1.316637735
b2420,2.162549581
b3194,0.124189734
b2049,1.950147543
b2346,-0.4113748
b1504,1.544205373
b2690,-0.427545598
b3558,0.702805
b3981,0.119459476
b2813,0.252342575
b4202,-1.389571541
b1316,0.829945011
b4200,-1.285965535
b1769,0.937059737
b2836,-0.269912088
b3706,-0.77343794
b0492,0.021787921
b2794,-0.180118984
b1168,0.994228845
b2495,0.676026803
b3329,0.157332663
b3182,0.204090975
b0254,0.581760807
b0827,-1.157500889
b3156,-2.055559097
b4304,0.683814877
b1575,1.50686185
b2334,1.316732545
b4198,0.20387127
b1884,1.000579027
b1392,1.22338191
b2994,-0.737889946
b3811,0.172977522
b2301,0.281702638
b2913,-0.368093947
b3648,-0.256061886
b2526,-0.301955241
b0043,0.357819619
b0927,0.802899695
b1214,-0.23477229
b3136,0.548676823
b1404,0.647569448
b3498,-0.312226754
b2276,-0.46598079
b1235,0.607002665
b0562,1.03431637
b2948,0.296530978
b3027,0.588150611
b3699,-1.061047461
b2096,-0.484951966
b3587,0.621230017
b2684,-0.096543265
b3633,-0.204027491
b1073,0.071646638
b0196,0.062920903
b2469,0.187090456
b2344,-2.467738203
b2183,0.174820017
b4151,-2.4005142
b2472,-0.155258829
b1348,0.852184145
b4234,-0.829247774
b4469,-1.095657257
b0121,-1.17002171
b1888,0.939470497
b3172,-2.823877088
b2945,0.341641902
b1723,0.494283626
b1068,0.178151808
b4630,-0.989180623
b0061,-0.040280266
b0657,0.175310219
b0607,-1.495065007
b0982,0.909904588
b0025,0.187689859
b4157,1.019715789
b1680,0.251278999
b1797,1.152395146
b0340,0.769939886
b3192,-0.095425628
b2407,0.775899545
b2789,0.148472848
b3418,-0.677808363
b3416,0.511760921
b2408,0.304762317
b1104,0.207257248
b2728,-1.317678293
b4478,0.555482412
b3479,-0.274656711
b3722,0.606686306
b0567,1.09306907
b1352,-0.10466811
b2262,-0.83491428
b0945,-1.111597591
b0572,1.222532305
b3542,0.127357728
b3327,0.611528609
b0223,0.03523862
b4201,-1.42335532
b4215,0.086646735
b1192,0.003794723
b0893,-0.076133997
b4419,-0.210516953
b2460,0.664259894
b3295,-1.168670656
b3572,0.068216081
b3783,-0.413524847
b3937,0.51272625
b3186,-1.596602156
b0096,-0.533074711
b3365,0.709399393
b3371,-0.187854014
b0263,0.298375308
b0937,0.702405941
b0401,-0.308339485
b0740,-0.592645715
b2016,-0.374615536
b2946,-0.377517874
b4243,-0.746640664
b3896,-0.575685827
b4341,1.831012182
b1418,-0.206986275
b2384,0.187754113
b1368,1.372249771
b2878,0.220203829
b4000,-0.266286025
b3151,-1.239128658
b2467,-0.45663173
b2376,0.063202126
b2567,-0.200807027
b0444,-0.231405866
b1204,-0.153930959
b0117,1.071549931
b4700,1.566572585
b0654,-1.006856899
b3955,-0.451042707
b2207,-0.487817585
b3898,-0.057501356
b1681,0.021354985
b2919,0.988822107
b0260,0.759262868
b3394,0.51453066
b2373,0.907542746
b4031,1.466833563
b2687,-0.223059898
b1136,0.017813444
b0168,-1.162290323
b1837,0.971969792
b4621,0.629874795
b3433,0.064107649
b2734,0.102143557
b0385,0.123583374
b3366,0.727990678
b2488,0.174324852
b0044,0.515039515
b2776,0.535331361
b4333,1.017923782
b3234,-0.125507609
b0548,1.293197093
b2431,-0.859873456
b4594,1.738208817
b4541,0.89711727
b2198,-2.103527313
b4463,0.577185892
b3664,0.108151624
b2765,0.39914707
b1225,1.764116955
b4363,-0.300587346
b3520,0.872024244
b3860,-0.149359384
b3180,-0.06330193
b2359,0.489370547
b0218,0.028517337
b3341,-1.175745285
b3765,0.162948547
b4058,-0.724895296
b2045,1.227237514
b2070,-0.11845253
b1673,0.843245653
b2872,0.042504672
b3646,0.611576276
b3138,0.45459547
b3200,-0.123679195
b0074,1.583079876
b4349,-0.13656406
b3980,-1.634350345
b0195,0.208418273
b3236,-0.411307229
b3823,0.373498498
b0241,0.431422316
b3713,-0.217033237
b1775,0.26541125
b3493,-1.047796934
b4347,0.411965536
b0551,0.622564678
b1479,-0.599587717
b0006,-0.039781408
b0919,-2.032435545
b0809,-1.467910294
b0290,0.562718519
b1559,-0.284260666
b0059,-0.635520889
b3063,0.170869267
b0620,-0.699816172
b0520,0.755841515
b0134,-1.100622756
b2939,-1.042069185
b1937,1.59308083
b3401,-0.74114706
b0842,0.221944451
b4526,0.666099539
b0247,0.902242315
b3296,-1.124733689
b3530,0.451590158
b4213,-0.009575808
b0262,0.205667332
b4084,0.252523438
b0815,-0.079900191
b0819,-0.150456052
b3491,0.82406936
b1824,-0.171609679
b2480,0.371484236
b2934,0.619031942
b4010,-0.618769108
b0853,-1.021865514
b3237,-0.935098452
b3964,-0.298057865
b0355,-0.037985836
b0840,0.06830362
b3871,-1.323553439
b1286,-0.040065804
b1679,0.295713275
b1312,0.531903264
b1874,0.010046288
b1928,-0.136190619
b1872,0.744765621
b0763,-0.37121786
b3966,-0.678991874
b2076,0.835972827
b0172,-0.289972737
b2054,1.892044465
b0278,0.267039517
b4286,0.822976136
b0317,-0.366384933
b2204,-0.135401387
b1790,0.890573971
b2078,1.073096218
b0801,0.230144977
b1389,0.31598487
b3560,-0.526407944
b3952,0.69886246
b3822,-0.437206012
b2107,0.744288975
b4197,0.402510563
b1378,-0.527984668
b4143,-1.128589592
b1468,1.288045674
b2708,-1.100972635
b1638,-0.151658466
b1126,-1.033565326
b1187,-0.731088097
b2406,0.438803892
b2208,0.150670193
b0785,-0.133572752
b1702,-0.16421525
b2788,1.192268284
b2246,0.65847869
b2902,0.806383695
b0691,1.51407264
b3037,-0.489094152
b3673,0.151553887
b4501,0.32056921
b1603,-0.206140273
b2834,-0.30098239
b3270,0.307778198
b0486,1.781893399
b1699,0.868179741
b1706,0.808471336
b3729,-1.26235262
b2551,-1.145234147
b4380,-2.570379101
b4158,0.283063279
b4300,0.179293417
b4699,0.826324182
b2345,-0.314575941
b4652,1.42124545
b4034,-1.561049937
b4181,-0.214000061
b1791,1.035261553
b2203,-0.805112965
b2336,0.618699952
b3281,0.109540518
b2882,0.637114335
b0935,0.340041947
b4175,-0.495202418
b3985,-1.192767732
b1516,0.876290378
b2064,0.008566725
b0910,-0.282916291
b4628,0.431213896
b2998,0.918921282
b1547,1.247708795
b0364,0.066060819
b1809,-0.048318203
b3870,-1.770205071
b3525,0.905329779
b3185,-1.74567029
b3257,-0.019722873
b0156,-0.291486961
b1801,-0.142349969
b3126,0.126862258
b2968,-0.039358526
b2247,0.151206613
b3737,-0.845952098
b4671,1.076981608
b4548,1.042870774
b3554,-0.148944499
b1353,0.574559788
b3363,0.040088427
b1408,1.474990024
b2278,0.022602686
b0423,-1.081811971
b0560,1.360249661
b0902,-0.453679934
b1948,0.313421784
b4371,-0.331684857
b2197,-2.023413628
b0151,-0.710283309
b1761,-0.342386668
b0918,-0.21195157
b3973,-0.550630761
b2983,0.4409282
b4155,-0.754212807
b3378,1.113013554
b4649,0.516209297
b0709,-1.298601747
b1684,-0.328923358
b2703,-1.007814096
b2190,0.720092722
b2961,-0.446595529
b4616,0.121375738
b2494,0.488998975
b3978,-1.556461591
b3821,-0.303791864
b1577,0.738573906
b3880,0.633144908
b2206,-0.214188112
b3780,-0.21233218
b0235,1.298709545
b1178,0.701260803
b3901,0.735656836
b2230,0.057901151
b2574,-0.34524655
b4206,-0.888865155
b3226,-0.227479442
b1269,-1.525556188
b1931,-0.121213493
b1728,0.29429195
b3979,-1.283461425
b1885,1.212510069
b0137,0.552781044
b0174,-0.228352301
b1209,0.09974286
b2034,-0.293240762
b1683,-0.178593295
b0312,1.37838734
b3805,-0.63169145
b1284,0.771497066
b1472,1.195974186
b0637,0.369353851
b0756,-0.205253055
b0608,1.301805146
b3100,0.212486176
b0716,1.420695791
b1529,0.146110958
b2274,1.657521299
b1436,0.449309178
b3164,-0.683180544
b4555,0.842426764
b2503,0.384050495
b0109,-0.231811245
b1335,0.285769518
b3145,0.182192529
b3750,-1.298327409
b3781,-0.100939873
b0294,0.711272281
b1281,-0.470634801
b4514,-0.104722023
b1787,-0.175415002
b2444,0.86385205
b2265,-0.112629855
b1132,-1.092978535
b1856,1.038250237
b3332,0.586890501
b1295,0.754711306
b2688,-0.59207546
b0822,-0.392716034
b0231,-0.384205736
b3533,0.333992273
b2201,-1.19773144
b1490,1.244310902
b0303,1.346856507
b0437,-0.578770718
b2977,0.124882946
b4226,-0.980897095
b4442,-0.949088062
b0180,-0.204360221
b2938,-0.968217096
b1385,0.003998374
b2332,-0.039242584
b2321,0.053540674
b3342,-1.146990616
b3974,-0.13185794
b2784,-0.25091779
b3176,-0.956305709
b4677,1.592328499
b2299,-0.095165358
b0283,1.191482511
b1495,-0.739099496
b4193,-0.388072719
b3322,0.519616097
b0271,0.136492601
b0408,-0.070067856
b0920,-0.93036728
b1568,0.830989013
b2769,0.75207941
b2411,-0.370342291
