Blattner,Log2FC(pdxBJ/WT_20nM PN)
b1211,-0.11317541
b0238,-0.780676581
b2649,0.97316249
b4660,1.004471537
b0469,-0.617488424
b2042,-0.307379928
b0526,-0.880152595
b3504,1.405113283
b1210,0.145563461
b3659,1.993634167
b3078,0.9660497
b3442,0.883566376
b0185,-0.529248079
b1471,3.140105555
b4497,1.208344906
b2109,0.761517629
b3730,-1.038787382
b0807,-0.259610596
b2287,-1.229378969
b1288,-0.726838593
b1691,1.313128488
b0632,-0.154637239
b3679,0.635982809
b3079,0.737230796
b3578,0.903424034
b3877,1.015698688
b3875,0.843850158
b2852,0.668175617
b0104,-0.705303056
b3784,-0.449999567
b0297,1.6608096
b2372,1.389119183
b2122,0.874179062
b0194,-0.920084
b1310,1.359571638
b2549,0.939430368
b3682,1.110590958
b1029,1.998956173
b2081,-0.729581251
b3579,0.418341665
b1615,1.266741787
b4462,0.81050446
b1152,2.217931936
b2517,-0.783848256
b0125,-0.410327675
b1540,0.113442571
b2585,-0.357045942
b3488,0.778305661
b0267,1.01176335
b3120,0.654049847
b3423,-0.655892596
b3816,-0.275942476
b4583,1.063698218
b2730,-0.898681404
b4027,1.169605471
b2288,-1.129640745
b3181,-0.665647502
b4491,1.459724089
b4651,1.357411699
b2014,-1.33154803
b0441,-0.370408893
b0533,1.238305302
b3326,0.28353799
b3902,1.473710646
b0770,1.808352469
b0835,-0.509680995
b0928,-0.133409525
b0661,-0.949475028
b1309,-0.261244406
b4185,1.578805125
b0936,0.876391696
b1435,-0.69737176
b0511,0.51896551
b4391,-0.386772547
b4494,1.280299863
b1311,0.997115529
b2060,1.319824665
b1424,0.040740814
b1393,1.816481082
b2056,2.629465529
b0243,0.424197314
b3596,1.869530244
b2371,1.246909985
b4012,0.811191882
b1059,0.643153886
b2633,0.021427639
b1974,1.187498461
b1001,-0.099997609
b0242,0.414743103
b2108,0.889137654
b3720,1.048304161
b0279,0.605001178
b2320,-9.506358395
b1149,1.681527141
b0612,0.885296251
b4098,0.809718057
b3137,0.723719885
b0718,0.661994655
b0393,-0.627865976
b2120,1.211580867
b3644,-1.138354217
b1502,1.608954877
b2858,1.567068202
b4081,1.131833029
b2986,0.84106828
b4132,1.137376695
b3701,-0.215235073
b2644,1.553678605
b3121,-0.215577102
b3251,-0.78254366
b0452,-0.650489559
b4325,1.581991204
b2368,1.522707465
b3370,0.230532216
b4105,0.9642485
b3580,0.433845008
b0347,0.549002764
b1203,-0.661318039
b3047,0.454990488
b0675,-0.235836202
b2995,-1.536189967
b2956,1.333230598
b0474,-0.433032228
b4047,0.764745841
b1978,0.654403461
b4365,1.162028832
b1961,-0.308253579
b3187,-0.018407569
b4650,1.993438025
b3323,0.336871154
b3858,0.184596719
b3424,-0.27802365
b2855,0.475421775
b1459,1.675610657
b0133,-0.570456496
b2448,0.159666433
b0499,0.336637796
b1232,-0.271590729
b1366,1.428614193
b3833,-0.489662362
b3891,-0.099265398
b0344,1.856622946
b2492,0.500421299
b0535,2.100281083
b0771,1.396714719
b2806,0.34912089
b3721,0.235375605
b3878,0.924323763
b0940,1.294951385
b1151,2.034103842
b3899,0.981979584
b0768,1.484572849
b4147,-1.233612828
b1087,0.080839626
b3576,0.720629297
b2477,0.001423187
b0532,1.829395532
b2891,-0.470934052
b1929,-1.598541212
b2917,0.669000546
b0698,1.3518916
b3953,1.034792838
b3035,-0.583710678
b3826,0.009916701
b3859,0.372186637
b1505,1.080381972
b3084,-0.793783336
b0603,1.346885467
b0686,-0.168373041
b0738,-0.557744441
b2061,1.357161919
b0407,0.047031073
b2046,1.302365034
b2957,-1.036306023
b4083,1.09350987
b1048,-0.627614563
b1035,0.342868411
b2636,1.498062556
b2367,0.923284025
b0731,1.243599238
b3982,-0.299561518
b0040,0.912657233
b0291,1.024217274
b1527,1.199563908
b1694,1.511632347
b2634,0.885280872
b3038,-0.187906396
b2729,-0.975039813
b4066,0.330035676
b0997,0.620804509
b4028,0.867781692
b4183,0.751011693
b0769,0.572550036
b4108,-1.242533482
b0693,1.024015236
b3484,0.801951253
