Blattner,Log2FC(WT 5uM/20nM)
b1810,-0.386709799
b3198,-0.236104543
b0961,-0.538314458
b1576,2.539758018
b2229,1.521314776
b1386,0.978549565
b1864,-0.354625633
b3104,0.956164604
b0434,-0.678230903
b4074,1.229840864
b3543,-0.424981227
b3678,0.72695081
b0222,-0.45365736
b1766,-0.330099871
b4508,1.355760027
b2119,1.222341055
b1161,1.498006981
b1023,0.727274702
b1486,1.210710906
b1390,1.431575753
b4471,0.642812168
b3961,-0.330298584
b4048,1.300423161
b0613,1.355700018
b2059,1.04428
b0512,0.814521825
b0416,-0.349349906
b0575,0.96340888
b0655,-0.411795576
b1363,0.415873374
b1744,1.022889832
b1751,-0.929822065
b4161,-0.365133708
b0874,-0.638308231
b1254,-0.368739241
b4579,1.110599055
b3589,1.488053988
b4095,1.713942075
b3114,0.649505945
b1410,0.914245198
b4328,-0.394403392
b3593,0.699961033
b0948,-0.579800829
b2004,0.751605056
b3464,-0.302156179
b2113,-0.427038158
b0381,-0.287209473
b3951,0.521997826
b0323,0.99403203
b0550,2.24084941
b3013,0.680914874
b0732,0.354997508
b1185,-0.482685999
b1999,0.536504482
b2996,-0.844817066
b0127,-0.351248278
b0405,-0.587109951
b2760,0.776012517
b0478,-0.313454939
b2845,0.812978518
b2554,-0.249000649
b2268,-0.325847625
b3705,-0.537265284
b1830,-0.361135449
b4556,1.116223564
b0934,1.059938096
b3639,-0.365139672
b1873,1.030380276
b2770,0.883857143
b0508,1.271740753
b2232,-0.383350196
b0270,0.950250698
b1383,0.40474214
b1147,0.979209483
b0497,0.392997636
b4482,0.987087928
b0402,-0.561876852
b2648,2.123151339
b3675,0.432868306
b1657,-0.333342525
b2898,-0.285264065
b4182,1.009824331
b1407,1.102757035
b0358,0.882354696
b0954,-0.405448868
b1867,-0.322692619
b1074,-0.977822493
b0421,-0.340024811
b2918,1.091538586
b3075,-0.450052228
b3611,-0.293282917
b1835,-0.446977955
b3865,-0.364520329
b1497,1.145205855
b2737,0.775785803
b1913,-0.335782272
b3744,-0.853984745
b1108,-0.466963998
b2810,-0.294784846
b4152,-0.707672521
b0703,0.560039594
b2954,-0.38357752
b4192,0.510705414
b1196,1.114107397
b3477,1.082184093
b2566,-0.513492989
b4087,1.075758691
b3041,-0.324752112
b2534,0.86389962
b1880,1.113075956
b1539,-0.359881899
b1693,-0.386966519
b2393,-0.514170138
b3869,-0.361594028
b1412,-0.45297536
b1010,1.150035386
b1862,0.862208441
b2319,-0.315508192
b0576,-0.65251534
b1022,0.81463378
b3615,0.953173518
b3947,0.840633781
b2727,-0.703901125
b4094,1.217806167
b3612,-0.662560728
b2300,-0.330344575
b0737,-0.614533339
b1831,-0.399866358
b1324,-0.287039334
b4682,2.753869382
b2563,-0.378295928
b1128,-0.367959162
b1391,1.097943295
b4602,-0.458299401
b0107,0.381128491
b4082,0.931845088
b1453,0.54372804
b0406,-0.393443708
b1861,-0.267538457
b2132,-0.360516514
b1804,-0.396863661
b0011,0.914349037
b0509,0.986024945
b2458,0.871940355
b0970,-0.361562385
b3046,0.926439062
b3235,-0.356007436
b0787,0.748949114
b0339,0.543643047
b3201,-0.302107773
b2564,-0.440248696
b1506,2.068036867
b0439,-0.299081301
b2456,1.494157937
b0034,-0.536469367
b1554,1.102390852
b3882,1.400782266
b3141,1.356802289
b0767,-0.3427342
b4279,0.497103746
b2455,1.383509109
b1395,0.596919808
b0782,-0.48616339
b1499,1.367834142
b4509,2.0300893
b1207,-0.486811195
b1752,-0.692695524
b0602,0.96636064
b2482,1.226391081
b4345,0.937619469
b0326,1.812000833
b0943,0.669252732
b3476,1.027963826
b1973,4.437460826
b3849,-0.226636579
b0143,-0.544197174
b0217,1.121492856
b2002,0.483084233
b2987,0.909893429
b2225,0.899988086
b1360,0.872553247
b1034,-0.27965133
b4180,-0.269868555
b1365,1.172085671
b2516,-0.259887631
b0824,1.057111959
b3377,0.8368177
b0145,-0.310055184
b1782,-0.496027117
b3139,1.409371968
b0097,-0.295306258
b0159,-0.305375538
b3769,-0.652512855
b1588,-0.664044863
b4696,0.670500587
b2997,-0.732015501
b4496,0.523014709
b0895,-0.752216546
b4036,-0.678654779
b3581,1.069195446
b0525,-0.409989302
b1184,0.84051901
b0616,1.173590107
b0977,0.720044255
b0415,-0.335494927
b0289,0.545423262
b0680,-0.407966119
b2329,-0.41611339
b1852,-0.338869119
b0179,-0.266504977
b1127,-0.565822395
b0539,0.97080602
b2643,1.011873239
b1078,-0.846101804
b0877,-0.471559479
b3357,-0.489833173
b0106,0.711888314
b1579,0.623333095
b2754,0.332426512
b3931,-0.367820661
b4277,1.056610818
b0534,1.176234577
b2881,0.502972367
b3367,-0.93386831
b3583,0.714747015
b3879,1.283383991
b2443,0.433522207
b0149,-0.270532801
b2862,0.531396009
b4231,0.625112081
b4260,-0.374369503
b2048,0.743388075
b3214,-0.497332127
b0521,0.851657087
b1200,-0.445976927
b4359,-0.552486177
b2905,-0.695516442
b0470,-0.266394144
b3834,-0.264084146
b1682,0.462372079
b2890,-0.463294307
b3229,-0.344074304
b4054,-0.326409903
b3160,-0.391079155
b3609,-0.267254683
b4153,-0.734272058
b0507,0.638382575
b4042,-0.481571377
b1875,-0.251335148
b3725,-0.267351495
b0563,1.206827302
b1489,0.644338031
b4620,0.850272829
b3998,-0.315022194
b3861,0.804428009
b4284,0.326959198
b0646,0.983810948
b1710,-0.262017032
b2010,0.363305304
b1796,0.918237371
b3328,0.943718518
b0863,-0.793209545
b1730,1.566830178
b1616,0.817166444
b3288,-0.2986593
b1543,0.630266645
b0131,-0.388977793
b2915,0.867094534
b2553,-0.354905736
b3144,0.398603712
b2162,1.156538504
b0588,-0.267405961
b3461,-0.363245733
b3932,-0.368482281
b4379,-0.652054167
b3091,-0.316046579
b3052,-0.210734369
b1103,-0.363421599
b0284,0.674530925
b0951,-0.225680019
b3908,-0.444687219
b1095,-0.332471749
b3146,-0.341850083
b3563,1.094746067
b4017,0.730316534
b1663,-0.517967895
b0080,-0.41547042
b1656,-0.644821224
b1313,0.689296757
b3690,0.986809825
b3271,0.609134139
b3064,-0.46345233
b1165,1.274857169
b2626,2.013924954
b2420,0.365679044
b3194,-0.242990431
b2049,0.666294541
b2346,-0.308461724
b1504,2.11698199
b2690,-0.357892225
b3558,1.000431056
b3981,-0.312574831
b2813,-0.382194535
b4202,-0.411069552
b1316,0.694581193
b4200,-0.405908033
b1769,0.880245311
b2836,-0.321169166
b3706,-0.360555178
b0492,-0.323334675
b2794,-0.341298282
b1168,0.735148138
b2495,-0.282062257
b3329,1.095373159
b3182,-0.386069564
b0254,0.54687704
b0827,-0.304068941
b3156,-0.410666221
b4304,0.561465563
b1575,1.651730264
b2334,1.148761118
b4198,0.520862879
b1884,0.807241799
b1392,0.875983698
b2994,-0.68572766
b3811,-0.195281381
b2301,-0.363505913
b2913,-0.387882218
b3648,-0.272828571
b2526,-0.308096196
b0043,1.218778786
b0927,-0.23359002
b1214,-0.279924185
b3136,0.776165725
b1404,0.298277494
b3498,-0.304261015
b2276,-0.533629933
b1235,-0.207492709
b0562,0.874909879
b2948,-0.265719534
b3027,1.185428552
b3699,-0.344403878
b2096,-0.280896217
b3587,1.897924877
b2684,-0.364361101
b3633,-0.469401778
b1073,-0.886052742
b0196,-0.52110335
b2469,-0.319846335
b2344,-0.622400618
b2183,-0.308458693
b4151,-0.631401865
b2472,-0.296917181
b1348,1.466923853
b4234,-0.302531579
b4469,-0.663683405
b0121,-0.403878292
b1888,0.490914951
b3172,-0.696422366
b2945,0.777895374
b1723,-0.303014447
b1068,-0.21364024
b4630,2.896603488
b0061,1.213991769
b0657,-0.322535901
b0607,-0.474331744
b0982,0.708349684
b0025,-0.285818858
b4157,0.949646174
b1680,0.417561145
b1797,1.01748686
b0340,0.93809306
b3192,-0.26837941
b2407,1.095304219
b2789,1.02097135
b3418,-0.358520291
b3416,-0.337085434
b2408,0.725002961
b1104,-0.38261523
b2728,-0.756080686
b4478,0.724813688
b3479,0.896632447
b3722,0.72795327
b0567,0.897880171
b1352,2.020175049
b2262,-0.489761377
b0945,-0.595079102
b0572,1.265195612
b3542,-0.434743865
b3327,0.8040655
b0223,-0.251500928
b4201,-0.410489138
b4215,1.025920449
b1192,-0.307271729
b0893,-0.38514014
b4419,-0.438395903
b2460,0.850220102
b3295,-0.324688921
b3572,-0.321937695
b3783,-0.419317482
b3937,0.666379728
b3186,-0.431434545
b0096,-0.28540102
b3365,-0.984321391
b3371,0.68818824
b0263,0.819645899
b0937,0.818049991
b0401,-0.420118697
b0740,-0.314667126
b2016,-0.309501573
b2946,-0.219023598
b4243,-0.331487347
b3896,0.904224726
b4341,1.643319254
b1418,-0.403640146
b2384,1.187144149
b1368,0.798095334
b2878,0.639968349
b4000,-0.353008352
b3151,-0.464042337
b2467,-0.287182847
b2376,0.535255976
b2567,-0.367018843
b0444,-0.277153477
b1204,-0.429170724
b0117,0.663160347
b4700,1.430581179
b0654,-0.31366067
b3955,-0.377847842
b2207,-1.151878066
b3898,0.673087285
b1681,0.441875349
b2919,0.687379968
b0260,0.702621584
b3394,1.08815631
b2373,0.761442672
b4031,0.542486131
b2687,-0.314889842
b1136,-0.398744399
b0168,-0.335849437
b1837,0.308326141
b4621,2.012883082
b3433,-0.337083159
b2734,1.320558844
b0385,0.612342037
b3366,-0.918739014
b2488,0.638237256
b0044,1.848120919
b2776,0.561266604
b4333,0.732092021
b3234,-0.417617189
b0548,2.097057928
b2431,-0.512994224
b4594,1.037613998
b4541,1.834422052
b2198,-0.748046322
b4463,1.012163145
b3664,0.889382969
b2765,-0.516564427
b1225,-0.87489539
b4363,0.671978388
b3520,0.472719007
b3860,-0.317568137
b3180,-0.278470292
b2359,0.801516025
b0218,1.322195821
b3341,-0.399744806
b3765,0.408507947
b4058,-0.28275584
b2045,0.566423469
b2070,0.455921848
b1673,0.914834565
b2872,0.584981301
b3646,0.761639724
b3138,1.229741103
b3200,-0.262882057
b0074,-0.529556136
b4349,-0.376153621
b3980,-0.37200252
b0195,-0.406917358
b3236,-0.36079312
b3823,-0.286274619
b0241,0.921990223
b3713,-0.36071205
b1775,0.870923378
b3493,-0.553551996
b4347,0.571127506
b0551,0.727701689
b1479,-0.31994265
b0006,-0.267217219
b0919,-0.797957071
b0809,-0.515335357
b0290,0.339531476
b1559,0.330433621
b0059,-0.702244601
b3063,0.750627197
b0620,-0.436025889
b0520,0.94016346
b0134,-0.40240839
b2939,-0.628884813
b1937,0.618907471
b3401,-0.282355479
b0842,-0.331522717
b4526,2.163584151
b0247,0.828188367
b3296,-0.299189961
b3530,0.237060934
b4213,-0.291732984
b0262,0.676042848
b4084,0.412308111
b0815,-0.504378695
b0819,-0.307496989
b3491,0.643856395
b1824,-0.234439715
b2480,-0.339516143
b2934,1.381368643
b4010,1.476722429
b0853,-0.254277301
b3237,-0.373006078
b3964,-0.380440192
b0355,-0.266787071
b0840,-0.311103859
b3871,-0.475652372
b1286,-0.495993442
b1679,0.402028636
b1312,1.077064796
b1874,-0.267211394
b1928,-0.303556353
b1872,0.530053881
b0763,-0.328452409
b3966,-0.264354208
b2076,0.52244262
b0172,-0.252186291
b2054,0.793731812
b0278,0.657697905
b4286,0.706900298
b0317,0.889287182
b2204,-1.020833267
b1790,0.409266812
b2078,0.338194076
b0801,-0.277996401
b1389,1.29166083
b3560,-0.398792315
b3952,0.551390749
b3822,-0.389106395
b2107,-0.262133649
b4197,0.583640709
b1378,-0.441147513
b4143,-0.346785889
b1468,0.361292505
b2708,-0.342567294
b1638,-0.261668359
b1126,-0.492881888
b1187,-0.360944341
b2406,0.531344712
b2208,-0.857485155
b0785,-0.32482152
b1702,-0.410042188
b2788,0.717349274
b2246,0.629325541
b2902,0.590784736
b0691,1.061548245
b3037,-0.230281578
b3673,0.973363475
b4501,0.586227978
b1603,-0.269825376
b2834,-0.328466943
b3270,0.661277273
b0486,0.379910625
b1699,0.668690012
b1706,0.472820749
b3729,-0.442963393
b2551,-0.36783888
b4380,-0.699263322
b4158,0.567991406
b4300,0.642295369
b4699,0.477836442
b2345,0.931706169
b4652,1.586482459
b4034,-0.567443741
b4181,1.190766299
b1791,0.554655032
b2203,-1.023601273
b2336,1.159303625
b3281,-0.228080735
b2882,0.437331443
b0935,0.749393928
b4175,-0.30706952
b3985,-0.312070576
b1516,0.438542636
b2064,-0.240789261
b0910,-0.349018568
b4628,1.564484769
b2998,0.922330461
b1547,0.718498395
b0364,1.218599332
b1809,-0.359336613
b3870,-0.699191423
b3525,0.82261097
b3185,-0.394914073
b3257,-0.603710714
b0156,0.353540806
b1801,0.855363462
b3126,0.742543906
b2968,0.481821484
b2247,0.558849476
b3737,-0.345943555
b4671,1.327162629
b4548,1.103940679
b3554,-0.288228569
b1353,0.988154996
b3363,-0.379224266
b1408,2.337839181
b2278,-0.438717927
b0423,-0.517451137
b0560,0.843114723
b0902,-0.317063418
b1948,0.785620984
b4371,-0.347415224
b2197,-0.704476436
b0151,-0.328437926
b1761,-0.425385525
b0918,-0.184590852
b3973,-0.242435933
b2983,0.72223511
b4155,-0.416310542
b3378,0.613937608
b4649,1.1559292
b0709,-0.454793044
b1684,0.487528817
b2703,0.372807886
b2190,0.29114691
b2961,-0.260865798
b4616,1.121819529
b2494,-0.241834038
b3978,-0.471703172
b3821,-0.347070239
b1577,0.644543671
b3880,0.361240957
b2206,-1.272441655
b3780,-0.367661709
b0235,2.159998231
b1178,1.613162557
b3901,0.919198084
b2230,0.620195539
b2574,-0.269382514
b4206,-0.309772542
b3226,-0.255486387
b1269,-0.468642479
b1931,-0.38006464
b1728,0.832398372
b3979,-0.437243891
b1885,0.777549122
b0137,0.729009135
b0174,-0.32461043
b1209,-0.334591058
b2034,-0.293324934
b1683,0.449671047
b0312,0.358214551
b3805,-0.222971242
b1284,-0.26281862
b1472,2.943915595
b0637,-0.324907584
b0756,-0.219820985
b0608,0.237320613
b3100,-0.295248329
b0716,0.63139246
b1529,-0.321710369
b2274,0.931939248
b1436,0.593063704
b3164,-0.321645661
b4555,0.581841173
b2503,0.593986713
b0109,-0.360594518
b1335,-0.343724905
b3145,0.439814123
b3750,-0.452831582
b3781,-0.332782758
b0294,1.033983703
b1281,-0.522424335
b4514,0.798344725
b1787,-0.278693019
b2444,1.099511751
b2265,-0.291818315
b1132,-0.49583373
b1856,1.791965098
b3332,0.696702168
b1295,-0.322067055
b2688,-0.283668321
b0822,-0.376537625
b0231,0.328165757
b3533,0.454132689
b2201,-0.567137374
b1490,0.395617851
b0303,1.0757426
b0437,-0.289839353
b2977,-0.422045478
b4226,-0.432503736
b4442,-0.302515349
b0180,-0.287543784
b2938,-0.550960454
b1385,0.268312498
b2332,0.193302011
b2321,-0.406385926
b3342,-0.325137824
b3974,-0.374114733
b2784,-0.179229545
b3176,-0.286037549
b4677,2.971692579
b2299,-0.244437229
b0283,0.627452835
b1495,0.592025515
b4193,0.860087294
b3322,0.466009117
b0271,0.575092583
