BiGG Metabolite ID,Log2FC(yggS/WT 20nM PN)
26dap__M_c,0.583524658
2amsa_c,0.518001218
2dh3dgal_c,0.067985236
2dh3dgal6p_c,-0.673542815
3c3hmp_c,0.558949635
3pg_c,0.212083528
4abut_c,-0.433808578
4hbz_c,0.22684591
5mta_c,0.250341013
5oxpro_c,0.292205017
acglu_c,-0.128540714
acorn_c,-0.402555669
ade_c,1.322963569
adn_c,2.004042945
akg_c,0.019917672
ala__L_c,0.821779329
ala_B_c,1.435281876
alaala_c,0.699737619
amp_c,0.267733845
asp__L_c,1.054892644
C02356_c,-0.15919685
cbasp_c,-0.138340308
cgly_c,0.466495186
cit_c,-0.073408917
citm_c,-0.157603865
csn_c,1.954836874
dca_c,-0.15437054
ddca_c,-0.245565719
dtmp_c,0.15713814
etha_c,0.834175981
f6p_c,0.239587976
fru_c,2.213827435
fum_c,-0.195272938
g1p_c,0.051667945
g6p_c,0.307102032
ghb_c,-0.089336892
glc__D_c,-0.905482422
glcn_c,0.131194659
gln__L_c,2.390562981
glu__L_c,0.727480961
gly_c,0.498131974
glyc__R_c,1.39720949
glyc2p_c,0.226539949
glyc3p_c,-0.071299427
glyclt_c,0.230605883
gthrd_c,-0.164030752
gua_c,3.016841478
hcys__L_c,0.505492055
hdca_c,-0.026020429
hdcea_c,0.284701863
hom__L_c,0.088579443
hxan_c,0.273462019
ile__L_c,2.211008851
ins_c,0.6064096
lac__D_c,0.53032456
leu__L_c,2.219011061
lys__L_c,1.477660454
lyx__L_c,0.442859864
mal__L_c,0.237222381
malt_c,-0.07301808
met__L_c,0.440377859
ncam_c,-0.261818906
ocdca_c,-0.202019584
ophth_c,0.975081744
orn_c,1.220723678
orot_c,0.235046056
pep_c,0.535932001
phe__L_c,2.548707576
phpyr_c,0.244116125
pnto__R_c,0.564497596
ppi_c,0.490750145
pro__L_c,0.529434594
ptrc_c,-0.029259483
pyr_c,0.956863485
quin_c,0.372986695
r5p_c,-0.371190778
rib__D_c,0.037686567
ru5p__D_c,-0.193015377
S2hglut_c,-1.073905222
ser__L_c,2.444227001
spmd_c,0.422265858
succ_c,-0.418627839
suchms_c,0.256832919
sucr_p,2.137720977
thr__L_c,1.209296099
thym_c,0.84459887
tre_c,1.563346234
trp__L_c,0.840837662
ttdca_c,0.478728077
tyr__L_c,1.998396522
uacgam_c,0.161108981
ura_c,0.448343168
val__L_c,1.102212502
xan_c,0.228986022
xyl__D_c,-0.012647376
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
