Blattner,log2FC(yggS/WT_20nM PN)
b1211,-0.128553629
b0238,-0.761831382
b2649,1.087632344
b4660,1.241432587
b0469,-0.209360769
b2042,-0.348627915
b0526,-0.390584845
b3504,1.469661215
b1210,0.016084859
b3659,1.311171091
b3078,1.177905409
b3442,1.605195117
b0185,-0.170815263
b1471,3.439427885
b4497,1.189510935
b2109,0.527461482
b3730,-0.212957476
b0807,-0.45651128
b2287,-0.143980269
b1288,-0.28824271
b1691,1.52585904
b0632,-0.490228287
b3679,0.710157584
b3079,1.4846172
b3578,1.176556156
b3877,0.528641718
b3875,1.127972646
b2852,0.936968949
b0104,-0.164400894
b3784,-0.283493583
b0297,2.033346686
b2372,0.496286583
b2122,0.408415889
b0194,-0.465604403
b1310,0.828113978
b2549,0.512446337
b3682,0.781154692
b1029,1.101743563
b2081,-0.477909829
b3579,1.007585415
b1615,0.941795519
b4462,1.298074868
b1152,1.063869918
b2517,-0.401384993
b0125,-0.081516358
b1540,-0.086415712
b2585,-0.367156561
b3488,0.620144415
b0267,1.196355798
b3120,0.911733014
b3423,-0.278232552
b3816,-0.491327797
b4583,0.962437889
b2730,-0.595899879
b4027,1.271910008
b2288,8.35633E-05
b3181,-0.043864101
b4491,0.550189097
b4651,0.913186995
b2014,-0.761340548
b0441,-0.371977423
b0533,1.651039216
b3326,0.540356672
b3902,1.538407665
b0770,1.214280348
b0835,-0.776142956
b0928,0.042747738
b0661,-0.656531165
b1309,0.621102218
b4185,1.316171146
b0936,0.815704662
b1435,-0.610573128
b0511,1.282961715
b4391,-0.226131058
b4494,0.875093679
b1311,1.086535586
b2060,0.548521409
b1424,-0.1910586
b1393,1.135271391
b2056,0.655500009
b0243,-0.193280195
b3596,1.181000556
b2371,0.685197058
b4012,0.792572524
b1059,-0.104960634
b2633,0.398710823
b1974,-0.045730869
b1001,0.483831944
b0242,-0.224664457
b2108,0.559945898
b3720,0.783233658
b0279,0.888143196
b2320,-0.273786874
b1149,0.448114578
b0612,0.279162613
b4098,0.896714564
b3137,0.930713807
b0718,0.446574901
b0393,-0.544228712
b2120,0.604045137
b3644,-0.469103263
b1502,0.810198982
b2858,1.273214936
b4081,0.628940232
b2986,0.901557654
b4132,0.829167741
b3701,-0.337332234
b2644,0.810634676
b3121,1.000022057
b3251,-0.505572282
b0452,-0.044722936
b4325,1.069674258
b2368,0.318438085
b3370,0.586974088
b4105,1.219966166
b3580,0.359629426
b0347,0.929299073
b1203,-0.510377159
b3047,0.816627375
b0675,-0.265917062
b2995,-0.449246782
b2956,0.73894551
b0474,-0.294125772
b4047,1.397653411
b1978,0.192825002
b4365,0.885801748
b1961,-0.530813841
b3187,-0.157071494
b4650,1.330554439
b3323,0.218170393
b3858,-0.092232237
b3424,-0.120410817
b2855,1.13829133
b1459,1.014908575
b0133,-0.241843636
b2448,0.406554607
b0499,0.381562496
b1232,-0.266029701
b1366,0.622005338
b3833,-0.153818549
b3891,-0.081306051
b0344,0.954216559
b2492,0.346324602
b0535,1.330643402
b0771,0.497132501
b2806,-0.2852278
b3721,0.242291117
b3878,0.441328787
b0940,0.436848045
b1151,0.095660689
b3899,1.006602547
b0768,0.598494738
b4147,-0.404550175
b1087,-0.208173361
b3576,1.141902868
b2477,-0.193559793
b0532,0.595088726
b2891,-0.214160024
b1929,-0.497450349
b2917,0.186821475
b0698,0.483671961
b3953,0.699126984
b3035,-0.190747356
b3826,-0.212651341
b3859,0.043939704
b1505,0.63086363
b3084,-0.803381918
b0603,0.960222562
b0686,-0.144432119
b0738,-0.360256745
b2061,0.698801494
b0407,-0.11121131
b2046,0.227561338
b2957,-0.313214418
b4083,0.771243473
b1048,-0.325706653
b1035,0.006663282
b2636,0.881445331
b2367,0.393518036
b0731,0.647392289
b3982,-0.120986088
b0040,0.565824487
b0291,0.486031207
b1527,0.776234772
b1694,0.105170554
b2634,0.494456236
b3038,-0.153412519
b2729,-0.41815697
b4066,0.688747835
b0997,0.175958769
b4028,0.668440206
b4183,0.972291909
b0769,1.129371247
b4108,-0.066606632
b0693,0.449366126
b3484,0.841562773
b0334,0.992001792
b4552,0.736717291
b1387,0.642621889
b4257,0.902643794
b1785,0.827915784
b3189,-0.26428649
b0348,0.751777736
b2873,0.533012166
b0847,-0.385296031
b4029,0.395374623
b0310,1.355288535
b2888,0.704601482
b3017,-0.117713708
b3240,0.592100228
b1069,-0.46445554
b4174,-0.398034624
b4374,-0.059074558
b3143,0.676000466
b0684,0.149765317
b4388,-0.189312052
b2451,0.456650229
b3553,-0.358447915
b3119,2.005235086
b1905,-0.11965245
b2193,0.014955401
b2330,-0.5243474
b3919,-0.694783529
b2740,0.319731246
b2269,0.420261103
b3718,0.557633577
b2452,1.023318625
b2339,2.105812679
b2211,-0.690529105
b4358,0.731694658
b1157,1.003828291
b0864,-0.039795034
b0947,-0.279859715
b0984,0.415274831
b0518,0.964936155
b3641,-0.207525311
b4100,0.754411683
b1456,0.361738921
b1854,-0.657246899
b2400,-0.600520254
b2271,0.384862295
b2630,-0.209357799
b0733,-0.351305387
b0102,-0.346142294
b3562,0.803642697
b3925,-0.666823108
b0628,-0.395165463
b3666,0.200930714
b1411,0.231478488
b1455,2.908027523
b3770,0.258384645
b3590,-0.492082669
b3381,0.65190596
b1158,0.745901212
b4233,-0.216297073
b4038,0.344063029
b3876,0.33754725
b2358,3.231383629
b0674,-0.37887592
b0754,-0.383333756
b1876,-0.681622744
b4495,0.544478327
b2062,0.372407213
b4465,0.349953679
b2273,0.683041011
b0783,0.174309061
b3900,0.801939719
b0341,0.190327845
b1464,-0.287500896
b1409,1.497712442
b3266,0.415460903
b0913,0.357733789
b3867,-0.122499365
b4572,0.593731996
b2699,-0.338935116
b3080,0.331936572
b0139,0.277533069
b4313,0.819273502
b4099,1.01232844
b2952,-1.627097764
b4586,0.472920331
b0888,-0.370283577
b2484,0.492630927
b3642,0.432143696
b1604,-0.113181798
b2233,0.175701213
b3577,2.00731749
b3684,0.597547541
b0343,0.707226892
b1319,1.11253846
b2854,1.19284066
b2418,-0.331030674
b1133,-0.642707625
b3347,-0.017133428
b2851,1.132660093
b2647,0.602808643
b3443,0.800950501
b2386,0.674236305
b1623,-0.626372432
b0772,-0.33401562
b3384,-0.072065459
b2848,0.949711307
b0648,0.808977099
b3244,-0.266609129
b1690,0.732075688
b2481,1.208505271
b2576,-0.430701061
b2933,0.625221584
b0914,-0.5992024
b1215,-0.354822729
b2221,0.440705974
b2047,0.331364097
b0045,0.888346649
b4644,0.525498699
b2771,0.553926214
b0292,0.50772779
b3584,0.751334458
b1802,0.584643214
b3324,1.054611953
b2922,-0.076710728
b3393,0.789000942
b0229,0.45626007
b1153,0.398411992
b1503,0.654809969
b3640,-0.11376728
b3881,0.320131048
b1866,-0.412790975
b2849,1.001864405
b0136,0.65897692
b4500,0.248894256
b2121,0.401065498
b2569,-0.450740248
b3526,-0.313135347
b0197,-0.371677613
b3643,-0.513134124
b0135,0.855918258
b3483,0.727140909
b3738,-0.232092118
b0930,-0.472520286
b2871,0.232700572
b3843,0.022021321
b3062,1.107975538
b2453,0.510700027
b3907,0.779820417
b1372,0.412178417
b0335,0.600120275
b1851,-0.255669084
b3115,0.123368213
b3702,-0.428178557
b2309,-0.648322633
b4101,1.079018886
b3741,-0.587490967
b3709,0.199896062
b2357,1.709097912
b2483,0.228820563
b2595,-0.162591092
b3507,0.428462256
b2887,0.568504318
b3086,0.641696105
b4049,-0.364097878
b3962,0.141573327
b1337,0.154519502
b2970,0.44605248
b3691,0.32132483
b0996,0.56245625
b3376,0.49724839
b3586,0.540694929
b3965,-0.287425799
b1637,-0.199074529
b3380,0.300553357
b0501,1.091441602
b4308,0.851447267
