Blattner,log2FC(yggS/WT_20nM PN)
b2850,0.515798895
b2171,-0.330206196
b0116,0.172776781
b1166,1.604688948
b3999,-0.068143467
b0276,0.179152874
b3265,0.520140171
b2635,1.170523298
b3150,0.014296126
b2161,0.470944716
b1621,-0.222683822
b2478,-0.154225896
b1749,-0.387657639
b1116,-0.312383886
b4102,0.967769668
b2355,0.559513172
b4106,1.413454802
b2335,0.435655012
b4130,0.077834071
b1850,-0.317018643
b4097,0.46007544
b4208,-0.199960795
b1101,-0.606149537
b0295,-0.048875167
b1388,0.650083695
b4657,0.632320379
b2385,0.484273692
b3334,0.511111489
b3657,0.467790603
b4401,0.074749629
b0547,0.370440569
b2971,1.355279031
b4120,0.227624259
b1460,0.854697626
b0386,-0.326985971
b2223,0.295879451
b2234,-0.080586534
b3228,-0.171678308
b3482,0.250784799
b3215,0.801301141
b2050,0.243223839
b0784,0.267896316
b2486,0.162418801
b2226,0.234252659
b0561,0.68453157
b1212,0.009064486
b2222,0.893038792
b4052,-0.346515628
b0333,0.850419121
b3680,0.613103381
b3072,0.166047637
b1115,0.40866129
b4506,-1.505483511
b1154,0.846506408
b0645,1.295164001
b2984,1.186233838
b4184,0.940507686
b0531,0.663378455
b0112,-0.816447301
b3178,-0.290565438
b1338,0.305397075
b1757,-0.79829099
b3149,0.114278138
b0681,0.439069348
b4131,0.287333594
b3076,0.589267416
b4186,0.267732727
b1767,-0.277543417
b3897,0.188865361
b3942,0.222960342
b1075,0.628168329
b0432,0.303905035
b3719,0.39133636
b0549,0.639744215
b0986,0.689992989
b4622,1.152087803
b1662,-0.252569825
b2296,-0.447130021
b2930,0.591655285
b2846,0.60845008
b4615,0.891761721
b4335,-0.048833107
b3778,-0.43651575
b3061,0.684455765
b3634,-0.448008489
b0193,0.122016871
b0618,-0.058319688
b2859,0.746662857
b0141,1.091952862
b4661,0.537696617
b0287,-0.302376646
b1264,0.040012098
b2710,0.527100528
b4021,-0.559648937
b2778,0.743324027
b2286,-0.225039796
b3888,-0.153215685
b2072,0.471769383
b2985,0.834441026
b3997,-0.090565566
b1815,0.311583965
b1816,-0.23298772
b0314,0.395565611
b3818,0.54901145
b2294,-0.364232104
b0296,-1.730383018
b0230,0.000869244
b0820,-0.533029102
b0985,0.540138759
b2270,0.220784724
b4316,-0.251170384
b3441,0.016858111
b3697,-0.285644897
b2356,0.229102615
b3613,-0.248681501
b0301,-0.099351152
b3368,-0.422500974
b2199,-0.767780904
b2879,0.119703623
b3158,-0.05783941
b0688,-0.169295829
b0042,0.190868457
b1889,0.780062413
b3392,0.346903249
b3374,0.148283137
b2241,0.007766825
b0477,-0.36047841
b2361,0.76490942
b2953,-1.166040161
b0319,0.222002759
b0544,0.728330212
b3649,-0.088463268
b0649,0.309426538
b4160,-0.218113088
b1952,0.304805095
b2758,0.431344095
b0166,-0.256335307
b2581,-0.429252229
b3591,-0.254319433
b0617,-0.039687113
b3331,0.130440834
b2383,0.115718467
b3686,0.059473966
b2700,-0.193097998
b3030,-0.266031363
b1121,0.348980844
b3195,-0.13653928
b0108,0.518818084
b1028,0.286185687
b4232,0.232630165
b2110,1.129230641
b2447,0.259908822
b3422,0.354104253
b0614,0.025230161
b1351,0.90431726
b2065,-0.108366891
b4041,-0.191794093
b2489,0.323097791
b3066,-0.115753897
b0028,-0.017342505
b2066,-0.314350026
b1026,-0.283008914
b4080,0.564509587
b1160,0.160280442
b3190,0.011058778
b2027,-0.032372635
b0939,0.452814391
b2139,0.16981332
b1350,0.166364402
b2115,0.330966596
b2914,-0.4715899
b2118,0.16253436
b3745,-0.324847602
b3847,-0.266013571
b0929,-0.647840686
b2224,0.531211729
b3478,0.263703515
b2073,-0.030260637
b1704,-0.468715189
b2950,0.632417081
b3426,0.014519884
b2491,0.301652206
b3949,0.203128984
b2248,0.232741021
b0463,-0.043254073
b2547,0.328096632
b3944,0.236098775
b3253,-0.077594771
b0054,-0.315723768
b2316,-0.101041431
b2701,-0.289674629
b4207,-0.481183362
b2114,-0.607854783
b4395,-0.181430053
b1457,1.076380132
b2029,-0.176113681
b3544,-0.682186297
b3935,-0.408480702
b2077,0.137738923
b2454,0.440543023
b0277,0.608823633
b0227,0.568383249
b0140,0.672693047
b0161,0.055991011
b0041,0.620189644
b4309,0.753726031
b0967,-0.366033731
b0154,-0.201657524
b0647,1.060478493
b2277,-0.083806127
b1560,0.036868817
b0697,0.316910294
b3216,0.794943325
b0705,0.015685984
b2947,-0.14652249
b2935,-0.306083989
b0887,-0.24861379
b2498,-0.497807414
b3927,0.000452361
b4311,0.563615171
b3002,0.267719066
b3227,0.436293171
b3388,-0.290843029
b0029,-0.027221075
b0896,-0.627001212
b3135,0.45416579
b0013,0.831200729
b1606,-0.000946436
b3405,-0.01623039
b0138,0.5880255
b4334,0.156070119
b0181,-0.268692891
b3950,0.376671
b4238,0.063212419
b2870,0.271666729
b3147,-0.244347788
b0931,-0.427912669
b1832,0.137151303
b0369,-0.232132047
b0922,-0.023094134
b3391,0.291792004
b0321,0.345898806
b0320,0.016042771
b3389,-0.331174535
b1860,-0.057326574
b2057,0.171482025
b3325,0.046264426
b1810,0.134953797
b3198,0.00893934
b0961,-0.621125551
b1576,0.715896052
b2229,0.70898715
b1386,0.44394391
b1864,-0.181040562
b3104,0.301051258
b0434,0.17619489
b4074,0.699577852
b3543,-0.414313611
b3678,0.26344317
b0222,-0.260800424
b1766,-0.258139146
b4508,0.324202677
b2119,0.413571898
b1161,0.867186842
b1023,0.420324983
b1486,0.093128099
b1390,0.405286089
b4471,-0.06868732
b3961,-0.045575496
b4048,0.58419669
b0613,0.666409025
b2059,0.220394626
b0512,0.514357523
b0416,-0.227312845
b0575,0.249994494
b0655,-0.483474385
b1363,-0.013632216
b1744,0.720669963
b1751,-0.582060113
b4161,-0.056986675
b0874,-0.732023993
b1254,-0.227202867
b4579,0.555747588
b3589,0.026016708
b4095,0.337971444
b3114,-0.348037564
b1410,0.257860423
b4328,-0.316072437
b3593,0.255288603
b0948,-0.549571247
b2004,0.416513374
b3464,-0.184021908
b2113,-0.117967159
b0381,-0.070931462
b3951,0.136449468
b0323,0.26135549
b0550,0.692695308
b3013,0.537143658
b0732,0.152293961
b1185,0.109959956
b1999,0.612998734
b2996,-0.000430087
b0127,-0.060210009
b0405,-0.571660523
b2760,0.525916979
b0478,-0.491572353
b2845,0.183305291
b2554,-0.261024157
b2268,-0.262098217
b3705,-0.342770475
b1830,-0.306439592
b4556,0.481185143
b0934,0.876809214
b3639,-0.033939875
b1873,0.468858267
b2770,0.296624411
b0508,0.119034203
b2232,-0.291993639
b0270,0.254873542
b1383,0.397762408
b1147,0.340798756
b0497,0.227819356
b4482,0.251910634
b0402,-0.629771751
b2648,1.184769
b3675,0.499875439
b1657,-0.260555573
b2898,-0.11699878
b4182,0.516030116
b1407,0.335488535
b0358,0.452338079
b0954,-0.090874353
b1867,-0.105797184
b1074,0.633413664
b0421,-0.225322818
b2918,0.231568633
b3075,0.048708629
b3611,-0.039095265
b1835,-0.74246775
b3865,-0.047552043
b1497,-0.230260369
b2737,0.202552676
b1913,-0.26161345
b3744,-0.248796998
b1108,-0.086843204
b2810,-0.167564146
b4152,-0.902278669
b0703,-0.069400447
b2954,-0.725233713
b4192,0.15556816
b1196,1.372180957
b3477,0.193591305
b2566,-0.488545931
b4087,0.135806656
b3041,0.23317622
b2534,0.384788154
b1880,0.940296114
b1539,-0.274509351
b1693,-0.073383262
b2393,-0.684311797
b3869,-1.474816456
b1412,-0.39138352
b1010,0.305228096
b1862,0.413023204
b2319,-0.179941604
b0576,-0.641889907
b1022,0.165504191
b3615,0.474203382
b3947,0.418725234
b2727,-0.260348251
b4094,0.980520146
b3612,-0.834112743
b2300,-0.091700359
b0737,-0.116194478
b1831,-0.048265949
b1324,0.228633247
b4682,1.124128597
b2563,-0.059843008
b1128,-0.356221132
b1391,0.630667203
b4602,-0.033062394
b0107,0.326481492
b4082,0.428241493
b1453,0.024344857
b0406,-0.073138959
b1861,0.047064055
b2132,-0.252488185
b1804,-0.323547862
b0011,0.244061378
b0509,0.241749533
b2458,0.32507029
b0970,-0.335050046
b3046,0.021277507
b3235,-0.281853489
b0787,0.529267602
b0339,0.090339099
b3201,-0.0845485
b2564,-0.14026077
b1506,0.690927471
b0439,-0.145702546
b2456,0.247207964
b0034,-0.023593793
b1554,0.710192717
b3882,0.384994998
b3141,0.815933194
b0767,-0.103477197
b4279,-0.416861761
b2455,0.549011324
b1395,0.231177108
b0782,0.10185032
b1499,0.737365508
b4509,1.321477794
b1207,-0.519525311
b1752,-0.389831149
b0602,0.50855067
b2482,0.208103857
b4345,0.116543172
b0326,1.012388726
b0943,0.395302854
b3476,0.101584283
b1973,-3.058232889
b3849,-0.190874819
b0143,-0.585344867
b0217,0.620967017
b2002,0.365442847
b2987,0.327162526
b2225,0.323163388
b1360,0.198077188
b1034,-0.056890862
b4180,0.273407682
b1365,0.648810799
b2516,0.036842383
b0824,0.278469321
b3377,0.307227707
b0145,-0.044734553
b1782,-0.177788923
b3139,0.098554736
b0097,-0.008072552
b0159,-0.37793322
b3769,0.49674179
b1588,-1.043712388
b4696,0.625411144
b2997,0.10033216
b4496,0.426603584
b0895,-0.697233862
b4036,0.320779286
b3581,0.167089533
b0525,-0.26551164
b1184,0.531740026
b0616,0.314494785
b0977,0.219871086
b0415,-0.12320597
b0289,0.307159689
b0680,-0.316530165
b2329,-0.376132751
b1852,-0.236831088
b0179,-0.176301611
b1127,-0.365437125
b0539,0.462453807
b2643,0.031838435
b1078,0.157616476
b0877,-0.779784595
b3357,0.09793956
b0106,0.324400985
b1579,0.566314848
b2754,0.292020987
b3931,-0.377770736
b4277,0.095450344
b0534,0.408723345
b2881,-0.105000526
b3367,-0.815756834
b3583,0.239348274
b3879,0.598848512
b2443,0.333872953
b0149,-0.290104197
b2862,0.612618134
b4231,0.377046493
b4260,-0.247119738
b2048,0.093206295
b3214,-0.657764365
b0521,0.395109337
b1200,-0.1884751
b4359,-0.44061824
b2905,0.667755943
b0470,-0.146680299
b3834,-0.2151016
b1682,-0.024517668
b2890,-0.343942227
b3229,-0.048897266
b4054,-0.547425031
b3160,0.360607019
b3609,-0.013991803
b4153,-0.768110991
b0507,0.231602875
b4042,0.033553684
b1875,-0.04349418
b3725,0.29584301
b0563,0.848312909
b1489,0.118423092
b4620,-0.969360274
b3998,-0.07813188
b3861,0.452484615
b4284,0.273511935
b0646,0.349291834
b1710,-0.094803539
b2010,0.346394321
b1796,0.247971712
b3328,0.081764759
b0863,-0.668995926
b1730,0.629883612
b1616,0.034751834
b3288,-0.107923756
b1543,0.476375423
b0131,0.040863335
b2915,0.841806391
b2553,-0.069213059
b3144,0.218500751
b2162,0.402008254
b0588,-0.197576137
b3461,-0.063119937
b3932,-0.329918709
b4379,-0.798411363
b3091,-0.625102958
b3052,-0.207387485
b1103,-0.13514443
b0284,0.445965165
b0951,-0.357543618
b3908,-0.118366076
b1095,-0.258158509
b3146,-0.052245073
b3563,0.659409897
b4017,0.421362344
b1663,0.157175845
b0080,0.115398447
b1656,0.146769284
b1313,-0.021790128
b3690,0.727334302
b3271,0.259547168
b3064,-0.402985329
b1165,1.363348504
b2626,1.129382331
b2420,0.448292042
b3194,-0.13929695
b2049,0.226243407
b2346,-0.105040107
b1504,1.590551002
b2690,0.08441537
b3558,0.553989332
b3981,-0.020825713
b2813,-0.338052088
b4202,-0.249704473
b1316,-0.039003729
b4200,-0.336881893
b1769,0.426659079
b2836,-0.346526806
b3706,-0.222282089
b0492,-0.213804473
b2794,-0.073452026
b1168,0.674200508
b2495,0.043208551
b3329,0.386232428
b3182,-0.219335279
b0254,0.406739355
b0827,-0.359509024
b3156,-0.129708504
b4304,0.081098979
b1575,-0.173219007
b2334,0.879187299
b4198,0.045058292
b1884,-0.131450483
b1392,0.142714576
b2994,-0.159589146
b3811,0.079670233
b2301,0.18704344
b2913,-0.199059157
b3648,0.146922458
b2526,-0.30999817
b0043,0.472061264
b0927,-0.175403701
b1214,-0.12151416
b3136,0.073721222
b1404,0.275379575
b3498,-0.114793313
b2276,-0.259106495
b1235,0.156419812
b0562,0.666666377
b2948,-0.059542685
b3027,0.481919038
b3699,-0.291026455
b2096,-0.655149821
b3587,0.757822923
b2684,-0.330403939
b3633,-0.215248515
b1073,0.814197628
b0196,-0.025545941
b2469,-0.053454913
b2344,-0.117235933
b2183,0.002490248
b4151,-0.85462658
b2472,0.105068482
b1348,0.317593754
b4234,-0.094912182
b4469,-0.696731605
b0121,-0.15439816
b1888,0.221545345
b3172,-0.718983538
b2945,0.526868609
b1723,-0.226088213
b1068,0.054217873
b4630,0.157954054
b0061,0.633927712
b0657,-0.279525001
b0607,0.297140544
b0982,0.539777903
b0025,-0.196390075
b4157,0.451047018
b1680,0.016080801
b1797,0.731497402
b0340,0.14352911
b3192,0.012538261
b2407,0.470972279
b2789,0.466069818
b3418,-0.326857443
b3416,-0.250704919
b2408,0.699902233
b1104,-0.165449552
b2728,-0.160359389
b4478,0.190554233
b3479,0.204364547
b3722,0.604662396
b0567,0.674308747
b1352,0.417819447
b2262,-0.715867229
b0945,-0.739378586
b0572,0.841769551
b3542,-0.479214904
b3327,0.111799378
b0223,-0.074400403
b4201,-0.286983864
b4215,0.580393037
b1192,-0.228151669
b0893,-0.303500452
b4419,-0.266574007
b2460,0.104327277
b3295,-0.157771525
b3572,-0.433011625
b3783,-0.622023006
b3937,0.152821936
b3186,-0.369744939
b0096,-0.21246908
b3365,-0.600744326
b3371,-0.071375107
b0263,0.299169851
b0937,0.576290265
b0401,-0.529892748
b0740,-0.138945342
b2016,-0.245729266
b2946,-0.144535089
b4243,-0.189766948
b3896,0.244305998
b4341,1.151045308
b1418,-0.202231435
b2384,0.189382443
b1368,0.37177802
b2878,0.346109933
b4000,-0.223449408
b3151,-0.506985369
b2467,0.029692769
b2376,0.339571986
b2567,-0.198576688
b0444,-0.102200626
b1204,-0.351558538
b0117,0.205585653
b4700,0.903787727
b0654,-0.3479031
b3955,-0.474708116
b2207,0.252196736
b3898,0.099513529
b1681,-0.019374731
b2919,0.523265572
b0260,0.073875043
b3394,0.579433271
b2373,0.08239137
b4031,0.561866995
b2687,-0.167265449
b1136,0.091679304
b0168,-0.323140371
b1837,0.497815221
b4621,0.694283398
b3433,-0.337157123
b2734,0.570008501
b0385,0.105161403
b3366,-0.70821607
b2488,-0.019101717
b0044,0.764898958
b2776,0.084205858
b4333,0.899748816
b3234,0.188698379
b0548,0.335690977
b2431,-0.249510197
b4594,1.050628033
b4541,0.714522086
b2198,-0.876361962
b4463,0.151319548
b3664,0.256212865
b2765,-0.104421996
b1225,-0.374335438
b4363,0.119355631
b3520,0.181519672
b3860,-0.27851314
b3180,-0.081816577
b2359,0.447492223
b0218,-0.081307878
b3341,-0.352914537
b3765,0.110935364
b4058,-0.316926935
b2045,0.023087236
b2070,0.012344066
b1673,0.380153135
b2872,-0.120925346
b3646,0.408219669
b3138,0.818100529
b3200,-0.049140813
b0074,0.202924574
b4349,-0.235505978
b3980,-0.418702408
b0195,-0.004416043
b3236,0.156993807
b3823,-0.378863362
b0241,1.116353893
b3713,-0.249052153
b1775,0.218868919
b3493,-0.458429094
b4347,0.590589006
b0551,0.342745231
b1479,-0.243970345
b0006,-0.134214857
b0919,-0.243083504
b0809,-1.297603158
b0290,0.189019981
b1559,0.09276863
b0059,-0.243571868
b3063,0.100567295
b0620,-0.633549705
b0520,0.448713156
b0134,-0.41982372
b2939,-0.252450129
b1937,0.436558832
b3401,-0.185266968
b0842,0.016905377
b4526,0.667913589
b0247,0.4349465
b3296,-0.156653975
b3530,-0.109569827
b4213,-0.15219049
b0262,0.130266611
b4084,0.035573926
b0815,-0.096841317
b0819,-0.206084332
b3491,0.238452579
b1824,-0.255210943
b2480,0.232890821
b2934,0.266232148
b4010,-0.116444765
b0853,-0.035607156
b3237,0.055644582
b3964,-0.107609084
b0355,-0.035181593
b0840,-0.013152125
b3871,-0.630669848
b1286,-0.675344065
b1679,0.006924377
b1312,0.57535639
b1874,-0.200463124
b1928,0.158207125
b1872,0.39308874
b0763,-0.146151555
b3966,-0.260906768
b2076,0.278747997
b0172,0.257431908
b2054,-0.098896103
b0278,0.151282892
b4286,0.448376085
b0317,0.375510876
b2204,-0.224413161
b1790,0.278534428
b2078,0.016235535
b0801,-0.125345977
b1389,0.176209521
b3560,0.098227521
b3952,0.198806668
b3822,-0.500312825
b2107,0.118733489
b4197,0.0504
b1378,-0.370155547
b4143,-0.908412183
b1468,0.147102877
b2708,-0.073076554
b1638,-0.205658188
b1126,-0.591188726
b1187,0.021371454
b2406,0.258084714
b2208,0.284404903
b0785,0.387023861
b1702,0.503406792
b2788,0.647190831
b2246,0.171433915
b2902,0.746994736
b0691,0.583385138
b3037,-0.058253933
b3673,0.46423095
b4501,0.4820369
b1603,-0.290154931
b2834,-0.091662955
b3270,0.191759056
b0486,-0.063623693
b1699,0.155452337
b1706,-0.120817281
b3729,0.049819434
b2551,-0.527734906
b4380,-0.666222549
b4158,0.446192059
b4300,0.346333576
b4699,0.192591717
b2345,0.069278091
b4652,1.606446253
b4034,0.216232677
b4181,0.339712264
b1791,0.191501781
b2203,-0.414977786
b2336,0.244685149
b3281,-0.080821281
b2882,0.538923673
b0935,0.449845471
b4175,-0.374247105
b3985,-0.017185424
b1516,0.13712086
b2064,-0.129655763
b0910,-0.06689695
b4628,0.342627471
b2998,0.448394967
b1547,0.431934457
b0364,-0.01491181
b1809,-0.370037833
b3870,-1.124908432
b3525,0.561443023
b3185,-0.362370788
b3257,-0.146340195
b0156,0.273448309
b1801,0.372052133
b3126,0.393258174
b2968,0.086647112
b2247,-0.184334283
b3737,-0.150095052
b4671,0.627489509
b4548,0.340115009
b3554,0.127917211
b1353,0.143398923
b3363,0.157842904
b1408,0.809904612
b2278,-0.029182214
b0423,-0.749358184
b0560,0.447809762
b0902,-0.105706445
b1948,0.550849359
b4371,-0.396677455
b2197,-0.833945643
b0151,-0.223442965
b1761,-0.778276793
b0918,0.095445745
b3973,-0.264209174
b2983,0.213943614
b4155,-0.514091077
b3378,0.610667986
b4649,0.703760982
b0709,-0.65395962
b1684,0.030044871
b2703,-0.126541329
b2190,0.319868846
b2961,-0.081172023
b4616,0.610456988
b2494,0.061220233
b3978,-0.177945971
b3821,-0.17986803
b1577,-0.0898143
b3880,0.160769331
b2206,-0.083613391
b3780,-0.313173289
b0235,0.828133048
b1178,-0.752059247
b3901,0.701342991
b2230,0.269365007
b2574,-0.49287967
b4206,0.25416337
b3226,-0.065708045
b1269,-0.108323836
b1931,0.068745914
b1728,0.560685281
b3979,-0.108771931
b1885,0.453484189
b0137,0.468125343
b0174,-0.188238441
b1209,-0.140851478
b2034,-0.433742856
b1683,-0.048867751
b0312,0.425632812
b3805,-0.219019163
b1284,0.17512011
b1472,1.589488488
b0637,-0.004766751
b0756,-0.128276761
b0608,0.158896615
b3100,-0.051458212
b0716,0.818576504
b1529,0.056657159
b2274,0.302416695
b1436,0.214869825
b3164,-0.140701479
b4555,0.838916458
b2503,-0.010033587
b0109,-0.120708349
b1335,0.202012357
b3145,0.28756345
b3750,-0.821690576
b3781,-0.018916613
b0294,0.013137409
b1281,-0.353802368
b4514,0.105651007
b1787,-0.133180645
b2444,0.383492895
b2265,-0.142286028
b1132,-0.644503561
b1856,-1.380483919
b3332,0.156443736
b1295,0.082641607
b2688,-0.113403903
b0822,0.011537957
b0231,0.134728031
b3533,0.157962814
b2201,-0.159846736
b1490,0.463977227
b0303,0.619310478
b0437,-0.177423891
b2977,0.54458739
b4226,-0.494544883
b4442,-0.147435271
b0180,-0.157460987
b2938,-0.308863047
b1385,0.050281945
b2332,0.195397927
b2321,-0.19283804
b3342,-0.262600176
b3974,-0.207396872
b2784,-0.076359596
b3176,-0.080455906
b4677,2.064144808
b2299,0.068434795
b0283,0.223919287
b1495,-0.283028481
b4193,0.401246428
b3322,0.314490184
b0271,-0.058001696
b0408,-0.23546556
b0920,0.109826935
b1568,0.559056811
b2769,0.350191566
b2411,-0.209587366
