feature_ids	Fucose_1_RPKM	Fucose_2_RPKM	Fucose_3_RPKM	Glucose_1_RPKM	Glucose_2_RPKM	Glucose_3_RPKM
b0056	123.0	83.0	71.0	77.0	78.0	71.0
b0058	27.0	35.0	38.0	37.0	30.0	23.0
b0059	21.0	59.0	45.0	28.0	40.0	25.0
b0060	16.0	17.0	18.0	23.0	21.0	13.0
b0061	2.0	6.0	6.0	1.0	1.0	1.0
b0062	4.0	11.0	9.0	3.0	3.0	2.0
b0063	1.0	2.0	2.0	1.0	1.0	1.0
b0064	19.0	44.0	48.0	17.0	14.0	13.0
b0065	55.0	30.0	26.0	41.0	23.0	15.0
b0066	5.0	8.0	6.0	6.0	9.0	6.0
b0067	3.0	8.0	5.0	6.0	11.0	6.0
b0068	18.0	33.0	24.0	26.0	44.0	31.0
b0069	9.0	13.0	13.0	13.0	11.0	9.0
b0070	21.0	22.0	22.0	23.0	17.0	18.0
b0071	370.0	431.0	470.0	203.0	350.0	504.0
b0072	151.0	256.0	229.0	73.0	222.0	283.0
b0073	145.0	374.0	293.0	56.0	267.0	317.0
b0074	263.0	622.0	492.0	79.0	394.0	569.0
b0075	150.0	386.0	404.0	75.0	173.0	361.0
b0076	102.0	19.0	19.0	17.0	18.0	21.0
b0077	74.0	153.0	141.0	75.0	144.0	125.0
b0078	115.0	217.0	208.0	146.0	201.0	248.0
b0080	193.0	236.0	201.0	33.0	133.0	60.0
b0081	131.0	154.0	133.0	91.0	147.0	140.0
b0082	100.0	116.0	108.0	93.0	108.0	88.0
b0083	31.0	49.0	37.0	23.0	39.0	29.0
b0084	83.0	186.0	179.0	79.0	109.0	206.0
b0085	47.0	63.0	56.0	39.0	68.0	54.0
b0086	49.0	69.0	58.0	42.0	76.0	55.0
b0087	49.0	68.0	58.0	36.0	64.0	49.0
b0088	55.0	80.0	69.0	43.0	74.0	58.0
b0089	62.0	92.0	80.0	46.0	82.0	66.0
b0090	51.0	80.0	67.0	51.0	78.0	65.0
b0091	53.0	98.0	87.0	62.0	98.0	72.0
b0092	67.0	112.0	109.0	98.0	123.0	97.0
b0093	70.0	115.0	121.0	111.0	112.0	111.0
b0094	103.0	181.0	171.0	155.0	189.0	176.0
b0095	319.0	663.0	597.0	470.0	580.0	542.0
b0096	1661.0	1410.0	1326.0	2293.0	1495.0	1406.0
b0097	149.0	231.0	215.0	199.0	264.0	267.0
b0098	183.0	257.0	209.0	246.0	358.0	391.0
b0099	19.0	20.0	18.0	19.0	29.0	23.0
b0101	56.0	98.0	89.0	55.0	94.0	81.0
b0102	40.0	83.0	73.0	40.0	68.0	46.0
b0103	44.0	93.0	88.0	47.0	74.0	50.0
b0104	97.0	130.0	90.0	40.0	99.0	102.0
b0106	5.0	6.0	6.0	6.0	5.0	6.0
b0107	12.0	11.0	11.0	12.0	11.0	12.0
b0108	4.0	2.0	2.0	3.0	2.0	1.0
b0109	69.0	110.0	88.0	47.0	101.0	86.0
b0110	40.0	56.0	57.0	48.0	55.0	55.0
b0111	36.0	36.0	32.0	28.0	30.0	21.0
b0112	885.0	417.0	284.0	563.0	394.0	224.0
b0113	165.0	411.0	205.0	125.0	268.0	130.0
b0114	516.0	979.0	810.0	476.0	810.0	341.0
b0115	438.0	393.0	412.0	236.0	354.0	195.0
b0116	374.0	674.0	650.0	307.0	526.0	275.0
b0117	4.0	5.0	5.0	5.0	6.0	4.0
b0118	88.0	171.0	151.0	157.0	149.0	83.0
b0119	186.0	184.0	187.0	252.0	105.0	138.0
b0120	131.0	207.0	155.0	155.0	221.0	209.0
b0121	115.0	254.0	178.0	126.0	281.0	241.0
b0122	98.0	110.0	113.0	55.0	178.0	182.0
b0123	43.0	19.0	18.0	23.0	40.0	13.0
b0124	27.0	27.0	27.0	78.0	45.0	18.0
b0125	139.0	183.0	172.0	125.0	246.0	214.0
b0126	206.0	366.0	352.0	554.0	504.0	391.0
b0127	66.0	73.0	65.0	65.0	87.0	69.0
b0128	65.0	62.0	57.0	71.0	70.0	60.0
b0129	35.0	63.0	73.0	16.0	22.0	20.0
b0130	21.0	20.0	20.0	10.0	14.0	12.0
b0131	429.0	624.0	468.0	216.0	522.0	687.0
b0133	195.0	252.0	239.0	142.0	308.0	251.0
b0134	106.0	202.0	199.0	78.0	256.0	195.0
b0135	11.0	5.0	4.0	3.0	3.0	3.0
b0136	2.0	3.0	1.0	1.0	0.0	1.0
b0137	6.0	4.0	4.0	2.0	1.0	2.0
b0138	7.0	5.0	6.0	2.0	3.0	2.0
b0139	7.0	3.0	3.0	2.0	2.0	2.0
b0140	4.0	2.0	2.0	1.0	2.0	1.0
b0141	2.0	1.0	1.0	0.0	1.0	1.0
b0142	6.0	16.0	14.0	3.0	12.0	8.0
b0143	47.0	143.0	101.0	39.0	127.0	89.0
b0144	13.0	33.0	25.0	12.0	20.0	13.0
b0145	730.0	1176.0	1033.0	766.0	814.0	678.0
b0146	245.0	248.0	293.0	291.0	181.0	172.0
b0148	14.0	24.0	24.0	17.0	22.0	17.0
b0149	38.0	54.0	53.0	39.0	57.0	45.0
b0150	213.0	410.0	380.0	212.0	372.0	356.0
b0151	31.0	65.0	58.0	37.0	59.0	44.0
b0152	17.0	46.0	37.0	23.0	45.0	35.0
b0153	9.0	17.0	13.0	16.0	28.0	20.0
b0154	69.0	111.0	100.0	82.0	108.0	89.0
b0155	52.0	70.0	73.0	52.0	56.0	35.0
b0156	693.0	634.0	640.0	1061.0	402.0	226.0
b0157	10.0	12.0	11.0	7.0	12.0	7.0
b0158	13.0	21.0	16.0	12.0	21.0	13.0
b0159	130.0	189.0	174.0	196.0	246.0	216.0
b0160	32.0	38.0	36.0	20.0	31.0	24.0
b0161	65.0	85.0	70.0	32.0	88.0	66.0
b0162	18.0	27.0	23.0	9.0	6.0	6.0
b0163	711.0	705.0	686.0	601.0	385.0	439.0
b0164	13.0	12.0	11.0	8.0	11.0	7.0
b0166	267.0	406.0	372.0	267.0	491.0	392.0
b0167	31.0	42.0	38.0	41.0	39.0	40.0
b0168	312.0	569.0	485.0	275.0	597.0	695.0
b0169	3196.0	2499.0	1928.0	1982.0	3045.0	2883.0
b0170	1509.0	1311.0	962.0	767.0	1567.0	1496.0
b0171	144.0	141.0	119.0	163.0	221.0	241.0
b0172	637.0	698.0	664.0	597.0	740.0	605.0
b0173	71.0	87.0	84.0	86.0	98.0	74.0
b0175	85.0	109.0	80.0	69.0	99.0	62.0
b0176	104.0	154.0	133.0	98.0	162.0	126.0
b0177	255.0	334.0	301.0	228.0	355.0	319.0
b0178	1145.0	1016.0	983.0	1169.0	1322.0	1287.0
b0179	347.0	506.0	460.0	337.0	572.0	473.0
b0180	331.0	477.0	412.0	422.0	542.0	502.0
b0181	185.0	274.0	229.0	189.0	286.0	194.0
b0182	39.0	72.0	62.0	35.0	78.0	39.0
b0183	13.0	29.0	22.0	12.0	33.0	14.0
b0184	26.0	47.0	37.0	30.0	54.0	37.0
b0185	111.0	241.0	186.0	82.0	196.0	125.0
b0186	28.0	51.0	57.0	63.0	34.0	19.0
b0187	32.0	56.0	58.0	68.0	40.0	37.0
b0188	10.0	24.0	21.0	18.0	20.0	14.0
b0189	90.0	85.0	108.0	148.0	88.0	85.0
b0190	55.0	56.0	51.0	50.0	55.0	49.0
b0191	18.0	22.0	19.0	29.0	20.0	17.0
b0192	45.0	56.0	65.0	65.0	55.0	40.0
b0193	23.0	12.0	15.0	20.0	13.0	15.0
b0194	100.0	235.0	194.0	72.0	233.0	192.0
b0196	94.0	158.0	139.0	46.0	140.0	120.0
b0197	191.0	727.0	789.0	413.0	783.0	951.0
b0198	38.0	84.0	94.0	93.0	164.0	155.0
b0199	60.0	56.0	64.0	117.0	143.0	119.0
b0200	107.0	169.0	166.0	168.0	190.0	200.0
b0201	36.0	4.0	4.0	46.0	1.0	6.0
b0204	43.0	2.0	3.0	63.0	2.0	15.0
b0206	2.0	1.0	3.0	6.0	1.0	14.0
b0207	19.0	60.0	72.0	24.0	20.0	22.0
b0208	31.0	27.0	29.0	25.0	22.0	25.0
b0209	130.0	170.0	197.0	235.0	213.0	145.0
b0210	63.0	45.0	51.0	79.0	49.0	58.0
b0211	312.0	505.0	353.0	255.0	509.0	581.0
b0212	98.0	168.0	173.0	122.0	101.0	73.0
b0213	34.0	50.0	48.0	32.0	45.0	40.0
b0214	41.0	67.0	60.0	52.0	65.0	64.0
b0215	70.0	105.0	103.0	69.0	92.0	69.0
b0216	14.0	18.0	18.0	10.0	15.0	20.0
b0217	8.0	3.0	4.0	2.0	4.0	3.0
b0218	2.0	1.0	0.0	1.0	0.0	1.0
b0219	45.0	56.0	56.0	52.0	54.0	48.0
b0220	239.0	372.0	409.0	423.0	621.0	1399.0
b0221	4.0	6.0	5.0	4.0	4.0	2.0
b0222	201.0	299.0	279.0	234.0	297.0	233.0
b0223	50.0	75.0	78.0	66.0	90.0	77.0
b0225	133.0	87.0	96.0	120.0	115.0	103.0
b0226	371.0	235.0	234.0	397.0	248.0	283.0
b0227	3.0	5.0	6.0	7.0	4.0	3.0
b0228	23.0	27.0	26.0	19.0	13.0	12.0
b0229	2.0	3.0	5.0	3.0	3.0	2.0
b0230	2.0	2.0	3.0	3.0	2.0	2.0
b0231	17.0	16.0	15.0	18.0	16.0	13.0
b0232	39.0	22.0	20.0	20.0	15.0	11.0
b0233	9.0	9.0	11.0	4.0	9.0	5.0
b0234	9.0	7.0	7.0	3.0	5.0	3.0
b0235	2.0	2.0	1.0	2.0	1.0	0.0
b0236	5.0	4.0	5.0	3.0	4.0	2.0
b0237	264.0	372.0	354.0	310.0	439.0	375.0
b0238	76.0	238.0	119.0	28.0	253.0	233.0
b0239	50.0	70.0	64.0	61.0	78.0	58.0
b0240	120.0	214.0	163.0	150.0	132.0	93.0
b0241	2.0	2.0	2.0	1.0	1.0	1.0
b0242	88.0	124.0	122.0	51.0	123.0	104.0
b0243	106.0	163.0	151.0	77.0	142.0	144.0
b0244	233.0	118.0	154.0	165.0	159.0	92.0
b0245	27.0	15.0	14.0	15.0	15.0	16.0
b0246	6.0	3.0	3.0	4.0	3.0	4.0
b0247	5.0	3.0	2.0	3.0	3.0	2.0
b0248	30.0	29.0	29.0	38.0	28.0	33.0
b0249	16.0	15.0	16.0	18.0	15.0	9.0
b0250	57.0	65.0	79.0	118.0	49.0	41.0
b0251	4.0	6.0	5.0	5.0	6.0	3.0
b0252	7.0	3.0	5.0	8.0	5.0	7.0
b0253	15.0	26.0	26.0	14.0	14.0	7.0
b0254	15.0	13.0	14.0	12.0	13.0	11.0
b0258	8.0	11.0	11.0	12.0	9.0	6.0
b0260	22.0	4.0	5.0	27.0	7.0	10.0
b0261	14.0	26.0	25.0	15.0	12.0	11.0
b0262	3.0	2.0	3.0	2.0	6.0	3.0
b0263	3.0	4.0	4.0	3.0	8.0	5.0
b0266	18.0	43.0	35.0	17.0	38.0	26.0
b0267	0.0	0.0	1.0	1.0	1.0	0.0
b0268	5.0	5.0	7.0	2.0	1.0	1.0
b0269	1.0	4.0	5.0	2.0	1.0	1.0
b0270	1.0	2.0	1.0	1.0	1.0	1.0
b0271	2.0	3.0	3.0	2.0	2.0	1.0
b0273	20.0	38.0	29.0	33.0	219.0	227.0
b0276	81.0	41.0	52.0	59.0	30.0	42.0
b0277	30.0	14.0	17.0	16.0	14.0	12.0
b0278	14.0	6.0	5.0	5.0	4.0	3.0
b0279	3.0	3.0	2.0	1.0	2.0	1.0
b0280	38.0	69.0	86.0	26.0	55.0	54.0
b0281	67.0	55.0	58.0	52.0	43.0	40.0
b0282	20.0	16.0	20.0	23.0	15.0	17.0
b0283	3.0	4.0	6.0	7.0	4.0	3.0
b0284	2.0	4.0	4.0	6.0	3.0	2.0
b0285	2.0	3.0	5.0	5.0	3.0	1.0
b0286	6.0	6.0	6.0	9.0	4.0	2.0
b0287	796.0	357.0	353.0	206.0	537.0	623.0
b0288	59.0	35.0	32.0	21.0	44.0	51.0
b0289	10.0	9.0	12.0	10.0	9.0	9.0
b0290	10.0	10.0	11.0	11.0	11.0	8.0
b0291	2.0	3.0	3.0	3.0	3.0	2.0
b0292	2.0	2.0	1.0	1.0	2.0	1.0
b0293	17.0	25.0	20.0	16.0	26.0	30.0
b0294	5.0	2.0	1.0	2.0	4.0	3.0
b0295	45.0	13.0	14.0	37.0	144.0	98.0
b0296	7.0	7.0	6.0	16.0	9584.0	14101.0
b0297	1.0	0.0	0.0	1.0	0.0	1.0
b0300	22.0	20.0	22.0	15.0	17.0	12.0
b0301	5.0	5.0	4.0	4.0	2.0	2.0
b0303	5.0	4.0	2.0	1.0	1.0	1.0
b0304	13.0	23.0	23.0	16.0	18.0	16.0
b0305	3.0	6.0	6.0	2.0	2.0	1.0
b0306	71.0	37.0	29.0	2.0	3.0	2.0
b0307	51.0	36.0	21.0	5.0	4.0	4.0
b0308	88.0	53.0	34.0	9.0	7.0	7.0
b0310	4.0	2.0	2.0	1.0	1.0	1.0
b0311	1.0	4.0	4.0	5.0	7.0	3.0
b0312	3.0	7.0	10.0	10.0	12.0	4.0
b0313	5.0	14.0	15.0	13.0	18.0	7.0
b0314	6.0	10.0	12.0	12.0	15.0	5.0
b0316	19.0	24.0	20.0	6.0	14.0	13.0
b0317	3.0	2.0	2.0	3.0	1.0	1.0
b0318	9.0	12.0	12.0	5.0	9.0	8.0
b0319	1.0	1.0	1.0	1.0	1.0	0.0
b0320	1.0	2.0	2.0	2.0	1.0	1.0
b0321	1.0	4.0	4.0	3.0	2.0	1.0
b0323	1.0	2.0	3.0	3.0	2.0	1.0
b0324	12.0	15.0	16.0	13.0	15.0	13.0
b0325	39.0	133.0	174.0	139.0	199.0	117.0
b0326	4.0	1.0	1.0	1.0	1.0	1.0
b0327	35.0	6.0	4.0	3.0	3.0	5.0
b0328	19.0	16.0	20.0	3.0	2.0	2.0
b0329	1680.0	1498.0	1621.0	2717.0	882.0	936.0
b0330	3.0	5.0	5.0	3.0	1.0	1.0
b0331	6.0	3.0	2.0	2.0	1.0	1.0
b0333	2.0	1.0	1.0	1.0	1.0	0.0
b0334	2.0	1.0	1.0	1.0	0.0	0.0
b0335	2.0	2.0	2.0	3.0	2.0	2.0
b0336	5.0	10.0	6.0	4.0	23.0	31.0
b0337	23.0	29.0	25.0	25.0	53.0	64.0
b0338	4.0	7.0	8.0	4.0	6.0	5.0
b0339	3.0	6.0	5.0	3.0	4.0	4.0
b0340	2.0	6.0	7.0	4.0	5.0	4.0
b0341	3.0	2.0	3.0	2.0	2.0	2.0
b0342	10.0	15.0	13.0	3.0	5.0	4.0
b0343	11.0	11.0	11.0	3.0	2.0	2.0
b0344	7.0	10.0	9.0	1.0	1.0	1.0
b0345	10.0	18.0	14.0	11.0	18.0	12.0
b0346	3.0	10.0	9.0	6.0	3.0	2.0
b0347	0.0	0.0	0.0	1.0	0.0	0.0
b0348	0.0	1.0	0.0	1.0	0.0	0.0
b0349	1.0	1.0	1.0	1.0	1.0	1.0
b0350	1.0	1.0	1.0	1.0	0.0	1.0
b0351	1.0	1.0	1.0	1.0	2.0	2.0
b0352	1.0	2.0	2.0	3.0	2.0	1.0
b0353	3.0	3.0	4.0	6.0	3.0	3.0
b0354	77.0	111.0	91.0	53.0	81.0	91.0
b0355	20.0	20.0	17.0	14.0	18.0	12.0
b0356	17.0	31.0	29.0	21.0	22.0	15.0
b0357	12.0	28.0	22.0	24.0	21.0	19.0
b0358	14.0	8.0	9.0	7.0	6.0	5.0
b0363	5.0	4.0	4.0	3.0	3.0	3.0
b0364	2.0	1.0	0.0	1.0	1.0	0.0
b0365	3.0	2.0	2.0	2.0	1.0	4.0
b0366	2.0	1.0	1.0	2.0	1.0	2.0
b0367	1.0	0.0	1.0	1.0	1.0	1.0
b0368	4.0	3.0	4.0	4.0	4.0	3.0
b0369	84.0	113.0	98.0	80.0	128.0	88.0
b0376	16.0	36.0	33.0	15.0	21.0	17.0
b0377	40.0	30.0	29.0	27.0	23.0	21.0
b0378	36.0	44.0	40.0	45.0	30.0	33.0
b0379	91.0	32.0	19.0	701.0	22.0	162.0
b0380	96.0	227.0	247.0	36.0	47.0	38.0
b0381	160.0	162.0	155.0	91.0	182.0	157.0
b0382	637.0	561.0	526.0	153.0	250.0	299.0
b0383	60.0	59.0	42.0	17.0	24.0	22.0
b0384	95.0	84.0	111.0	265.0	84.0	60.0
b0386	27.0	41.0	35.0	27.0	35.0	29.0
b0387	52.0	84.0	74.0	52.0	91.0	76.0
b0388	1659.0	188.0	159.0	1303.0	296.0	186.0
b0389	1521.0	389.0	415.0	1497.0	325.0	372.0
b0390	373.0	95.0	82.0	193.0	60.0	36.0
b0392	63.0	50.0	51.0	32.0	44.0	33.0
b0393	29.0	67.0	48.0	16.0	68.0	71.0
b0394	16.0	30.0	35.0	13.0	16.0	13.0
b0396	10.0	13.0	14.0	23.0	19.0	16.0
b0397	9.0	17.0	15.0	11.0	17.0	15.0
b0398	10.0	24.0	21.0	14.0	20.0	17.0
b0399	13.0	20.0	18.0	14.0	14.0	10.0
b0400	10.0	12.0	13.0	10.0	12.0	7.0
b0401	184.0	148.0	178.0	127.0	215.0	104.0
b0402	40.0	46.0	41.0	27.0	51.0	31.0
b0403	9.0	12.0	12.0	16.0	16.0	18.0
b0404	11.0	19.0	19.0	18.0	19.0	9.0
b0405	20.0	49.0	31.0	16.0	51.0	39.0
b0406	49.0	107.0	75.0	44.0	113.0	93.0
b0407	224.0	410.0	345.0	194.0	392.0	377.0
b0408	91.0	234.0	183.0	69.0	191.0	142.0
b0409	245.0	259.0	253.0	305.0	267.0	240.0
b0410	161.0	274.0	274.0	92.0	152.0	187.0
b0411	224.0	381.0	348.0	36.0	156.0	141.0
b0412	46.0	30.0	27.0	87.0	21.0	44.0
b0413	62.0	99.0	95.0	73.0	111.0	83.0
b0414	67.0	99.0	96.0	79.0	97.0	80.0
b0415	120.0	198.0	187.0	107.0	220.0	167.0
b0416	174.0	283.0	244.0	170.0	275.0	223.0
b0417	14.0	33.0	28.0	18.0	38.0	24.0
b0418	111.0	149.0	139.0	143.0	146.0	115.0
b0419	137.0	270.0	278.0	194.0	166.0	126.0
b0420	46.0	91.0	72.0	51.0	90.0	66.0
b0421	76.0	117.0	92.0	69.0	94.0	84.0
b0422	116.0	181.0	161.0	81.0	155.0	132.0
b0423	44.0	82.0	59.0	40.0	91.0	83.0
b0424	33.0	43.0	53.0	41.0	56.0	48.0
b0425	39.0	60.0	65.0	59.0	74.0	71.0
b0426	290.0	688.0	686.0	447.0	855.0	779.0
b0427	11.0	18.0	15.0	8.0	14.0	11.0
b0428	117.0	31.0	29.0	179.0	58.0	60.0
b0429	68.0	22.0	16.0	101.0	38.0	41.0
b0430	49.0	17.0	13.0	67.0	30.0	27.0
b0431	60.0	70.0	44.0	141.0	81.0	65.0
b0432	143.0	237.0	137.0	266.0	167.0	144.0
b0433	13.0	34.0	21.0	9.0	22.0	18.0
b0434	80.0	257.0	173.0	22.0	122.0	106.0
b0435	645.0	849.0	1077.0	1301.0	459.0	344.0
b0436	711.0	1127.0	743.0	397.0	1167.0	1036.0
b0437	488.0	577.0	611.0	579.0	620.0	521.0
b0438	587.0	695.0	729.0	681.0	675.0	491.0
b0439	278.0	264.0	291.0	322.0	290.0	179.0
b0440	5078.0	6761.0	5859.0	2285.0	3010.0	4196.0
b0441	239.0	416.0	323.0	126.0	286.0	265.0
b0442	33.0	33.0	30.0	18.0	16.0	17.0
b0443	34.0	47.0	47.0	26.0	20.0	17.0
b0444	79.0	106.0	95.0	77.0	96.0	117.0
b0445	12.0	20.0	22.0	6.0	7.0	6.0
b0446	57.0	44.0	46.0	73.0	44.0	39.0
b0448	9.0	16.0	14.0	12.0	12.0	9.0
b0449	6.0	11.0	11.0	11.0	13.0	9.0
b0450	2.0	1.0	1.0	4.0	2.0	5.0
b0451	7.0	11.0	12.0	15.0	12.0	10.0
b0452	36.0	54.0	52.0	31.0	34.0	19.0
b0453	126.0	150.0	170.0	568.0	125.0	43.0
b0455	5.0	4.0	3.0	4.0	4.0	1.0
b0456	23.0	44.0	58.0	73.0	29.0	19.0
b0458	124.0	108.0	92.0	54.0	120.0	69.0
b0459	120.0	70.0	54.0	54.0	38.0	33.0
b0460	403.0	226.0	183.0	218.0	163.0	140.0
b0461	688.0	163.0	136.0	375.0	90.0	172.0
b0462	117.0	142.0	127.0	115.0	135.0	108.0
b0463	171.0	226.0	199.0	122.0	182.0	177.0
b0464	105.0	107.0	102.0	77.0	86.0	92.0
b0465	63.0	73.0	58.0	46.0	72.0	65.0
b0466	30.0	45.0	47.0	47.0	35.0	32.0
b0467	23.0	33.0	32.0	28.0	31.0	20.0
b0468	138.0	292.0	256.0	226.0	244.0	129.0
b0469	115.0	268.0	173.0	71.0	248.0	152.0
b0470	47.0	80.0	69.0	54.0	95.0	71.0
b0471	163.0	227.0	199.0	238.0	345.0	326.0
b0472	55.0	88.0	83.0	55.0	142.0	106.0
b0473	165.0	178.0	249.0	273.0	188.0	96.0
b0474	361.0	739.0	516.0	145.0	571.0	473.0
b0475	10.0	27.0	25.0	13.0	18.0	13.0
b0476	17.0	25.0	26.0	6.0	6.0	7.0
b0477	25.0	54.0	38.0	20.0	44.0	36.0
b0478	32.0	62.0	55.0	48.0	41.0	27.0
b0479	13.0	15.0	13.0	10.0	7.0	8.0
b0480	78.0	118.0	109.0	51.0	61.0	61.0
b0481	36.0	35.0	35.0	38.0	50.0	41.0
b0482	30.0	31.0	32.0	51.0	65.0	58.0
b0483	259.0	152.0	157.0	599.0	292.0	347.0
b0484	141.0	67.0	76.0	201.0	220.0	64.0
b0485	11.0	42.0	72.0	106.0	150.0	66.0
b0486	11.0	57.0	84.0	74.0	101.0	39.0
b0487	51.0	98.0	122.0	98.0	111.0	83.0
b0488	37.0	35.0	38.0	37.0	30.0	23.0
b0489	103.0	82.0	78.0	74.0	76.0	64.0
b0490	57.0	57.0	50.0	27.0	55.0	51.0
b0491	38.0	37.0	33.0	21.0	32.0	32.0
b0493	33.0	54.0	50.0	32.0	50.0	39.0
b0494	39.0	60.0	70.0	57.0	64.0	49.0
b0495	11.0	16.0	19.0	16.0	17.0	11.0
b0496	6.0	12.0	12.0	12.0	14.0	7.0
b0497	6.0	4.0	4.0	5.0	4.0	4.0
b0498	26.0	16.0	11.0	23.0	14.0	18.0
b0501	4.0	1.0	1.0	2.0	2.0	1.0
b0502	14.0	21.0	25.0	20.0	20.0	17.0
b0504	2.0	2.0	2.0	2.0	1.0	1.0
b0505	3.0	5.0	5.0	4.0	4.0	3.0
b0506	196.0	239.0	299.0	808.0	257.0	258.0
b0507	2.0	3.0	3.0	2.0	3.0	2.0
b0508	2.0	1.0	1.0	1.0	1.0	0.0
b0509	2.0	2.0	2.0	3.0	2.0	1.0
b0511	1.0	1.0	1.0	1.0	0.0	0.0
b0512	8.0	10.0	10.0	13.0	3.0	4.0
b0513	3.0	4.0	4.0	3.0	3.0	2.0
b0514	4.0	4.0	3.0	4.0	3.0	2.0
b0515	107.0	58.0	46.0	36.0	36.0	30.0
b0516	15.0	15.0	11.0	7.0	9.0	6.0
b0517	2.0	3.0	1.0	1.0	1.0	0.0
b0518	1.0	1.0	0.0	1.0	0.0	0.0
b0520	1.0	1.0	1.0	2.0	1.0	1.0
b0521	1.0	3.0	2.0	3.0	5.0	2.0
b0522	14.0	77.0	45.0	24.0	145.0	70.0
b0523	9.0	73.0	41.0	14.0	137.0	60.0
b0524	15.0	43.0	35.0	17.0	49.0	33.0
b0525	444.0	905.0	774.0	286.0	1002.0	899.0
b0526	40.0	103.0	75.0	26.0	80.0	66.0
b0527	7.0	6.0	5.0	6.0	6.0	7.0
b0528	27.0	38.0	37.0	40.0	43.0	31.0
b0529	104.0	184.0	138.0	84.0	199.0	144.0
b0530	4.0	3.0	3.0	5.0	5.0	8.0
b0531	4.0	1.0	1.0	2.0	1.0	1.0
b0532	4.0	2.0	2.0	2.0	1.0	1.0
b0533	1.0	1.0	0.0	0.0	0.0	0.0
b0534	2.0	2.0	1.0	2.0	2.0	2.0
b0536	1.0	4.0	4.0	0.0	2.0	1.0
b0537	112.0	80.0	82.0	83.0	64.0	79.0
b0539	3.0	4.0	2.0	2.0	1.0	1.0
b0542	33.0	9.0	10.0	8.0	13.0	13.0
b0543	79.0	42.0	35.0	37.0	36.0	44.0
b0544	3.0	2.0	1.0	1.0	1.0	1.0
b0545	32.0	22.0	19.0	33.0	20.0	28.0
b0546	139.0	55.0	59.0	94.0	43.0	43.0
b0547	2.0	1.0	1.0	1.0	1.0	1.0
b0549	1.0	0.0	1.0	0.0	0.0	0.0
b0550	1.0	0.0	1.0	0.0	1.0	0.0
b0553	17687.0	44261.0	42648.0	330.0	3769.0	4077.0
b0554	38.0	41.0	48.0	13.0	47.0	33.0
