feature_ids	Fucose_1_RPKM	Fucose_2_RPKM	Fucose_3_RPKM	Glucose_1_RPKM	Glucose_2_RPKM	Glucose_3_RPKM
b0001	803.0	1004.0	1077.0	1265.0	716.0	900.0
b0002	1013.0	645.0	491.0	210.0	829.0	541.0
b0003	666.0	280.0	214.0	83.0	372.0	207.0
b0004	1136.0	447.0	400.0	89.0	405.0	229.0
b0005	94.0	61.0	45.0	35.0	45.0	58.0
b0006	31.0	65.0	51.0	33.0	50.0	45.0
b0007	18.0	13.0	15.0	6.0	14.0	14.0
b0008	1035.0	1314.0	1117.0	684.0	1060.0	1131.0
b0009	52.0	70.0	60.0	46.0	56.0	51.0
b0010	37.0	41.0	37.0	45.0	39.0	23.0
b0011	4.0	4.0	5.0	7.0	4.0	3.0
b0013	6.0	3.0	5.0	5.0	4.0	4.0
b0014	1401.0	777.0	1134.0	2333.0	961.0	496.0
b0015	135.0	108.0	145.0	229.0	122.0	54.0
b0018	60.0	47.0	47.0	36.0	20.0	32.0
b0019	70.0	99.0	116.0	192.0	109.0	83.0
b0020	51.0	69.0	71.0	73.0	73.0	52.0
b0023	1306.0	2278.0	1704.0	837.0	3151.0	3479.0
b0024	22.0	44.0	46.0	46.0	49.0	73.0
b0025	96.0	162.0	148.0	140.0	200.0	160.0
b0026	126.0	201.0	186.0	171.0	250.0	206.0
b0027	128.0	85.0	82.0	140.0	122.0	106.0
b0028	77.0	67.0	71.0	95.0	106.0	61.0
b0029	47.0	53.0	45.0	34.0	62.0	46.0
b0030	14.0	74.0	60.0	2.0	7.0	6.0
b0031	63.0	113.0	110.0	92.0	111.0	100.0
b0032	6.0	17.0	7.0	8.0	105.0	133.0
b0033	5.0	8.0	9.0	7.0	79.0	97.0
b0034	211.0	103.0	62.0	21.0	45.0	61.0
b0035	6.0	4.0	3.0	1.0	4.0	4.0
b0036	2.0	2.0	2.0	1.0	1.0	1.0
b0037	5.0	7.0	5.0	3.0	7.0	5.0
b0038	5.0	7.0	5.0	3.0	5.0	3.0
b0039	13.0	16.0	15.0	5.0	13.0	8.0
b0040	2.0	1.0	1.0	1.0	1.0	1.0
b0041	1.0	2.0	1.0	1.0	1.0	1.0
b0042	1.0	2.0	1.0	1.0	1.0	1.0
b0043	1.0	1.0	1.0	1.0	1.0	1.0
b0044	1.0	0.0	0.0	1.0	1.0	0.0
b0045	1.0	1.0	1.0	1.0	1.0	1.0
b0046	6.0	12.0	12.0	4.0	8.0	6.0
b0047	8.0	14.0	14.0	8.0	9.0	7.0
b0048	22.0	62.0	46.0	24.0	39.0	34.0
b0049	16.0	33.0	29.0	27.0	41.0	20.0
b0050	70.0	80.0	77.0	85.0	92.0	80.0
b0051	62.0	111.0	98.0	78.0	135.0	93.0
b0052	26.0	50.0	43.0	34.0	64.0	45.0
b0053	188.0	300.0	294.0	240.0	327.0	331.0
b0054	164.0	349.0	301.0	191.0	313.0	239.0
b0055	55.0	80.0	75.0	60.0	79.0	66.0
